			Id(Bk)Syl1	Id(Bk)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	IIy		 1 	 2 		 2 					 1 	 2 
	IIu		 1 	 3 		 2 						
iie	iie	 1 										
	iiE			 1 								
	iIe			 1 		 1 					 1 	 1 
	iIE			 2 		 1 						
	Iie		 1 	 1 		 1 						 1 
	IiE		 1 	 2 		 1 						
	IIe		 1 	 2 		 2 					 1 	 2 
	IIE		 1 	 3 		 2 						
iii	iii	 1 										
	iiI			 1 		 1 						
	iII			 2 		 2 						
	Iii		 1 	 1 		 1 						
	IiI		 1 	 2 		 2 						
	III		 1 	 3 		 3 						
iiE	iiE	 1 										
	iie			 1 								
	iIE			 1 		 1 						
	iIe			 2 		 1 					 1 	 1 
	IiE		 1 	 1 		 1 						
	Iie		 1 	 2 		 1 						 1 
	IIE		 1 	 2 		 2 						
	IIe		 1 	 3 		 2 					 1 	 2 
iio	iio	 1 										
	iiO			 1 	 1 							
	iIo			 1 		 1 						
	iIO			 2 	 1 	 1 					 1 	 1 
	Iio		 1 	 1 		 1 						
	IiO		 1 	 2 	 1 	 1 						 1 
	IIo		 1 	 2 		 2 						
	IIO		 1 	 3 	 1 	 2 					 1 	 2 
iia	iia	 1 										
	iiA			 1 								
	iIa			 1 		 1 						
	iIA			 2 		 1 					 1 	 1 
	Iia		 1 	 1 		 1 						
	IiA		 1 	 2 		 1 						 1 
	IIa		 1 	 2 		 2 						
	IIA		 1 	 3 		 2 					 1 	 2 
iiu	iiu	 1 										
	iiy			 1 								
	iIu			 1 		 1 						
	iIy			 2 		 1 					 1 	 1 
	Iiu		 1 	 1 		 1 						
	Iiy		 1 	 2 		 1 						 1 
	IIu		 1 	 2 		 2 						
	IIy		 1 	 3 		 2 					 1 	 2 
iEi	iEi	 1 										
	iEI			 1 		 1 						
	iei			 1 								
	ieI			 2 		 1 	 1 	 1 				
	IEi		 1 	 1 		 1 						
	IEI		 1 	 2 		 2 						
	Iei		 1 	 2 		 1 					 1 	 1 
	IeI		 1 	 3 		 2 	 1 	 1 			 1 	 1 
iEE	iEE	 1 										
	iEe			 1 							 1 	 1 
	ieE			 1 			 1 	 1 				
	iee			 2 								
	IEE		 1 	 1 		 1 						
	IEe		 1 	 2 		 1 					 1 	 2 
	IeE		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	Iee		 1 	 3 		 1 					 1 	 1 
iEo	iEo	 1 										
	iEO			 1 	 1 						 1 	 1 
	ieo			 1 			 1 	 1 				
	ieO			 2 	 1 							
	IEo		 1 	 1 		 1 						
	IEO		 1 	 2 	 1 	 1 					 1 	 2 
	Ieo		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IeO		 1 	 3 	 1 	 1 					 1 	 1 
iEa	iEa	 1 										
	iEA			 1 							 1 	 1 
	iea			 1 			 1 	 1 				
	ieA			 2 								
	IEa		 1 	 1 		 1 						
	IEA		 1 	 2 		 1 					 1 	 2 
	Iea		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IeA		 1 	 3 		 1 					 1 	 1 
iEu	iEu	 1 										
	iEy			 1 							 1 	 1 
	ieu			 1 			 1 	 1 				
	iey			 2 								
	IEu		 1 	 1 		 1 						
	IEy		 1 	 2 		 1 					 1 	 2 
	Ieu		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	Iey		 1 	 3 		 1 					 1 	 1 
ioi	ioi	 1 										
	ioI			 1 		 1 						
	iOi			 1 	 1 							
	iOI			 2 	 1 	 1 	 1 	 1 	 1 	 1 		
	Ioi		 1 	 1 		 1 						
	IoI		 1 	 2 		 2 						
	IOi		 1 	 2 	 1 	 1 					 1 	 1 
	IOI		 1 	 3 	 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 
ioE	ioE	 1 										
	ioe			 1 							 1 	 1 
	iOE			 1 	 1 		 1 	 1 	 1 	 1 		
	iOe			 2 	 1 							
	IoE		 1 	 1 		 1 						
	Ioe		 1 	 2 		 1 					 1 	 2 
	IOE		 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	IOe		 1 	 3 	 1 	 1 					 1 	 1 
ioo	ioo	 1 										
	ioO			 1 	 1 						 1 	 1 
	iOo			 1 	 1 		 1 	 1 				
	iOO			 2 	 2 							
	Ioo		 1 	 1 		 1 						
	IoO		 1 	 2 	 1 	 1 					 1 	 2 
	IOo		 1 	 2 	 1 	 1 	 1 	 1 			 1 	 1 
	IOO		 1 	 3 	 2 	 1 					 1 	 1 
ioa	ioa	 1 										
	ioA			 1 							 1 	 1 
	iOa			 1 	 1 		 1 	 1 				
	iOA			 2 	 1 							
	Ioa		 1 	 1 		 1 						
	IoA		 1 	 2 		 1 					 1 	 2 
	IOa		 1 	 2 	 1 	 1 	 1 	 1 			 1 	 1 
	IOA		 1 	 3 	 1 	 1 					 1 	 1 
iou	iou	 1 										
	ioy			 1 							 1 	 1 
	iOu			 1 	 1 		 1 	 1 				
	iOy			 2 	 1 							
	Iou		 1 	 1 		 1 						
	Ioy		 1 	 2 		 1 					 1 	 2 
	IOu		 1 	 2 	 1 	 1 	 1 	 1 			 1 	 1 
	IOy		 1 	 3 	 1 	 1 					 1 	 1 
iai	iai	 1 										
	iaI			 1 		 1 						
	iAi			 1 								
	iAI			 2 		 1 	 1 	 1 	 1 	 1 		
	Iai		 1 	 1 		 1 						
	IaI		 1 	 2 		 2 						
	IAi		 1 	 2 		 1 					 1 	 1 
	IAI		 1 	 3 		 2 	 1 	 1 	 1 	 1 	 1 	 1 
iaE	iaE	 1 										
	iae			 1 							 1 	 1 
	iAE			 1 			 1 	 1 	 1 	 1 		
	iAe			 2 								
	IaE		 1 	 1 		 1 						
	Iae		 1 	 2 		 1 					 1 	 2 
	IAE		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	IAe		 1 	 3 		 1 					 1 	 1 
iao	iao	 1 										
	iaO			 1 	 1 						 1 	 1 
	iAo			 1 			 1 	 1 				
	iAO			 2 	 1 							
	Iao		 1 	 1 		 1 						
	IaO		 1 	 2 	 1 	 1 					 1 	 2 
	IAo		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IAO		 1 	 3 	 1 	 1 					 1 	 1 
iaa	iaa	 1 										
	iaA			 1 							 1 	 1 
	iAa			 1 			 1 	 1 				
	iAA			 2 								
	Iaa		 1 	 1 		 1 						
	IaA		 1 	 2 		 1 					 1 	 2 
	IAa		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IAA		 1 	 3 		 1 					 1 	 1 
iau	iau	 1 										
	iay			 1 							 1 	 1 
	iAu			 1 			 1 	 1 				
	iAy			 2 								
	Iau		 1 	 1 		 1 						
	Iay		 1 	 2 		 1 					 1 	 2 
	IAu		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IAy		 1 	 3 		 1 					 1 	 1 
iui	iui	 1 										
	iuI			 1 		 1 						
	iyi			 1 								
	iyI			 2 		 1 	 1 	 1 	 1 	 1 		
	Iui		 1 	 1 		 1 						
	IuI		 1 	 2 		 2 						
	Iyi		 1 	 2 		 1 					 1 	 1 
	IyI		 1 	 3 		 2 	 1 	 1 	 1 	 1 	 1 	 1 
iuE	iuE	 1 										
	iue			 1 							 1 	 1 
	iyE			 1 			 1 	 1 	 1 	 1 		
	iye			 2 								
	IuE		 1 	 1 		 1 						
	Iue		 1 	 2 		 1 					 1 	 2 
	IyE		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	Iye		 1 	 3 		 1 					 1 	 1 
iuo	iuo	 1 										
	iuO			 1 	 1 						 1 	 1 
	iyo			 1 			 1 	 1 				
	iyO			 2 	 1 							
	Iuo		 1 	 1 		 1 						
	IuO		 1 	 2 	 1 	 1 					 1 	 2 
	Iyo		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IyO		 1 	 3 	 1 	 1 					 1 	 1 
iua	iua	 1 										
	iuA			 1 							 1 	 1 
	iya			 1 			 1 	 1 				
	iyA			 2 								
	Iua		 1 	 1 		 1 						
	IuA		 1 	 2 		 1 					 1 	 2 
	Iya		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	IyA		 1 	 3 		 1 					 1 	 1 
iuu	iuu	 1 										
	iuy			 1 							 1 	 1 
	iyu			 1 			 1 	 1 				
	iyy			 2 								
	Iuu		 1 	 1 		 1 						
	Iuy		 1 	 2 		 1 					 1 	 2 
	Iyu		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	Iyy		 1 	 3 		 1 					 1 	 1 
Iii	Iii	 1 				 1 						
	IiI			 1 		 2 						
	III			 2 		 3 						
	iii		 1 	 1 								
	iiI		 1 	 2 		 1 						
	iII		 1 	 3 		 2 						
IiE	IiE	 1 				 1 						
	Iie			 1 		 1 						 1 
	IIE			 1 		 2 						
	IIe			 2 		 2 					 1 	 2 
	iiE		 1 	 1 								
	iie		 1 	 2 								
	iIE		 1 	 2 		 1 						
	iIe		 1 	 3 		 1 					 1 	 1 
Iio	Iio	 1 				 1 						
	IiO			 1 	 1 	 1 						 1 
	IIo			 1 		 2 						
	IIO			 2 	 1 	 2 					 1 	 2 
	iio		 1 	 1 								
	iiO		 1 	 2 	 1 							
	iIo		 1 	 2 		 1 						
	iIO		 1 	 3 	 1 	 1 					 1 	 1 
Iia	Iia	 1 				 1 						
	IiA			 1 		 1 						 1 
	IIa			 1 		 2 						
	IIA			 2 		 2 					 1 	 2 
	iia		 1 	 1 								
	iiA		 1 	 2 								
	iIa		 1 	 2 		 1 						
	iIA		 1 	 3 		 1 					 1 	 1 
Iiu	Iiu	 1 				 1 						
	Iiy			 1 		 1 						 1 
	IIu			 1 		 2 						
	IIy			 2 		 2 					 1 	 2 
	iiu		 1 	 1 								
	iiy		 1 	 2 								
	iIu		 1 	 2 		 1 						
	iIy		 1 	 3 		 1 					 1 	 1 
IEi	IEi	 1 				 1 						
	IEI			 1 		 2 						
	Iei			 1 		 1 					 1 	 1 
	IeI			 2 		 2 	 1 	 1 			 1 	 1 
	iEi		 1 	 1 								
	iEI		 1 	 2 		 1 						
	iei		 1 	 2 								
	ieI		 1 	 3 		 1 	 1 	 1 				
IEE	IEE	 1 				 1 						
	IEe			 1 		 1 					 1 	 2 
	IeE			 1 		 1 	 1 	 1 			 1 	 1 
	Iee			 2 		 1 					 1 	 1 
	iEE		 1 	 1 								
	iEe		 1 	 2 							 1 	 1 
	ieE		 1 	 2 			 1 	 1 				
	iee		 1 	 3 								
IEo	IEo	 1 				 1 						
	IEO			 1 	 1 	 1 					 1 	 2 
	Ieo			 1 		 1 	 1 	 1 			 1 	 1 
	IeO			 2 	 1 	 1 					 1 	 1 
	iEo		 1 	 1 								
	iEO		 1 	 2 	 1 						 1 	 1 
	ieo		 1 	 2 			 1 	 1 				
	ieO		 1 	 3 	 1 							
IEa	IEa	 1 				 1 						
	IEA			 1 		 1 					 1 	 2 
	Iea			 1 		 1 	 1 	 1 			 1 	 1 
	IeA			 2 		 1 					 1 	 1 
	iEa		 1 	 1 								
	iEA		 1 	 2 							 1 	 1 
	iea		 1 	 2 			 1 	 1 				
	ieA		 1 	 3 								
IEu	IEu	 1 				 1 						
	IEy			 1 		 1 					 1 	 2 
	Ieu			 1 		 1 	 1 	 1 			 1 	 1 
	Iey			 2 		 1 					 1 	 1 
	iEu		 1 	 1 								
	iEy		 1 	 2 							 1 	 1 
	ieu		 1 	 2 			 1 	 1 				
	iey		 1 	 3 								
Ioi	Ioi	 1 				 1 						
	IoI			 1 		 2 						
	IOi			 1 	 1 	 1 					 1 	 1 
	IOI			 2 	 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 
	ioi		 1 	 1 								
	ioI		 1 	 2 		 1 						
	iOi		 1 	 2 	 1 							
	iOI		 1 	 3 	 1 	 1 	 1 	 1 	 1 	 1 		
IoE	IoE	 1 				 1 						
	Ioe			 1 		 1 					 1 	 2 
	IOE			 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	IOe			 2 	 1 	 1 					 1 	 1 
	ioE		 1 	 1 								
	ioe		 1 	 2 							 1 	 1 
	iOE		 1 	 2 	 1 		 1 	 1 	 1 	 1 		
	iOe		 1 	 3 	 1 							
Ioo	Ioo	 1 				 1 						
	IoO			 1 	 1 	 1 					 1 	 2 
	IOo			 1 	 1 	 1 	 1 	 1 			 1 	 1 
	IOO			 2 	 2 	 1 					 1 	 1 
	ioo		 1 	 1 								
	ioO		 1 	 2 	 1 						 1 	 1 
	iOo		 1 	 2 	 1 		 1 	 1 				
	iOO		 1 	 3 	 2 							
Ioa	Ioa	 1 				 1 						
	IoA			 1 		 1 					 1 	 2 
	IOa			 1 	 1 	 1 	 1 	 1 			 1 	 1 
	IOA			 2 	 1 	 1 					 1 	 1 
	ioa		 1 	 1 								
	ioA		 1 	 2 							 1 	 1 
	iOa		 1 	 2 	 1 		 1 	 1 				
	iOA		 1 	 3 	 1 							
Iou	Iou	 1 				 1 						
	Ioy			 1 		 1 					 1 	 2 
	IOu			 1 	 1 	 1 	 1 	 1 			 1 	 1 
	IOy			 2 	 1 	 1 					 1 	 1 
	iou		 1 	 1 								
	ioy		 1 	 2 							 1 	 1 
	iOu		 1 	 2 	 1 		 1 	 1 				
	iOy		 1 	 3 	 1 							
Iai	Iai	 1 				 1 						
	IaI			 1 		 2 						
	IAi			 1 		 1 					 1 	 1 
	IAI			 2 		 2 	 1 	 1 	 1 	 1 	 1 	 1 
	iai		 1 	 1 								
	iaI		 1 	 2 		 1 						
	iAi		 1 	 2 								
	iAI		 1 	 3 		 1 	 1 	 1 	 1 	 1 		
IaE	IaE	 1 				 1 						
	Iae			 1 		 1 					 1 	 2 
	IAE			 1 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	IAe			 2 		 1 					 1 	 1 
	iaE		 1 	 1 								
	iae		 1 	 2 							 1 	 1 
	iAE		 1 	 2 			 1 	 1 	 1 	 1 		
	iAe		 1 	 3 								
Iao	Iao	 1 				 1 						
	IaO			 1 	 1 	 1 					 1 	 2 
	IAo			 1 		 1 	 1 	 1 			 1 	 1 
	IAO			 2 	 1 	 1 					 1 	 1 
	iao		 1 	 1 								
	iaO		 1 	 2 	 1 						 1 	 1 
	iAo		 1 	 2 			 1 	 1 				
	iAO		 1 	 3 	 1 							
Iaa	Iaa	 1 				 1 						
	IaA			 1 		 1 					 1 	 2 
	IAa			 1 		 1 	 1 	 1 			 1 	 1 
	IAA			 2 		 1 					 1 	 1 
	iaa		 1 	 1 								
	iaA		 1 	 2 							 1 	 1 
	iAa		 1 	 2 			 1 	 1 				
	iAA		 1 	 3 								
Iau	Iau	 1 				 1 						
	Iay			 1 		 1 					 1 	 2 
	IAu			 1 		 1 	 1 	 1 			 1 	 1 
	IAy			 2 		 1 					 1 	 1 
	iau		 1 	 1 								
	iay		 1 	 2 							 1 	 1 
	iAu		 1 	 2 			 1 	 1 				
	iAy		 1 	 3 								
Iui	Iui	 1 				 1 						
	IuI			 1 		 2 						
	Iyi			 1 		 1 					 1 	 1 
	IyI			 2 		 2 	 1 	 1 	 1 	 1 	 1 	 1 
	iui		 1 	 1 								
	iuI		 1 	 2 		 1 						
	iyi		 1 	 2 								
	iyI		 1 	 3 		 1 	 1 	 1 	 1 	 1 		
IuE	IuE	 1 				 1 						
	Iue			 1 		 1 					 1 	 2 
	IyE			 1 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	Iye			 2 		 1 					 1 	 1 
	iuE		 1 	 1 								
	iue		 1 	 2 							 1 	 1 
	iyE		 1 	 2 			 1 	 1 	 1 	 1 		
	iye		 1 	 3 								
Iuo	Iuo	 1 				 1 						
	IuO			 1 	 1 	 1 					 1 	 2 
	Iyo			 1 		 1 	 1 	 1 			 1 	 1 
	IyO			 2 	 1 	 1 					 1 	 1 
	iuo		 1 	 1 								
	iuO		 1 	 2 	 1 						 1 	 1 
	iyo		 1 	 2 			 1 	 1 				
	iyO		 1 	 3 	 1 							
Iua	Iua	 1 				 1 						
	IuA			 1 		 1 					 1 	 2 
	Iya			 1 		 1 	 1 	 1 			 1 	 1 
	IyA			 2 		 1 					 1 	 1 
	iua		 1 	 1 								
	iuA		 1 	 2 							 1 	 1 
	iya		 1 	 2 			 1 	 1 				
	iyA		 1 	 3 								
Iuu	Iuu	 1 				 1 						
	Iuy			 1 		 1 					 1 	 2 
	Iyu			 1 		 1 	 1 	 1 			 1 	 1 
	Iyy			 2 		 1 					 1 	 1 
	iuu		 1 	 1 								
	iuy		 1 	 2 							 1 	 1 
	iyu		 1 	 2 			 1 	 1 				
	iyy		 1 	 3 								
Eii	Eii	 1 										
	EiI			 1 		 1 						
	EII			 2 		 2 						
	eii		 1 	 1 								
	eiI		 1 	 2 		 1 		 1 				
	eIi		 1 	 2 		 1 	 1 	 1 				
	eII		 1 	 3 		 2 	 1 	 2 				
EiE	EiE	 1 										
	Eie			 1 								 1 
	EIE			 1 		 1 						
	EIe			 2 		 1 					 1 	 2 
	eiE		 1 	 1 				 1 				
	eie		 1 	 2 								
	eIE		 1 	 2 		 1 	 1 	 2 				
	eIe		 1 	 3 		 1 	 1 	 1 			 1 	 1 
Eio	Eio	 1 										
	EiO			 1 	 1 							 1 
	EIo			 1 		 1 						
	EIO			 2 	 1 	 1 					 1 	 2 
	eio		 1 	 1 				 1 				
	eiO		 1 	 2 	 1 							
	eIo		 1 	 2 		 1 	 1 	 2 				
	eIO		 1 	 3 	 1 	 1 	 1 	 1 			 1 	 1 
Eia	Eia	 1 										
	EiA			 1 								 1 
	EIa			 1 		 1 						
	EIA			 2 		 1 					 1 	 2 
	eia		 1 	 1 				 1 				
	eiA		 1 	 2 								
	eIa		 1 	 2 		 1 	 1 	 2 				
	eIA		 1 	 3 		 1 	 1 	 1 			 1 	 1 
Eiu	Eiu	 1 										
	Eiy			 1 								 1 
	EIu			 1 		 1 						
	EIy			 2 		 1 					 1 	 2 
	eiu		 1 	 1 				 1 				
	eiy		 1 	 2 								
	eIu		 1 	 2 		 1 	 1 	 2 				
	eIy		 1 	 3 		 1 	 1 	 1 			 1 	 1 
EEi	EEi	 1 										
	EEI			 1 		 1 						
	Eei			 1 							 1 	 1 
	EeI			 2 		 1 	 1 	 1 			 1 	 1 
	eEi		 1 	 1 			 1 	 1 				
	eEI		 1 	 2 		 1 	 1 	 2 				
	eei		 1 	 2 								
	eeI		 1 	 3 		 1 	 1 	 1 				
EEE	EEE	 1 										
	EEe			 1 							 1 	 2 
	EeE			 1 			 1 	 1 			 1 	 1 
	Eee			 2 							 1 	 1 
	eEE		 1 	 1 			 1 	 2 				
	eEe		 1 	 2 			 1 	 1 			 1 	 1 
	eeE		 1 	 2 			 1 	 1 				
	eee		 1 	 3 								
EEo	EEo	 1 										
	EEO			 1 	 1 						 1 	 2 
	Eeo			 1 			 1 	 1 			 1 	 1 
	EeO			 2 	 1 						 1 	 1 
	eEo		 1 	 1 			 1 	 2 				
	eEO		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	eeo		 1 	 2 			 1 	 1 				
	eeO		 1 	 3 	 1 							
EEa	EEa	 1 										
	EEA			 1 							 1 	 2 
	Eea			 1 			 1 	 1 			 1 	 1 
	EeA			 2 							 1 	 1 
	eEa		 1 	 1 			 1 	 2 				
	eEA		 1 	 2 			 1 	 1 			 1 	 1 
	eea		 1 	 2 			 1 	 1 				
	eeA		 1 	 3 								
EEu	EEu	 1 										
	EEy			 1 							 1 	 2 
	Eeu			 1 			 1 	 1 			 1 	 1 
	Eey			 2 							 1 	 1 
	eEu		 1 	 1 			 1 	 2 				
	eEy		 1 	 2 			 1 	 1 			 1 	 1 
	eeu		 1 	 2 			 1 	 1 				
	eey		 1 	 3 								
Eoi	Eoi	 1 										
	EoI			 1 		 1 						
	EOi			 1 	 1 						 1 	 1 
	EOI			 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	eoi		 1 	 1 			 1 	 1 				
	eoI		 1 	 2 		 1 	 1 	 2 				
	eOi		 1 	 2 	 1 							
	eOI		 1 	 3 	 1 	 1 	 1 	 1 	 1 	 1 		
EoE	EoE	 1 										
	Eoe			 1 							 1 	 2 
	EOE			 1 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	EOe			 2 	 1 						 1 	 1 
	eoE		 1 	 1 			 1 	 2 				
	eoe		 1 	 2 			 1 	 1 			 1 	 1 
	eOE		 1 	 2 	 1 		 1 	 1 	 1 	 1 		
	eOe		 1 	 3 	 1 							
Eoo	Eoo	 1 										
	EoO			 1 	 1 						 1 	 2 
	EOo			 1 	 1 		 1 	 1 			 1 	 1 
	EOO			 2 	 2 						 1 	 1 
	eoo		 1 	 1 			 1 	 2 				
	eoO		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	eOo		 1 	 2 	 1 		 1 	 1 				
	eOO		 1 	 3 	 2 							
Eoa	Eoa	 1 										
	EoA			 1 							 1 	 2 
	EOa			 1 	 1 		 1 	 1 			 1 	 1 
	EOA			 2 	 1 						 1 	 1 
	eoa		 1 	 1 			 1 	 2 				
	eoA		 1 	 2 			 1 	 1 			 1 	 1 
	eOa		 1 	 2 	 1 		 1 	 1 				
	eOA		 1 	 3 	 1 							
Eou	Eou	 1 										
	Eoy			 1 							 1 	 2 
	EOu			 1 	 1 		 1 	 1 			 1 	 1 
	EOy			 2 	 1 						 1 	 1 
	eou		 1 	 1 			 1 	 2 				
	eoy		 1 	 2 			 1 	 1 			 1 	 1 
	eOu		 1 	 2 	 1 		 1 	 1 				
	eOy		 1 	 3 	 1 							
Eai	Eai	 1 										
	EaI			 1 		 1 						
	EAi			 1 							 1 	 1 
	EAI			 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	eai		 1 	 1 			 1 	 1 				
	eaI		 1 	 2 		 1 	 1 	 2 				
	eAi		 1 	 2 								
	eAI		 1 	 3 		 1 	 1 	 1 	 1 	 1 		
EaE	EaE	 1 										
	Eae			 1 							 1 	 2 
	EAE			 1 			 1 	 1 	 1 	 1 	 1 	 1 
	EAe			 2 							 1 	 1 
	eaE		 1 	 1 			 1 	 2 				
	eae		 1 	 2 			 1 	 1 			 1 	 1 
	eAE		 1 	 2 			 1 	 1 	 1 	 1 		
	eAe		 1 	 3 								
Eao	Eao	 1 										
	EaO			 1 	 1 						 1 	 2 
	EAo			 1 			 1 	 1 			 1 	 1 
	EAO			 2 	 1 						 1 	 1 
	eao		 1 	 1 			 1 	 2 				
	eaO		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	eAo		 1 	 2 			 1 	 1 				
	eAO		 1 	 3 	 1 							
Eaa	Eaa	 1 										
	EaA			 1 							 1 	 2 
	EAa			 1 			 1 	 1 			 1 	 1 
	EAA			 2 							 1 	 1 
	eaa		 1 	 1 			 1 	 2 				
	eaA		 1 	 2 			 1 	 1 			 1 	 1 
	eAa		 1 	 2 			 1 	 1 				
	eAA		 1 	 3 								
Eau	Eau	 1 										
	Eay			 1 							 1 	 2 
	EAu			 1 			 1 	 1 			 1 	 1 
	EAy			 2 							 1 	 1 
	eau		 1 	 1 			 1 	 2 				
	eay		 1 	 2 			 1 	 1 			 1 	 1 
	eAu		 1 	 2 			 1 	 1 				
	eAy		 1 	 3 								
Eui	Eui	 1 										
	EuI			 1 		 1 						
	Eyi			 1 							 1 	 1 
	EyI			 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	eui		 1 	 1 			 1 	 1 				
	euI		 1 	 2 		 1 	 1 	 2 				
	eyi		 1 	 2 								
	eyI		 1 	 3 		 1 	 1 	 1 	 1 	 1 		
EuE	EuE	 1 										
	Eue			 1 							 1 	 2 
	EyE			 1 			 1 	 1 	 1 	 1 	 1 	 1 
	Eye			 2 							 1 	 1 
	euE		 1 	 1 			 1 	 2 				
	eue		 1 	 2 			 1 	 1 			 1 	 1 
	eyE		 1 	 2 			 1 	 1 	 1 	 1 		
	eye		 1 	 3 								
Euo	Euo	 1 										
	EuO			 1 	 1 						 1 	 2 
	Eyo			 1 			 1 	 1 			 1 	 1 
	EyO			 2 	 1 						 1 	 1 
	euo		 1 	 1 			 1 	 2 				
	euO		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	eyo		 1 	 2 			 1 	 1 				
	eyO		 1 	 3 	 1 							
Eua	Eua	 1 										
	EuA			 1 							 1 	 2 
	Eya			 1 			 1 	 1 			 1 	 1 
	EyA			 2 							 1 	 1 
	eua		 1 	 1 			 1 	 2 				
	euA		 1 	 2 			 1 	 1 			 1 	 1 
	eya		 1 	 2 			 1 	 1 				
	eyA		 1 	 3 								
Euu	Euu	 1 										
	Euy			 1 							 1 	 2 
	Eyu			 1 			 1 	 1 			 1 	 1 
	Eyy			 2 							 1 	 1 
	euu		 1 	 1 			 1 	 2 				
	euy		 1 	 2 			 1 	 1 			 1 	 1 
	eyu		 1 	 2 			 1 	 1 				
	eyy		 1 	 3 								
oii	oii	 1 										
	oiI			 1 		 1 						
	oII			 2 		 2 						
	Oii		 1 	 1 	 1 							
	OiI		 1 	 2 	 1 	 1 		 1 		 1 		
	OIi		 1 	 2 	 1 	 1 	 1 	 1 	 1 	 1 		
	OII		 1 	 3 	 1 	 2 	 1 	 2 	 1 	 2 		
oiE	oiE	 1 										
	oie			 1 								 1 
	oIE			 1 		 1 						
	oIe			 2 		 1 					 1 	 2 
	OiE		 1 	 1 	 1 			 1 		 1 		
	Oie		 1 	 2 	 1 							
	OIE		 1 	 2 	 1 	 1 	 1 	 2 	 1 	 2 		
	OIe		 1 	 3 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
oio	oio	 1 										
	oiO			 1 	 1 							 1 
	oIo			 1 		 1 						
	oIO			 2 	 1 	 1 					 1 	 2 
	Oio		 1 	 1 	 1 			 1 				
	OiO		 1 	 2 	 2 							
	OIo		 1 	 2 	 1 	 1 	 1 	 2 	 1 	 1 		
	OIO		 1 	 3 	 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
oia	oia	 1 										
	oiA			 1 								 1 
	oIa			 1 		 1 						
	oIA			 2 		 1 					 1 	 2 
	Oia		 1 	 1 	 1 			 1 				
	OiA		 1 	 2 	 1 							
	OIa		 1 	 2 	 1 	 1 	 1 	 2 	 1 	 1 		
	OIA		 1 	 3 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
oiu	oiu	 1 										
	oiy			 1 								 1 
	oIu			 1 		 1 						
	oIy			 2 		 1 					 1 	 2 
	Oiu		 1 	 1 	 1 			 1 				
	Oiy		 1 	 2 	 1 							
	OIu		 1 	 2 	 1 	 1 	 1 	 2 	 1 	 1 		
	OIy		 1 	 3 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
oEi	oEi	 1 										
	oEI			 1 		 1 						
	oei			 1 							 1 	 1 
	oeI			 2 		 1 	 1 	 1 			 1 	 1 
	OEi		 1 	 1 	 1 		 1 	 1 	 1 	 1 		
	OEI		 1 	 2 	 1 	 1 	 1 	 2 	 1 	 2 		
	Oei		 1 	 2 	 1 							
	OeI		 1 	 3 	 1 	 1 	 1 	 1 		 1 		
oEE	oEE	 1 										
	oEe			 1 							 1 	 2 
	oeE			 1 			 1 	 1 			 1 	 1 
	oee			 2 							 1 	 1 
	OEE		 1 	 1 	 1 		 1 	 2 	 1 	 2 		
	OEe		 1 	 2 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	OeE		 1 	 2 	 1 		 1 	 1 		 1 		
	Oee		 1 	 3 	 1 							
oEo	oEo	 1 										
	oEO			 1 	 1 						 1 	 2 
	oeo			 1 			 1 	 1 			 1 	 1 
	oeO			 2 	 1 						 1 	 1 
