			Id(Bk)Syl1	Id(Bk)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	ayA		 1 	 1 							 1 	 1 
	aya		 1 	 2 			 1 	 1 			 1 	 1 
	auA		 1 	 2 							 1 	 2 
	aua		 1 	 3 								
Ayy	Ayy	 1 										
	Ayu			 1 			 1 	 1 				
	Auy			 1 			 1 	 1 			 1 	 1 
	Auu			 2 			 1 	 2 				
	ayy		 1 	 1 							 1 	 1 
	ayu		 1 	 2 			 1 	 1 			 1 	 1 
	auy		 1 	 2 							 1 	 2 
	auu		 1 	 3 								
Aye	Aye	 1 										
	AyE			 1 			 1 	 1 	 1 	 1 		
	Aue			 1 			 1 	 1 			 1 	 1 
	AuE			 2 			 1 	 2 		 1 		
	aye		 1 	 1 							 1 	 1 
	ayE		 1 	 2 			 1 	 1 	 1 	 1 	 1 	 1 
	aue		 1 	 2 							 1 	 2 
	auE		 1 	 3 								
Ayi	Ayi	 1 										
	AyI			 1 		 1 	 1 	 1 	 1 	 1 		
	Aui			 1 			 1 	 1 				
	AuI			 2 		 1 	 1 	 2 		 1 		
	ayi		 1 	 1 							 1 	 1 
	ayI		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	aui		 1 	 2 								
	auI		 1 	 3 		 1 						
Ayo	Ayo	 1 					 1 	 1 				
	AyO			 1 	 1 							
	Auo			 1 			 1 	 2 				
	AuO			 2 	 1 		 1 	 1 			 1 	 1 
	ayo		 1 	 1 			 1 	 1 			 1 	 1 
	ayO		 1 	 2 	 1 						 1 	 1 
	auo		 1 	 2 								
	auO		 1 	 3 	 1 						 1 	 2 
AeA	AeA	 1 										
	Aea			 1 			 1 	 1 				
	AEA			 1 			 1 	 1 	 1 	 1 	 1 	 1 
	AEa			 2 			 1 	 2 	 1 	 1 		
	aeA		 1 	 1 							 1 	 1 
	aea		 1 	 2 			 1 	 1 			 1 	 1 
	aEA		 1 	 2 							 1 	 2 
	aEa		 1 	 3 								
Aey	Aey	 1 										
	Aeu			 1 			 1 	 1 				
	AEy			 1 			 1 	 1 	 1 	 1 	 1 	 1 
	AEu			 2 			 1 	 2 	 1 	 1 		
	aey		 1 	 1 							 1 	 1 
	aeu		 1 	 2 			 1 	 1 			 1 	 1 
	aEy		 1 	 2 							 1 	 2 
	aEu		 1 	 3 								
Aee	Aee	 1 										
	AeE			 1 			 1 	 1 		 1 		
	AEe			 1 			 1 	 1 	 1 	 1 	 1 	 1 
	AEE			 2 			 1 	 2 	 1 	 2 		
	aee		 1 	 1 							 1 	 1 
	aeE		 1 	 2 			 1 	 1 			 1 	 1 
	aEe		 1 	 2 							 1 	 2 
	aEE		 1 	 3 								
Aei	Aei	 1 										
	AeI			 1 		 1 	 1 	 1 		 1 		
	AEi			 1 			 1 	 1 	 1 	 1 		
	AEI			 2 		 1 	 1 	 2 	 1 	 2 		
	aei		 1 	 1 							 1 	 1 
	aeI		 1 	 2 		 1 	 1 	 1 			 1 	 1 
	aEi		 1 	 2 								
	aEI		 1 	 3 		 1 						
Aeo	Aeo	 1 					 1 	 1 				
	AeO			 1 	 1 							
	AEo			 1 			 1 	 2 	 1 	 1 		
	AEO			 2 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	aeo		 1 	 1 			 1 	 1 			 1 	 1 
	aeO		 1 	 2 	 1 						 1 	 1 
	aEo		 1 	 2 								
	aEO		 1 	 3 	 1 						 1 	 2 
AiA	AiA	 1 										
	Aia			 1 				 1 				
	AIA			 1 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	AIa			 2 		 1 	 1 	 2 	 1 	 1 		
	aiA		 1 	 1 								 1 
	aia		 1 	 2 								
	aIA		 1 	 2 		 1 					 1 	 2 
	aIa		 1 	 3 		 1 						
Aiy	Aiy	 1 										
	Aiu			 1 				 1 				
	AIy			 1 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	AIu			 2 		 1 	 1 	 2 	 1 	 1 		
	aiy		 1 	 1 								 1 
	aiu		 1 	 2 								
	aIy		 1 	 2 		 1 					 1 	 2 
	aIu		 1 	 3 		 1 						
Aie	Aie	 1 										
	AiE			 1 				 1 		 1 		
	AIe			 1 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	AIE			 2 		 1 	 1 	 2 	 1 	 2 		
	aie		 1 	 1 								 1 
	aiE		 1 	 2 								
	aIe		 1 	 2 		 1 					 1 	 2 
	aIE		 1 	 3 		 1 						
Aii	Aii	 1 										
	AiI			 1 		 1 		 1 		 1 		
	AIi			 1 		 1 	 1 	 1 	 1 	 1 		
	AII			 2 		 2 	 1 	 2 	 1 	 2 		
	aii		 1 	 1 								
	aiI		 1 	 2 		 1 						
	aII		 1 	 3 		 2 						
Aio	Aio	 1 						 1 				
	AiO			 1 	 1 							
	AIo			 1 		 1 	 1 	 2 	 1 	 1 		
	AIO			 2 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
	aio		 1 	 1 								
	aiO		 1 	 2 	 1 							 1 
	aIo		 1 	 2 		 1 						
	aIO		 1 	 3 	 1 	 1 					 1 	 2 
Aoi	Aoi	 1 					 1 	 1 				
	AoI			 1 		 1 	 1 	 2 		 1 		
	AOi			 1 	 1 							
	AOI			 2 	 1 	 1 	 1 	 1 	 1 	 1 		
	aoi		 1 	 1 								
	aoI		 1 	 2 		 1 						
	aOi		 1 	 2 	 1 						 1 	 1 
	aOI		 1 	 3 	 1 	 1 	 1 	 1 	 1 	 1 	 1 	 1 
AoE	AoE	 1 					 1 	 2 		 1 		
	Aoe			 1 			 1 	 1 			 1 	 1 
	AOE			 1 	 1 		 1 	 1 	 1 	 1 		
	AOe			 2 	 1 							
	aoE		 1 	 1 								
	aoe		 1 	 2 							 1 	 2 
	aOE		 1 	 2 	 1 		 1 	 1 	 1 	 1 	 1 	 1 
	aOe		 1 	 3 	 1 						 1 	 1 
Aoo	Aoo	 1 					 1 	 2 				
	AoO			 1 	 1 		 1 	 1 			 1 	 1 
	AOo			 1 	 1 		 1 	 1 				
	AOO			 2 	 2 							
	aoo		 1 	 1 								
	aoO		 1 	 2 	 1 						 1 	 2 
	aOo		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	aOO		 1 	 3 	 2 						 1 	 1 
Aoa	Aoa	 1 					 1 	 2 				
	AoA			 1 			 1 	 1 			 1 	 1 
	AOa			 1 	 1 		 1 	 1 				
	AOA			 2 	 1 							
	aoa		 1 	 1 								
	aoA		 1 	 2 							 1 	 2 
	aOa		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	aOA		 1 	 3 	 1 						 1 	 1 
Aou	Aou	 1 					 1 	 2 				
	Aoy			 1 			 1 	 1 			 1 	 1 
	AOu			 1 	 1 		 1 	 1 				
	AOy			 2 	 1 							
	aou		 1 	 1 								
	aoy		 1 	 2 							 1 	 2 
	aOu		 1 	 2 	 1 		 1 	 1 			 1 	 1 
	aOy		 1 	 3 	 1 						 1 	 1 
yAA	yAA	 1 										
	yAa			 1 			 1 	 1 				
	yaA			 1 			 1 	 1 			 1 	 1 
	yaa			 2 			 1 	 2 				
	uAA		 1 	 1 							 1 	 1 
	uAa		 1 	 2 			 1 	 1 			 1 	 1 
	uaA		 1 	 2 							 1 	 2 
	uaa		 1 	 3 								
yAy	yAy	 1 										
	yAu			 1 			 1 	 1 				
	yay			 1 			 1 	 1 			 1 	 1 
	yau			 2 			 1 	 2 				
	uAy		 1 	 1 							 1 	 1 
	uAu		 1 	 2 			 1 	 1 			 1 	 1 
	uay		 1 	 2 							 1 	 2 
	uau		 1 	 3 								
yAe	yAe	 1 										
	yAE			 1 			 1 	 1 	 1 	 1 		
	yae			 1 			 1 	 1 			 1 	 1 
	yaE			 2 			 1 	 2 		 1 		
	uAe		 1 	 1 							 1 	 1 
	uAE		 1 	 2 			 1 	 1 	 1 	 1 	 1 	 1 
	uae		 1 	 2 							 1 	 2 
	uaE		 1 	 3 								
yAi	yAi	 1 										
	yAI			 1 		 1 	 1 	 1 	 1 	 1 		
	yai			 1 			 1 	 1 				
	yaI			 2 		 1 	 1 	 2 		 1 		
	uAi		 1 	 1 							 1 	 1 
	uAI		 1 	 2 		 1 	 1 	 1 	 1 	 1 	 1 	 1 
	uai		 1 	 2 								
	uaI		 1 	 3 		 1 						
yAo	yAo	 1 					 1 	 1 				
	yAO			 1 	 1 							
	yao			 1 			 1 	 2 				
	yaO			 2 	 1 		 1 	 1 			 1 	 1 
