			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	a_		1	1	0	1	0	0	0	0	0	0
yO	yO	1	0	0	0	0	0	0	0	0	0	0
	yo		0	1	0	0	0	0	1	1	0	0
	uO		1	1	0	0	0	0	0	0	1	1
	uo		1	2	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0
	_O		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_o		0	1	1	1	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
yA	yA	1	0	0	0	0	0	0	0	0	0	0
	ya		0	1	0	0	0	0	1	1	0	0
	uA		1	1	0	0	0	0	0	0	1	1
	ua		1	2	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0
	_A		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_a		0	1	1	1	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
yy	yy	1	0	0	0	0	0	0	0	0	0	0
	yu		0	1	0	0	0	0	1	1	0	0
	uy		1	1	0	0	0	0	0	0	1	1
	uu		1	2	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0
	_y		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_u		0	1	1	1	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
ye	ye	1	0	0	0	0	0	0	0	0	0	0
	yE		0	1	0	0	0	1	1	1	0	0
	ue		1	1	0	0	0	0	0	0	0	0
	uE		1	2	0	0	0	1	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_E		0	1	1	1	0	1	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
yi	yi	1	0	0	0	0	0	0	0	0	0	0
	yI		0	1	0	0	0	1	1	1	0	0
	ui		1	1	0	0	0	0	0	0	0	0
	uI		1	2	0	0	0	1	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_I		0	1	1	1	0	1	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
yI	yI		0	0	0	0	0	1	1	1	0	0
	yi		0	1	0	0	0	0	0	0	0	0
	uI		1	1	0	0	0	1	0	0	0	0
	ui		1	2	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0
	_I		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_i		0	1	1	1	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
yE	yE		0	0	0	0	0	1	1	1	0	0
	ye		0	1	0	0	0	0	0	0	0	0
	uE		1	1	0	0	0	1	0	0	0	0
	ue		1	2	0	0	0	0	0	0	0	0
	y_		0	0	0	1	0	0	0	0	0	0
	_E		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_e		0	1	1	1	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
yo	yo		0	0	0	0	0	0	1	1	0	0
	yO		0	1	0	0	0	0	0	0	0	0
	uo		1	1	0	0	0	0	0	0	0	0
	uO		1	2	0	0	0	0	0	0	1	1
	y_		0	0	0	1	0	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0	0
