			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	oIy		 1 	 2 	 1 			 1 	 2 
	oIu		 1 	 3 	 1 				
Oie	Oie	 1 							
	OiE			 1 	 1 		 1 		
	OIe			 1 	 1 	 1 	 1 		
	OIE			 2 	 2 	 1 	 2 		
	oie		 1 	 1 					
	oiE		 1 	 2 	 1 				
	oIE		 1 	 3 	 2 				
Oii	Oii	 1 							
	OiI			 1 	 1 		 1 		
	OIi			 1 	 1 	 1 	 1 		
	OII			 2 	 2 	 1 	 2 		
	oii		 1 	 1 					
	oiI		 1 	 2 	 1 				
	oII		 1 	 3 	 2 				
AOO	AOO	 1 							
	AOo			 1 		 1 	 1 		
	AoO			 1 		 1 	 1 	 1 	 1 
	Aoo			 2 		 1 	 2 		
	aOO		 1 	 1 				 1 	 1 
	aOo		 1 	 2 		 1 	 1 	 1 	 1 
	aoO		 1 	 2 				 1 	 2 
	aoo		 1 	 3 					
AOA	AOA	 1 							
	AOa			 1 		 1 	 1 		
	AoA			 1 		 1 	 1 	 1 	 1 
	Aoa			 2 		 1 	 2 		
	aOA		 1 	 1 				 1 	 1 
	aOa		 1 	 2 		 1 	 1 	 1 	 1 
	aoA		 1 	 2 				 1 	 2 
	aoa		 1 	 3 					
AOy	AOy	 1 							
	AOu			 1 		 1 	 1 		
	Aoy			 1 		 1 	 1 	 1 	 1 
	Aou			 2 		 1 	 2 		
	aOy		 1 	 1 				 1 	 1 
	aOu		 1 	 2 		 1 	 1 	 1 	 1 
	aoy		 1 	 2 				 1 	 2 
	aou		 1 	 3 					
AOe	AOe	 1 							
	AOE			 1 	 1 	 1 	 1 		
	Aoe			 1 		 1 	 1 		
	AoE			 2 	 1 	 1 	 2 		
	aOe		 1 	 1 				 1 	 1 
	aOE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aoe		 1 	 2 					
	aoE		 1 	 3 	 1 				
AOi	AOi	 1 							
	AOI			 1 	 1 	 1 	 1 		
	Aoi			 1 		 1 	 1 		
	AoI			 2 	 1 	 1 	 2 		
	aOi		 1 	 1 				 1 	 1 
	aOI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aoi		 1 	 2 					
	aoI		 1 	 3 	 1 				
AAO	AAO	 1 							
	AAo			 1 		 1 	 1 		
	AaO			 1 		 1 	 1 	 1 	 1 
	Aao			 2 		 1 	 2 		
	aAO		 1 	 1 				 1 	 1 
	aAo		 1 	 2 		 1 	 1 	 1 	 1 
	aaO		 1 	 2 				 1 	 2 
	aao		 1 	 3 					
AAA	AAA	 1 							
	AAa			 1 		 1 	 1 		
	AaA			 1 		 1 	 1 	 1 	 1 
	Aaa			 2 		 1 	 2 		
	aAA		 1 	 1 				 1 	 1 
	aAa		 1 	 2 		 1 	 1 	 1 	 1 
	aaA		 1 	 2 				 1 	 2 
	aaa		 1 	 3 					
AAy	AAy	 1 							
	AAu			 1 		 1 	 1 		
	Aay			 1 		 1 	 1 	 1 	 1 
	Aau			 2 		 1 	 2 		
	aAy		 1 	 1 				 1 	 1 
	aAu		 1 	 2 		 1 	 1 	 1 	 1 
	aay		 1 	 2 				 1 	 2 
	aau		 1 	 3 					
AAe	AAe	 1 							
	AAE			 1 	 1 	 1 	 1 		
	Aae			 1 		 1 	 1 		
	AaE			 2 	 1 	 1 	 2 		
	aAe		 1 	 1 				 1 	 1 
	aAE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aae		 1 	 2 					
	aaE		 1 	 3 	 1 				
AAi	AAi	 1 							
	AAI			 1 	 1 	 1 	 1 		
	Aai			 1 		 1 	 1 		
	AaI			 2 	 1 	 1 	 2 		
	aAi		 1 	 1 				 1 	 1 
	aAI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aai		 1 	 2 					
	aaI		 1 	 3 	 1 				
AyO	AyO	 1 							
	Ayo			 1 		 1 	 1 		
	AuO			 1 		 1 	 1 	 1 	 1 
	Auo			 2 		 1 	 2 		
	ayO		 1 	 1 				 1 	 1 
	ayo		 1 	 2 		 1 	 1 	 1 	 1 
	auO		 1 	 2 				 1 	 2 
	auo		 1 	 3 					
AyA	AyA	 1 							
	Aya			 1 		 1 	 1 		
	AuA			 1 		 1 	 1 	 1 	 1 
	Aua			 2 		 1 	 2 		
	ayA		 1 	 1 				 1 	 1 
	aya		 1 	 2 		 1 	 1 	 1 	 1 
	auA		 1 	 2 				 1 	 2 
	aua		 1 	 3 					
Ayy	Ayy	 1 							
	Ayu			 1 		 1 	 1 		
	Auy			 1 		 1 	 1 	 1 	 1 
	Auu			 2 		 1 	 2 		
	ayy		 1 	 1 				 1 	 1 
	ayu		 1 	 2 		 1 	 1 	 1 	 1 
	auy		 1 	 2 				 1 	 2 
	auu		 1 	 3 					
Aye	Aye	 1 							
	AyE			 1 	 1 	 1 	 1 		
	Aue			 1 		 1 	 1 		
