trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
98	_i	Ii					12.0	100.73333333333333	0	88.36666666666667											-2	88.33333333333333	-2	77.13333333333334	-2	59.13333333333334	-2	83.46666666666667																																																																													-2	96	-2	92													-2	88	-2	86													-2	82	-2	80													-2	70	-2	70
103	ooa	Ooa	10.0	103.00000000000001	0	65.39999999999999							-2	88.0	-2	65.0	-2	79.10000000000001	-2	82.93333333333334					10.0	69.13333333333334	10.0	93.46666666666667									-2	96	-2	92	-2	96	-2	92									-2	82	-2	78	-2	82	-2	78									-2	80	-2	78	-2	80	-2	78									-2	68	-2	69.33333333333333	-2	68.66666666666666	-2	68.66666666666666																																																																
105	u_i	uui							2.0	90.36666666666667																	-2	91.46666666666667																																																																																																																															-2	68
107	I_	Ii							9.0	99.36666666666667									-2	80.93333333333334																																																																																					-2	94	-2	90													-2	86	-2	84													-2	80	-2	78													-2	68	-2	66
111	yOy	you			4.666666666666667	70.06666666666666							4.666666666666667	92.66666666666667	4.666666666666667	69.66666666666667	4.666666666666667	83.76666666666668	4.666666666666667	85.60000000000001					-2	67.13333333333334	-2	89.46666666666667																									-2	80	-2	76	-2	80	-2	76									-2	78	-2	76	-2	78	-2	76									-2	66	-2	67.33333333333333	-2	66.66666666666666	-2	66.66666666666666																																																																
146	yiO	yio			3.3333333333333335	73.39999999999999							3.3333333333333335	96.0	3.3333333333333335	73.0	3.3333333333333335	87.10000000000001	3.3333333333333335	88.93333333333334					-2	65.13333333333334	-2	87.46666666666667																											-2	74			-2	74											-2	74			-2	74									-2	64	-2	65.33333333333333	-2	64.66666666666666	-2	64.66666666666666																																																																
150	EIa	Eia			3.0	76.39999999999999													-2	86.93333333333334	3.0	91.33333333333333	3.0	80.13333333333334	3.0	68.13333333333334	3.0	90.46666666666667																																																													-2	62.66666666666666	-2	62.66666666666666																													-2	84	-2	82													-2	78	-2	76													-2	66	-2	64
156	III	Iii			3.0	79.39999999999999													-2	84.93333333333334	3.0	94.33333333333333	3.0	83.13333333333334	3.0	71.13333333333334	3.0	93.46666666666667																																																																													-2	92	-2	88													-2	82	-2	80													-2	76	-2	74													-2	64	-2	62
167	yOi	yoi			6.0	85.39999999999999							6.0	102.0	6.0	79.0	6.0	93.10000000000001	6.0	90.93333333333334					-2	69.13333333333334	-2	91.46666666666667																									-2	78	-2	72	-2	78	-2	72									-2	76	-2	72	-2	76	-2	72									-2	62	-2	63.33333333333333	-2	60.66666666666666	-2	60.66666666666666																																													-2	74	-2	72													-2	62	-2	60
171	_uE	Oye			1.3333333333333333	86.73333333333332	1.3333333333333333	102.06666666666666	0	99.36666666666667			-2	100.0	-2	77.0	-2	91.10000000000001	-2	88.93333333333334			1.3333333333333333	84.46666666666667	1.3333333333333333	70.46666666666667	1.3333333333333333	92.8																																																																																																																																
172	_eo	Oeo					8.0	110.06666666666666	0	99.36666666666667			-2	98.0	-2	75.0	-2	89.10000000000001	-2	86.93333333333334																			-2	90			-2	90											-2	70			-2	70																																																																																																
175	Aia	AiA			0.8571428571428571	87.59047619047618									-2	73.0	-2	87.10000000000001	-2	84.93333333333334							0.8571428571428571	93.65714285714286																															0.8571428571428571	70.85714285714286															0.8571428571428571	72.85714285714286													0.8571428571428571	61.52380952380951	0.8571428571428571	61.52380952380951																																																																
205	o_i	Ooi	13.333333333333334	116.33333333333334	0	87.59047619047618			13.333333333333334	112.7			-2	96.0	-2	71.0	-2	85.10000000000001	-2	82.93333333333334																	-2	94	-2	88	-2	94	-2	88									-2	76	-2	68	-2	76	-2	68.85714285714286									-2	74	-2	70	-2	74	-2	70.85714285714286									-2	60	-2	61.33333333333333	-2	59.52380952380951	-2	59.52380952380951																																																																
215	AyO	Ayo			4.666666666666667	92.25714285714285							4.666666666666667	100.66666666666667	4.666666666666667	75.66666666666667	4.666666666666667	89.76666666666668	4.666666666666667	87.60000000000001					-2	68.46666666666667	-2	91.65714285714286																									-2	74	-2	66	-2	74	-2	66.85714285714286									-2	72	-2	68	-2	72	-2	68.85714285714286									-2	58	-2	59.33333333333333	-2	57.52380952380951	-2	57.52380952380951																																																																
279	Aao	AAo			2.0	94.25714285714285									-2	73.66666666666667	-2	87.76666666666668	-2	85.60000000000001							2.0	93.65714285714286																									-2	72					2.0	68.85714285714286									-2	70					2.0	70.85714285714286									-2	56					2.0	59.52380952380951																																																																
382	Aiu	Aiy			0.8571428571428571	95.11428571428571									-2	71.66666666666667	-2	85.76666666666668	-2	83.60000000000001							0.8571428571428571	94.51428571428572																															0.8571428571428571	69.71428571428572															0.8571428571428571	71.71428571428572													0.8571428571428571	58.380952380952365	0.8571428571428571	60.380952380952365																																																																
633	OOe	OoE			7.666666666666667	102.78095238095239							7.666666666666667	108.33333333333334	7.666666666666667	79.33333333333334	7.666666666666667	93.43333333333335	7.666666666666667	91.26666666666668			-2	82.46666666666667	-2	66.46666666666667	-2	92.51428571428572							-2	98	-2	92	-2	86	-2	92	-2	86							-2	96	-2	70	-2	64	-2	72	-2	67.71428571428572							-2	96	-2	68	-2	66	-2	70	-2	69.71428571428572							-2	88	-2	54	-2	57.33333333333333	-2	56.380952380952365	-2	58.380952380952365																																																																
1182	_ii	Oii					0.4	110.46666666666667	0	112.7			-0.2	108.13333333333334	-0.2	79.13333333333334	-0.2	93.23333333333335	-0.2	91.06666666666668																																																																																																																																								
1296	oEE	Oee	0.16000000000000003	116.49333333333334	0	102.78095238095239							-0.2	107.93333333333334	-0.2	78.93333333333334	-0.2	93.03333333333335	-0.2	90.86666666666667			0.16000000000000003	82.62666666666667	0.16000000000000003	66.62666666666667	0.16000000000000003	92.67428571428572																																																																																																																																
1574	_oi	Ooi					2.0	112.46666666666667	0	112.7			-0.2	107.73333333333333	-0.2	78.73333333333333	-0.2	92.83333333333334	-0.2	90.66666666666667																	-0.2	91.8	-0.2	85.8	-0.2	91.8	-0.2	85.8									-0.2	69.8	-0.2	63.8	-0.2	71.8	-0.2	67.51428571428572									-0.2	67.8	-0.2	65.8	-0.2	69.8	-0.2	69.51428571428572									-0.2	53.8	-0.2	57.133333333333326	-0.2	56.18095238095236	-0.2	58.18095238095236																																																																
1737	Ooe	OoE			0.25	103.03095238095239											0.25	93.08333333333334	0.25	90.91666666666667			-0.2	82.42666666666666	-0.2	66.42666666666666	-0.2	92.47428571428571							-0.2	97.8			-0.2	85.6			-0.2	85.6							-0.2	95.8			-0.2	63.599999999999994			-0.2	67.31428571428572							-0.2	95.8			-0.2	65.6			-0.2	69.31428571428572							-0.2	87.8			-0.2	56.93333333333332			-0.2	57.98095238095236																																									0.25	100.25	0.25	100.25	0.25	74.25	0.25	72.25									0.25	100.25	0.25	100.25	0.25	62.25	0.25	60.25
TOTAL				116.49333333333334		103.03095238095239		112.46666666666667		112.7		100.66666666666667		107.73333333333333		78.73333333333333		93.08333333333334		90.91666666666667		94.33333333333333		82.42666666666666		66.42666666666666		92.47428571428571		100		100		100		97.8		91.8		85.6		91.8		85.6		100		100		100		95.8		69.8		63.599999999999994		71.8		67.31428571428572		100		100		100		95.8		67.8		65.6		69.8		69.31428571428572		100		100		92		87.8		53.8		56.93333333333332		56.18095238095236		57.98095238095236		100		100		100		100		100		100		92		88		100		100		100		100		100		100		82		80		100		100		100		100		100.25		100.25		74.25		72.25		100		100		100		100		100.25		100.25		62.25		60.25
