trialnum	Generated	Heard	IdBkSyl1	now	IdBk	now	star_F1	now	star_F3	now	star_F4	now	star_F5	now	star_B1	now	star_B2	now	star_B3	now	star_B5	now	star_F1_B1	now	star_F1..._B1	now	star_F1_B2	now	star_F1..._B2	now	star_F1_B3	now	star_F1..._B3	now	star_F1_B5	now	star_F1..._B5	now	star_F3_B1	now	star_F3..._B1	now	star_F3_B2	now	star_F3..._B2	now	star_F3_B3	now	star_F3..._B3	now	star_F3_B5	now	star_F3..._B5	now	star_F4_B1	now	star_F4..._B1	now	star_F4_B2	now	star_F4..._B2	now	star_F4_B3	now	star_F4..._B3	now	star_F4_B5	now	star_F4..._B5	now	star_F5_B1	now	star_F5..._B1	now	star_F5_B2	now	star_F5..._B2	now	star_F5_B3	now	star_F5..._B3	now	star_F5_B5	now	star_F5..._B5	now	star__B1F1	now	star__B1...F1	now	star__B1F3	now	star__B1...F3	now	star__B1F4	now	star__B1...F4	now	star__B1F5	now	star__B1...F5	now	star__B2F1	now	star__B2...F1	now	star__B2F3	now	star__B2...F3	now	star__B2F4	now	star__B2...F4	now	star__B2F5	now	star__B2...F5	now	star__B3F1	now	star__B3...F1	now	star__B3F3	now	star__B3...F3	now	star__B3F4	now	star__B3...F4	now	star__B3F5	now	star__B3...F5	now	star__B5F1	now	star__B5...F1	now	star__B5F3	now	star__B5...F3	now	star__B5F4	now	star__B5...F4	now	star__B5F5	now	star__B5...F5	now
56	euu	eyy			0.8571428571428571	49.148717948717945			-2	95.10476190476193	-2	93.10476190476193	-2	93.10476190476193							0.8571428571428571	92.04395604395604																																													0.8571428571428571	93.47142857142859	0.8571428571428571	91.47142857142859													0.8571428571428571	85.41428571428573	0.8571428571428571	85.41428571428573																																																																
56	Apriori	IdBkSyl1>>IdBk	0.857142857142847	69.14871794871794																																																																																																																																																		
58	uai	yAi	1.0	70.14871794871794	1.0	50.148717948717945			-2	93.10476190476193	-2	91.10476190476193	-2	91.10476190476193							1.0	93.04395604395604																																																																																																																													1.0	90.37252747252748	1.0	90.37252747252748
62	eoi	eOi			0.5	50.648717948717945	-2	103.4761904761905	-2	91.10476190476193	-2	89.10476190476193	-2	89.10476190476193					0.5	97.1153846153846	0.5	93.54395604395604																																									0.5	98.9	0.5	96.9	0.5	93.97142857142859	0.5	91.97142857142859									0.5	97.7	0.5	96.84285714285714	0.5	85.91428571428573	0.5	85.91428571428573																																													0.5	93.51538461538462	0.5	93.51538461538462													0.5	90.87252747252748	0.5	90.87252747252748
62	Apriori	IdBkSyl1>>IdBk	0.5	70.64871794871794																																																																																																																																																		
63	EIo	eio	2.2857142857142856	72.93443223443224	2.2857142857142856	52.93443223443223					-2	87.10476190476193	-2	87.10476190476193	2.2857142857142856	103.14285714285715	2.2857142857142856	105.94285714285715	2.2857142857142856	99.40109890109889	2.2857142857142856	95.82967032967034																																											-2	94.9			-2	89.97142857142859									-2	95.7	-2	94.84285714285714	-2	83.91428571428573	-2	83.91428571428573																																																																
65	iuo	iyO			1.1428571428571428	54.077289377289375	-2	101.4761904761905	-2	89.10476190476193	-2	85.10476190476193	-2	85.10476190476193					1.1428571428571428	100.54395604395603	1.1428571428571428	96.97252747252747																																																											1.1428571428571428	95.98571428571428	1.1428571428571428	85.05714285714286	1.1428571428571428	85.05714285714286																																																																
65	Apriori	IdBkSyl1>>IdBk	1.1428571428571388	74.07728937728938																																																																																																																																																		
66	Oe	oe	2.857142857142857	76.93443223443224	2.857142857142857	56.93443223443223	2.857142857142857	104.33333333333336	2.857142857142857	91.96190476190479	2.857142857142857	87.96190476190479	2.857142857142857	87.96190476190479					-2	98.54395604395603	-2	94.97252747252747																																																																																																									-2	95.01538461538462	-2	95.01538461538462	-2	91.51538461538462	-2	91.51538461538462									-2	91.51538461538462	-2	92.37252747252748	-2	88.87252747252748	-2	88.87252747252748
68	oao	OAO	1.6	78.53443223443223	1.6	58.53443223443223	-2	102.33333333333336	-2	89.96190476190479	-2	85.96190476190479	-2	85.96190476190479					1.6	100.14395604395602	1.6	96.57252747252747																																																																																																																																
69	oeu	Oey	0.47058823529411764	79.00502046972635	0.47058823529411764	59.00502046972635	-2	100.33333333333336	-2	87.96190476190479	-2	83.96190476190479	-2	83.96190476190479					0.47058823529411764	100.61454427925014	0.47058823529411764	97.04311570782158																																													0.47058823529411764	94.4420168067227	0.47058823529411764	90.4420168067227													0.47058823529411764	85.52773109243698	0.47058823529411764	85.52773109243698																																									0.47058823529411764	95.48597285067873	0.47058823529411764	95.48597285067873	0.47058823529411764	91.98597285067873	0.47058823529411764	91.98597285067873									0.47058823529411764	91.98597285067873	0.47058823529411764	92.8431157078216	0.47058823529411764	89.3431157078216	0.47058823529411764	89.3431157078216
70	ioi	iOi			0.6666666666666666	59.67168713639301	-2	98.33333333333336	-2	85.96190476190479	-2	81.96190476190479	-2	81.96190476190479					0.6666666666666666	101.28121094591681	0.6666666666666666	97.70978237448826																																																									0.6666666666666666	96.36666666666667	0.6666666666666666	96.65238095238095	0.6666666666666666	86.19439775910365	0.6666666666666666	86.19439775910365																																													0.6666666666666666	92.6526395173454	0.6666666666666666	92.6526395173454													0.6666666666666666	90.00978237448827	0.6666666666666666	90.00978237448827
70	Apriori	IdBkSyl1>>IdBk	0.6666666666666714	79.67168713639302																																																																																																																																																		
72	yi	ui	1.0	80.67168713639302	1.0	60.67168713639301			1.0	86.96190476190479	1.0	82.96190476190479	1.0	82.96190476190479							-2	95.70978237448826																																																																																																																													-2	88.00978237448827	-2	88.00978237448827
73	AyO	auo	0.5714285714285714	81.24311570782159	0.5714285714285714	61.24311570782158	0.5714285714285714	98.90476190476193	0.5714285714285714	87.53333333333336	0.5714285714285714	83.53333333333336	0.5714285714285714	83.53333333333336					-2	99.28121094591681	-2	93.70978237448826																																																																																																																																
74	AeA	aea	3.0	84.24311570782159	3.0	64.24311570782157			3.0	90.53333333333336	3.0	86.53333333333336	3.0	86.53333333333336							-2	91.70978237448826																																													-2	92.4420168067227	-2	88.4420168067227													-2	84.19439775910365	-2	84.19439775910365																																																									-2	89.98597285067873	-2	90.8431157078216	-2	86.00978237448827	-2	86.00978237448827
75	iye	iue			2.8	67.04311570782157			2.8	93.33333333333336	2.8	89.33333333333336	2.8	89.33333333333336							-2	89.70978237448826																																																													-2	82.19439775910365	-2	82.19439775910365																																																									-2	87.98597285067873	-2	88.8431157078216	-2	84.00978237448827	-2	84.00978237448827
75	Apriori	IdBkSyl1>>IdBk	2.799999999999983	87.04311570782157																																																																																																																																																		
80	eae	eAe			0.5454545454545454	67.58857025327612			-2	91.33333333333336	-2	87.33333333333336	-2	87.33333333333336							0.5454545454545454	90.2552369199428																																													0.5454545454545454	92.98747135217725	0.5454545454545454	88.98747135217725													0.5454545454545454	82.7398523045582	0.5454545454545454	82.7398523045582																																																									0.5454545454545454	88.53142739613328	0.5454545454545454	89.38857025327614	0.5454545454545454	84.55523691994281	0.5454545454545454	84.55523691994281
80	Apriori	IdBkSyl1>>IdBk	0.5454545454545467	87.58857025327612																																																																																																																																																		
81	ieO	ieo			3.3333333333333335	70.92190358660945	3.3333333333333335	102.23809523809526	3.3333333333333335	94.66666666666669	3.3333333333333335	90.66666666666669	3.3333333333333335	90.66666666666669					-2	97.28121094591681	-2	88.2552369199428																																									-2	96.9	-2	92.9	-2	90.98747135217725	-2	86.98747135217725									-2	94.36666666666667	-2	94.65238095238095	-2	80.7398523045582	-2	80.7398523045582																																																																
81	Apriori	IdBkSyl1>>IdBk	3.3333333333333286	90.92190358660945																																																																																																																																																		
82	uee	yee	0.75	91.67190358660945	0.75	71.67190358660945			-2	92.66666666666669	-2	88.66666666666669	-2	88.66666666666669							0.75	89.0052369199428																																																																																																																									0.75	89.28142739613328	0.75	90.13857025327614	0.75	85.30523691994281	0.75	85.30523691994281
86	aeo	AeO	0.47058823529411764	92.14249182190356	0.47058823529411764	72.14249182190356	-2	100.23809523809526	-2	90.66666666666669	-2	86.66666666666669	-2	86.66666666666669					0.47058823529411764	97.75179918121093	0.47058823529411764	89.47582515523692																																									0.47058823529411764	97.37058823529412	0.47058823529411764	93.37058823529412	0.47058823529411764	91.45805958747137	0.47058823529411764	87.45805958747137									0.47058823529411764	94.83725490196079	0.47058823529411764	95.12296918767507	0.47058823529411764	81.21044053985231	0.47058823529411764	81.21044053985231																																																									0.47058823529411764	89.7520156314274	0.47058823529411764	90.60915848857026	0.47058823529411764	85.77582515523693	0.47058823529411764	85.77582515523693
87	ey	eu			2.0	74.14249182190356			2.0	92.66666666666669	2.0	88.66666666666669	2.0	88.66666666666669							-2	87.47582515523692																																													-2	89.45805958747137	-2	85.45805958747137													-2	79.21044053985231	-2	79.21044053985231																																																																
87	Apriori	IdBkSyl1>>IdBk	2.0	94.14249182190356																																																																																																																																																		
91	uou	yOy	1.6	95.74249182190356	1.6	75.74249182190356	-2	98.23809523809526	-2	90.66666666666669	-2	86.66666666666669	-2	86.66666666666669					1.6	99.35179918121092	1.6	89.07582515523691																																																																																																																																
93	oe	Oe	0.6153846153846154	96.35787643728817	0.6153846153846154	76.35787643728817	-2	96.23809523809526	-2	88.66666666666669	-2	84.66666666666669	-2	84.66666666666669					0.6153846153846154	99.96718379659553	0.6153846153846154	89.69120977062153																																																																																																									0.6153846153846154	96.10135746606335	0.6153846153846154	96.10135746606335	0.6153846153846154	93.26802413273002	0.6153846153846154	93.26802413273002									0.6153846153846154	90.36740024681201	0.6153846153846154	91.22454310395487	0.6153846153846154	86.39120977062154	0.6153846153846154	86.39120977062154
95	ieO	ieo			3.3333333333333335	79.6912097706215	3.3333333333333335	99.57142857142858	3.3333333333333335	92.00000000000001	3.3333333333333335	88.00000000000001	3.3333333333333335	88.00000000000001					-2	97.96718379659553	-2	87.69120977062153																																									-2	95.37058823529412	-2	91.37058823529412	-2	87.45805958747137	-2	83.45805958747137									-2	92.83725490196079	-2	93.12296918767507	-2	77.21044053985231	-2	77.21044053985231																																																																
95	Apriori	IdBkSyl1>>IdBk	3.3333333333333286	99.6912097706215																																																																																																																																																		
102	iai	iAi			0.8571428571428571	80.54835262776436			-2	90.00000000000001	-2	86.00000000000001	-2	86.00000000000001							0.8571428571428571	88.54835262776439																																																													0.8571428571428571	78.06758339699518	0.8571428571428571	78.06758339699518																																																													0.8571428571428571	87.2483526277644	0.8571428571428571	87.2483526277644
102	Apriori	IdBkSyl1>>IdBk	0.8571428571428612	100.54835262776436																																																																																																																																																		
104	iAi	iai			2.0	82.54835262776436			2.0	92.00000000000001	2.0	88.00000000000001	2.0	88.00000000000001							-2	86.54835262776439																																																													-2	76.06758339699518	-2	76.06758339699518																																																													-2	85.2483526277644	-2	85.2483526277644
104	Apriori	IdBkSyl1>>IdBk	2.0	102.54835262776436																																																																																																																																																		
119	uuo	yyO	1.6	104.14835262776435	1.6	84.14835262776435	-2	97.57142857142858	-2	90.00000000000001	-2	86.00000000000001	-2	86.00000000000001					1.6	99.56718379659553	1.6	88.14835262776438																																																																																																																																
120	eu	ey			0.8571428571428571	85.00549548490721			-2	88.00000000000001	-2	84.00000000000001	-2	84.00000000000001							0.8571428571428571	89.00549548490724																																													0.8571428571428571	88.31520244461423	0.8571428571428571	84.31520244461423													0.8571428571428571	76.92472625413804	0.8571428571428571	76.92472625413804																																																																
120	Apriori	IdBkSyl1>>IdBk	0.8571428571428612	105.00549548490721																																																																																																																																																		
124	ieA	iea			2.0	87.00549548490721			2.0	90.00000000000001	2.0	86.00000000000001	2.0	86.00000000000001							-2	87.00549548490724																																													-2	86.31520244461423	-2	82.31520244461423													-2	74.92472625413804	-2	74.92472625413804																																																																
124	Apriori	IdBkSyl1>>IdBk	2.0	107.00549548490721																																																																																																																																																		
128	iiy	iiu			1.2	88.20549548490722			1.2	91.20000000000002	1.2	87.20000000000002	1.2	87.20000000000002							-2	85.00549548490724																																																													-2	72.92472625413804	-2	72.92472625413804																																																																
128	Apriori	IdBkSyl1>>IdBk	1.2000000000000028	108.20549548490722																																																																																																																																																		
132	eiu	eiy			1.0	89.20549548490722			-2	89.20000000000002	-2	85.20000000000002	-2	85.20000000000002							1.0	86.00549548490724																																															1.0	83.31520244461423													1.0	73.92472625413804	1.0	73.92472625413804																																																																
132	Apriori	IdBkSyl1>>IdBk	1.0	109.20549548490722																																																																																																																																																		
133	iAe	iae			2.8	92.00549548490721			2.8	92.00000000000001	2.8	88.00000000000001	2.8	88.00000000000001							-2	84.00549548490724																																																													-2	71.92472625413804	-2	71.92472625413804																																																									-2	88.36740024681201	-2	89.22454310395487	-2	83.2483526277644	-2	83.2483526277644
133	Apriori	IdBkSyl1>>IdBk	2.799999999999997	112.00549548490721																																																																																																																																																		
146	eO	eo			3.3333333333333335	95.33882881824054	3.3333333333333335	100.90476190476191	3.3333333333333335	95.33333333333334	3.3333333333333335	91.33333333333334	3.3333333333333335	91.33333333333334					-2	97.56718379659553	-2	82.00549548490724																																									-2	93.37058823529412	-2	89.37058823529412	-2	84.31520244461423	-2	81.31520244461423									-2	90.83725490196079	-2	91.12296918767507	-2	69.92472625413804	-2	69.92472625413804																																																																
146	Apriori	IdBkSyl1>>IdBk	3.3333333333333286	115.33882881824054																																																																																																																																																		
153	euu	eyy			0.8571428571428571	96.1959716753834			-2	93.33333333333334	-2	89.33333333333334	-2	89.33333333333334							0.8571428571428571	82.8626383420501																																													0.8571428571428571	85.17234530175709	0.8571428571428571	82.17234530175709													0.8571428571428571	70.7818691112809	0.8571428571428571	70.7818691112809																																																																
153	Apriori	IdBkSyl1>>IdBk	0.8571428571428612	116.1959716753834																																																																																																																																																		
161	iOi	ioi			3.3333333333333335	99.52930500871673	3.3333333333333335	104.23809523809524	3.3333333333333335	96.66666666666667	3.3333333333333335	92.66666666666667	3.3333333333333335	92.66666666666667					-2	95.56718379659553	-2	80.8626383420501																																																									-2	88.83725490196079	-2	89.12296918767507	-2	68.7818691112809	-2	68.7818691112809																																													-2	91.26802413273002	-2	91.26802413273002													-2	81.2483526277644	-2	81.2483526277644
161	Apriori	IdBkSyl1>>IdBk	3.3333333333333286	119.52930500871673																																																																																																																																																		
175	eo	eO			0.6666666666666666	100.1959716753834	-2	102.23809523809524	-2	94.66666666666667	-2	90.66666666666667	-2	90.66666666666667					0.6666666666666666	96.2338504632622	0.6666666666666666	81.52930500871678																																									0.6666666666666666	94.0372549019608	0.6666666666666666	90.0372549019608	0.6666666666666666	85.83901196842376	0.6666666666666666	82.83901196842376									0.6666666666666666	89.50392156862746	0.6666666666666666	89.78963585434174	0.6666666666666666	69.44853577794757	0.6666666666666666	69.44853577794757																																																																
175	Apriori	IdBkSyl1>>IdBk	0.6666666666666714	120.1959716753834																																																																																																																																																		
