			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
	eai		0	1	0	0	0	1	0	0	0
	eii		0	2	0	0	0	2	0	0	0
	iau		0	0	0	0	1	1	0	0	0
	iai		0	1	0	0	1	2	0	0	0
	iii		0	2	0	0	1	3	0	0	0
	eiy		0	2	0	0	0	1	1	0	0
	iay		0	1	0	0	1	1	1	0	0
	iiy		0	2	0	0	1	2	1	0	0
	iAy		0	2	0	0	1	1	2	0	0
	Eai		1	2	0	0	0	1	0	0	1
	Eii		1	3	0	0	0	2	0	0	1
	Eiy		1	3	0	0	0	1	1	0	1
	ei_		0	1	0	1	0	1	0	0	0
	ia_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ai		0	1	1	1	0	1	0	0	0
	_ii		0	2	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	i_y		0	1	0	1	1	1	1	0	0
	_iy		0	2	1	1	0	1	1	0	0
	Ei_		1	2	0	1	0	1	0	0	1
eue	eue	1	0	0	0	0	0	0	0	0	0
	euE		0	1	0	0	0	0	0	0	1
	eye		0	1	0	0	0	0	1	0	0
	eyE		0	2	0	0	0	0	1	0	1
	Eue		1	1	0	0	0	0	0	0	1
	EuE		1	2	0	0	0	0	0	0	2
	Eye		1	2	0	0	0	0	1	0	1
	EyE		1	3	0	0	0	0	1	0	2
	eu_		0	0	0	1	0	0	0	0	0
	e__		0	0	0	2	0	0	0	0	0
	_ue		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	e_E		0	1	0	1	0	0	0	0	1
	_uE		0	1	1	1	0	0	0	0	1
	__E		0	1	1	2	0	0	0	0	1
	ey_		0	1	0	1	0	0	1	0	0
	_ye		0	1	1	1	0	0	1	0	0
	_y_		0	1	1	2	0	0	1	0	0
	_yE		0	2	1	1	0	0	1	0	1
	Eu_		1	1	0	1	0	0	0	0	1
	E__		1	1	0	2	0	0	0	0	1
	E_E		1	2	0	1	0	0	0	0	2
	Ey_		1	2	0	1	0	0	1	0	1
	eui		0	0	0	0	0	1	0	0	0
	eie		0	1	0	0	0	1	0	0	0
	eii		0	1	0	0	0	2	0	0	0
	iue		0	0	0	0	1	1	0	0	0
	iui		0	0	0	0	1	2	0	0	0
	iie		0	1	0	0	1	2	0	0	0
	iii		0	1	0	0	1	3	0	0	0
	eiE		0	2	0	0	0	1	0	0	1
	iuE		0	1	0	0	1	1	0	0	1
	iiE		0	2	0	0	1	2	0	0	1
	eyi		0	1	0	0	0	1	1	0	0
	iye		0	1	0	0	1	1	1	0	0
	iyi		0	1	0	0	1	2	1	0	0
	iyE		0	2	0	0	1	1	1	0	1
	Eui		1	1	0	0	0	1	0	0	1
	Eie		1	2	0	0	0	1	0	0	1
	Eii		1	2	0	0	0	2	0	0	1
	EiE		1	3	0	0	0	1	0	0	2
	Eyi		1	2	0	0	0	1	1	0	1
	ei_		0	1	0	1	0	1	0	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	e_i		0	0	0	1	0	1	0	0	0
	i_i		0	0	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ui		0	0	1	1	0	1	0	0	0
	_ie		0	1	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	__i		0	0	1	2	0	1	0	0	0
	i_E		0	1	0	1	1	1	0	0	1
	_iE		0	2	1	1	0	1	0	0	1
	iy_		0	1	0	1	1	1	1	0	0
	_yi		0	1	1	1	0	1	1	0	0
	Ei_		1	2	0	1	0	1	0	0	1
	E_i		1	1	0	1	0	1	0	0	1
eui	eui	1	0	0	0	0	0	0	0	0	0
	euI		0	1	0	0	0	0	0	1	1
	eyi		0	1	0	0	0	0	1	0	0
	eyI		0	2	0	0	0	0	1	1	1
	Eui		1	1	0	0	0	0	0	0	1
	EuI		1	2	0	0	0	0	0	1	2
	Eyi		1	2	0	0	0	0	1	0	1
	EyI		1	3	0	0	0	0	1	1	2
	eu_		0	0	0	1	0	0	0	0	0
	e__		0	0	0	2	0	0	0	0	0
	_ui		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	e_I		0	1	0	1	0	0	0	1	1
	_uI		0	1	1	1	0	0	0	1	1
	__I		0	1	1	2	0	0	0	1	1
	ey_		0	1	0	1	0	0	1	0	0
	_yi		0	1	1	1	0	0	1	0	0
	_y_		0	1	1	2	0	0	1	0	0
	_yI		0	2	1	1	0	0	1	1	1
	Eu_		1	1	0	1	0	0	0	0	1
	E__		1	1	0	2	0	0	0	0	1
	E_I		1	2	0	1	0	0	0	1	2
	Ey_		1	2	0	1	0	0	1	0	1
	eue		0	0	0	0	0	1	0	0	0
	eii		0	1	0	0	0	1	0	0	0
	eie		0	1	0	0	0	2	0	0	0
	iui		0	0	0	0	1	1	0	0	0
	iue		0	0	0	0	1	2	0	0	0
	iii		0	1	0	0	1	2	0	0	0
	iie		0	1	0	0	1	3	0	0	0
	eiI		0	2	0	0	0	1	0	1	1
	iuI		0	1	0	0	1	1	0	1	1
	iiI		0	2	0	0	1	2	0	1	1
	eye		0	1	0	0	0	1	1	0	0
	iyi		0	1	0	0	1	1	1	0	0
	iye		0	1	0	0	1	2	1	0	0
	iyI		0	2	0	0	1	1	1	1	1
	Eue		1	1	0	0	0	1	0	0	1
	Eii		1	2	0	0	0	1	0	0	1
	Eie		1	2	0	0	0	2	0	0	1
	EiI		1	3	0	0	0	1	0	1	2
	Eye		1	2	0	0	0	1	1	0	1
	ei_		0	1	0	1	0	1	0	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	e_e		0	0	0	1	0	1	0	0	0
	i_e		0	0	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ue		0	0	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	1	0	0	0
	_ie		0	1	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	__e		0	0	1	2	0	1	0	0	0
	i_I		0	1	0	1	1	1	0	1	1
	_iI		0	2	1	1	0	1	0	1	1
	iy_		0	1	0	1	1	1	1	0	0
	_ye		0	1	1	1	0	1	1	0	0
	Ei_		1	2	0	1	0	1	0	0	1
	E_e		1	1	0	1	0	1	0	0	1
euo	euo	1	0	0	0	0	0	0	0	0	0
	euO		0	1	0	0	0	0	1	0	0
	eyO		0	2	0	0	0	0	2	0	0
	Euo		1	1	0	0	0	0	0	0	1
	EuO		1	2	0	0	0	0	1	0	1
	EyO		1	3	0	0	0	0	2	0	1
	eu_		0	0	0	1	0	0	0	0	0
	e__		0	0	0	2	0	0	0	0	0
	_uo		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	e_O		0	1	0	1	0	0	1	0	0
	_uO		0	1	1	1	0	0	1	0	0
	__O		0	1	1	2	0	0	1	0	0
	_yO		0	2	1	1	0	0	2	0	0
	Eu_		1	1	0	1	0	0	0	0	1
	E__		1	1	0	2	0	0	0	0	1
	E_O		1	2	0	1	0	0	1	0	1
	eui		0	1	0	0	0	1	0	0	0
	eii		0	2	0	0	0	2	0	0	0
	iuo		0	0	0	0	1	1	0	0	0
	iui		0	1	0	0	1	2	0	0	0
	iii		0	2	0	0	1	3	0	0	0
	eiO		0	2	0	0	0	1	1	0	0
	iuO		0	1	0	0	1	1	1	0	0
	iiO		0	2	0	0	1	2	1	0	0
	iyO		0	2	0	0	1	1	2	0	0
	Eui		1	2	0	0	0	1	0	0	1
	Eii		1	3	0	0	0	2	0	0	1
	EiO		1	3	0	0	0	1	1	0	1
	ei_		0	1	0	1	0	1	0	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ui		0	1	1	1	0	1	0	0	0
	_ii		0	2	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	i_O		0	1	0	1	1	1	1	0	0
	_iO		0	2	1	1	0	1	1	0	0
	Ei_		1	2	0	1	0	1	0	0	1
eua	eua	1	0	0	0	0	0	0	0	0	0
	euA		0	1	0	0	0	0	1	0	0
	eyA		0	2	0	0	0	0	2	0	0
	Eua		1	1	0	0	0	0	0	0	1
	EuA		1	2	0	0	0	0	1	0	1
	EyA		1	3	0	0	0	0	2	0	1
	eu_		0	0	0	1	0	0	0	0	0
	e__		0	0	0	2	0	0	0	0	0
	_ua		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	e_A		0	1	0	1	0	0	1	0	0
	_uA		0	1	1	1	0	0	1	0	0
	__A		0	1	1	2	0	0	1	0	0
	_yA		0	2	1	1	0	0	2	0	0
	Eu_		1	1	0	1	0	0	0	0	1
	E__		1	1	0	2	0	0	0	0	1
	E_A		1	2	0	1	0	0	1	0	1
	eui		0	1	0	0	0	1	0	0	0
	eii		0	2	0	0	0	2	0	0	0
	iua		0	0	0	0	1	1	0	0	0
	iui		0	1	0	0	1	2	0	0	0
	iii		0	2	0	0	1	3	0	0	0
	eiA		0	2	0	0	0	1	1	0	0
	iuA		0	1	0	0	1	1	1	0	0
	iiA		0	2	0	0	1	2	1	0	0
	iyA		0	2	0	0	1	1	2	0	0
	Eui		1	2	0	0	0	1	0	0	1
	Eii		1	3	0	0	0	2	0	0	1
	EiA		1	3	0	0	0	1	1	0	1
	ei_		0	1	0	1	0	1	0	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ui		0	1	1	1	0	1	0	0	0
	_ii		0	2	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	i_A		0	1	0	1	1	1	1	0	0
	_iA		0	2	1	1	0	1	1	0	0
	Ei_		1	2	0	1	0	1	0	0	1
euu	euu	1	0	0	0	0	0	0	0	0	0
	euy		0	1	0	0	0	0	1	0	0
	eyy		0	2	0	0	0	0	2	0	0
	Euu		1	1	0	0	0	0	0	0	1
	Euy		1	2	0	0	0	0	1	0	1
	Eyy		1	3	0	0	0	0	2	0	1
	eu_		0	0	0	1	0	0	0	0	0
	e__		0	0	0	2	0	0	0	0	0
	_uu		0	0	1	1	0	0	0	0	0
	_u_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	e_y		0	1	0	1	0	0	1	0	0
	_uy		0	1	1	1	0	0	1	0	0
	__y		0	1	1	2	0	0	1	0	0
	_yy		0	2	1	1	0	0	2	0	0
	Eu_		1	1	0	1	0	0	0	0	1
	E__		1	1	0	2	0	0	0	0	1
	E_y		1	2	0	1	0	0	1	0	1
	eui		0	1	0	0	0	1	0	0	0
	eii		0	2	0	0	0	2	0	0	0
	iuu		0	0	0	0	1	1	0	0	0
	iui		0	1	0	0	1	2	0	0	0
	iii		0	2	0	0	1	3	0	0	0
	eiy		0	2	0	0	0	1	1	0	0
	iuy		0	1	0	0	1	1	1	0	0
	iiy		0	2	0	0	1	2	1	0	0
	iyy		0	2	0	0	1	1	2	0	0
	Eui		1	2	0	0	0	1	0	0	1
	Eii		1	3	0	0	0	2	0	0	1
	Eiy		1	3	0	0	0	1	1	0	1
	ei_		0	1	0	1	0	1	0	0	0
	iu_		0	0	0	1	1	1	0	0	0
	ii_		0	1	0	1	1	2	0	0	0
	i__		0	0	0	2	1	1	0	0	0
	_ui		0	1	1	1	0	1	0	0	0
	_ii		0	2	1	1	0	2	0	0	0
	_i_		0	1	1	2	0	1	0	0	0
	i_y		0	1	0	1	1	1	1	0	0
	_iy		0	2	1	1	0	1	1	0	0
	Ei_		1	2	0	1	0	1	0	0	1
iee	iee	1	0	0	0	0	0	0	0	0	0
	ieE		0	1	0	0	0	0	0	0	1
	iEE		0	2	0	0	0	0	0	0	2
	Iee		1	1	0	0	0	0	0	1	1
	IeE		1	2	0	0	0	0	0	1	2
	IEE		1	3	0	0	0	0	0	1	3
	ie_		0	0	0	1	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0
	_ee		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	i_E		0	1	0	1	0	0	0	0	1
	_eE		0	1	1	1	0	0	0	0	1
	__E		0	1	1	2	0	0	0	0	1
	_EE		0	2	1	1	0	0	0	0	2
	Ie_		1	1	0	1	0	0	0	1	1
	I__		1	1	0	2	0	0	0	1	1
	I_E		1	2	0	1	0	0	0	1	2
	iei		0	0	0	0	0	1	0	0	0
	iii		0	0	0	0	0	2	0	0	0
	eee		0	0	0	0	1	1	0	0	0
	eei		0	0	0	0	1	2	0	0	0
	eii		0	0	0	0	1	3	0	0	0
	iiE		0	1	0	0	0	1	0	0	1
	eeE		0	1	0	0	1	1	0	0	1
	eiE		0	1	0	0	1	2	0	0	1
	eEE		0	2	0	0	1	1	0	0	2
	Iei		1	1	0	0	0	1	0	1	1
	Iii		1	1	0	0	0	2	0	1	1
	IiE		1	2	0	0	0	1	0	1	2
	ii_		0	0	0	1	0	1	0	0	0
	ee_		0	0	0	1	1	1	0	0	0
	ei_		0	0	0	1	1	2	0	0	0
	e__		0	0	0	2	1	1	0	0	0
	_ei		0	0	1	1	0	1	0	0	0
	_ii		0	0	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	e_E		0	1	0	1	1	1	0	0	1
	_iE		0	1	1	1	0	1	0	0	1
	Ii_		1	1	0	1	0	1	0	1	1
iei	iei	1	0	0	0	0	0	0	0	0	0
	ieI		0	1	0	0	0	0	0	1	1
	iEi		0	1	0	0	0	0	0	0	1
	iEI		0	2	0	0	0	0	0	1	2
	Iei		1	1	0	0	0	0	0	1	1
	IeI		1	2	0	0	0	0	0	2	2
	IEi		1	2	0	0	0	0	0	1	2
	IEI		1	3	0	0	0	0	0	2	3
	ie_		0	0	0	1	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0
	_ei		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	i_I		0	1	0	1	0	0	0	1	1
	_eI		0	1	1	1	0	0	0	1	1
	__I		0	1	1	2	0	0	0	1	1
	iE_		0	1	0	1	0	0	0	0	1
	_Ei		0	1	1	1	0	0	0	0	1
	_E_		0	1	1	2	0	0	0	0	1
	_EI		0	2	1	1	0	0	0	1	2
	Ie_		1	1	0	1	0	0	0	1	1
	I__		1	1	0	2	0	0	0	1	1
	I_I		1	2	0	1	0	0	0	2	2
	IE_		1	2	0	1	0	0	0	1	2
	iee		0	0	0	0	0	1	0	0	0
	iie		0	0	0	0	0	2	0	0	0
	eei		0	0	0	0	1	1	0	0	0
	eee		0	0	0	0	1	2	0	0	0
	eie		0	0	0	0	1	3	0	0	0
	iiI		0	1	0	0	0	1	0	1	1
	eeI		0	1	0	0	1	1	0	1	1
	eiI		0	1	0	0	1	2	0	1	1
	iEe		0	1	0	0	0	1	0	0	1
	eEi		0	1	0	0	1	1	0	0	1
	eEe		0	1	0	0	1	2	0	0	1
	eEI		0	2	0	0	1	1	0	1	2
	Iee		1	1	0	0	0	1	0	1	1
	Iie		1	1	0	0	0	2	0	1	1
	IiI		1	2	0	0	0	1	0	2	2
	IEe		1	2	0	0	0	1	0	1	2
	ii_		0	0	0	1	0	1	0	0	0
	ee_		0	0	0	1	1	1	0	0	0
	ei_		0	0	0	1	1	2	0	0	0
	e__		0	0	0	2	1	1	0	0	0
	_ee		0	0	1	1	0	1	0	0	0
	_ie		0	0	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	e_I		0	1	0	1	1	1	0	1	1
	_iI		0	1	1	1	0	1	0	1	1
	eE_		0	1	0	1	1	1	0	0	1
	_Ee		0	1	1	1	0	1	0	0	1
	Ii_		1	1	0	1	0	1	0	1	1
ieo	ieo	1	0	0	0	0	0	0	0	0	0
	ieO		0	1	0	0	0	0	1	0	0
	iEo		0	1	0	0	0	0	0	0	1
	iEO		0	2	0	0	0	0	1	0	1
	Ieo		1	1	0	0	0	0	0	1	1
	IeO		1	2	0	0	0	0	1	1	1
	IEo		1	2	0	0	0	0	0	1	2
	IEO		1	3	0	0	0	0	1	1	2
	ie_		0	0	0	1	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0
	_eo		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	i_O		0	1	0	1	0	0	1	0	0
	_eO		0	1	1	1	0	0	1	0	0
	__O		0	1	1	2	0	0	1	0	0
	iE_		0	1	0	1	0	0	0	0	1
	_Eo		0	1	1	1	0	0	0	0	1
	_E_		0	1	1	2	0	0	0	0	1
	_EO		0	2	1	1	0	0	1	0	1
	Ie_		1	1	0	1	0	0	0	1	1
	I__		1	1	0	2	0	0	0	1	1
	I_O		1	2	0	1	0	0	1	1	1
	IE_		1	2	0	1	0	0	0	1	2
	iei		0	1	0	0	0	1	0	0	0
	iio		0	0	0	0	0	1	0	0	0
	iii		0	1	0	0	0	2	0	0	0
	eeo		0	0	0	0	1	1	0	0	0
	eei		0	1	0	0	1	2	0	0	0
	eio		0	0	0	0	1	2	0	0	0
	eii		0	1	0	0	1	3	0	0	0
	iiO		0	1	0	0	0	1	1	0	0
	eeO		0	1	0	0	1	1	1	0	0
	eiO		0	1	0	0	1	2	1	0	0
	iEi		0	2	0	0	0	1	0	0	1
	eEo		0	1	0	0	1	1	0	0	1
	eEi		0	2	0	0	1	2	0	0	1
	eEO		0	2	0	0	1	1	1	0	1
	Iei		1	2	0	0	0	1	0	1	1
	Iio		1	1	0	0	0	1	0	1	1
	Iii		1	2	0	0	0	2	0	1	1
	IiO		1	2	0	0	0	1	1	1	1
	IEi		1	3	0	0	0	1	0	1	2
	ii_		0	0	0	1	0	1	0	0	0
	ee_		0	0	0	1	1	1	0	0	0
	ei_		0	0	0	1	1	2	0	0	0
	i_i		0	1	0	1	0	1	0	0	0
	e_i		0	1	0	1	1	2	0	0	0
	e__		0	0	0	2	1	1	0	0	0
	_ei		0	1	1	1	0	1	0	0	0
	_io		0	0	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	__i		0	1	1	2	0	1	0	0	0
	e_O		0	1	0	1	1	1	1	0	0
	_iO		0	1	1	1	0	1	1	0	0
	eE_		0	1	0	1	1	1	0	0	1
	_Ei		0	2	1	1	0	1	0	0	1
	Ii_		1	1	0	1	0	1	0	1	1
	I_i		1	2	0	1	0	1	0	1	1
iea	iea	1	0	0	0	0	0	0	0	0	0
	ieA		0	1	0	0	0	0	1	0	0
	iEa		0	1	0	0	0	0	0	0	1
	iEA		0	2	0	0	0	0	1	0	1
	Iea		1	1	0	0	0	0	0	1	1
	IeA		1	2	0	0	0	0	1	1	1
	IEa		1	2	0	0	0	0	0	1	2
	IEA		1	3	0	0	0	0	1	1	2
	ie_		0	0	0	1	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0
	_ea		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	i_A		0	1	0	1	0	0	1	0	0
	_eA		0	1	1	1	0	0	1	0	0
	__A		0	1	1	2	0	0	1	0	0
	iE_		0	1	0	1	0	0	0	0	1
	_Ea		0	1	1	1	0	0	0	0	1
	_E_		0	1	1	2	0	0	0	0	1
	_EA		0	2	1	1	0	0	1	0	1
	Ie_		1	1	0	1	0	0	0	1	1
	I__		1	1	0	2	0	0	0	1	1
	I_A		1	2	0	1	0	0	1	1	1
	IE_		1	2	0	1	0	0	0	1	2
	iei		0	1	0	0	0	1	0	0	0
	iia		0	0	0	0	0	1	0	0	0
	iii		0	1	0	0	0	2	0	0	0
	eea		0	0	0	0	1	1	0	0	0
	eei		0	1	0	0	1	2	0	0	0
	eia		0	0	0	0	1	2	0	0	0
	eii		0	1	0	0	1	3	0	0	0
	iiA		0	1	0	0	0	1	1	0	0
	eeA		0	1	0	0	1	1	1	0	0
	eiA		0	1	0	0	1	2	1	0	0
	iEi		0	2	0	0	0	1	0	0	1
	eEa		0	1	0	0	1	1	0	0	1
	eEi		0	2	0	0	1	2	0	0	1
	eEA		0	2	0	0	1	1	1	0	1
	Iei		1	2	0	0	0	1	0	1	1
	Iia		1	1	0	0	0	1	0	1	1
	Iii		1	2	0	0	0	2	0	1	1
	IiA		1	2	0	0	0	1	1	1	1
	IEi		1	3	0	0	0	1	0	1	2
	ii_		0	0	0	1	0	1	0	0	0
	ee_		0	0	0	1	1	1	0	0	0
	ei_		0	0	0	1	1	2	0	0	0
	i_i		0	1	0	1	0	1	0	0	0
	e_i		0	1	0	1	1	2	0	0	0
	e__		0	0	0	2	1	1	0	0	0
	_ei		0	1	1	1	0	1	0	0	0
	_ia		0	0	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	__i		0	1	1	2	0	1	0	0	0
	e_A		0	1	0	1	1	1	1	0	0
	_iA		0	1	1	1	0	1	1	0	0
	eE_		0	1	0	1	1	1	0	0	1
	_Ei		0	2	1	1	0	1	0	0	1
	Ii_		1	1	0	1	0	1	0	1	1
	I_i		1	2	0	1	0	1	0	1	1
ieu	ieu	1	0	0	0	0	0	0	0	0	0
	iey		0	1	0	0	0	0	1	0	0
	iEu		0	1	0	0	0	0	0	0	1
	iEy		0	2	0	0	0	0	1	0	1
	Ieu		1	1	0	0	0	0	0	1	1
	Iey		1	2	0	0	0	0	1	1	1
	IEu		1	2	0	0	0	0	0	1	2
	IEy		1	3	0	0	0	0	1	1	2
	ie_		0	0	0	1	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0
	_eu		0	0	1	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	i_y		0	1	0	1	0	0	1	0	0
	_ey		0	1	1	1	0	0	1	0	0
	__y		0	1	1	2	0	0	1	0	0
	iE_		0	1	0	1	0	0	0	0	1
	_Eu		0	1	1	1	0	0	0	0	1
	_E_		0	1	1	2	0	0	0	0	1
	_Ey		0	2	1	1	0	0	1	0	1
	Ie_		1	1	0	1	0	0	0	1	1
	I__		1	1	0	2	0	0	0	1	1
	I_y		1	2	0	1	0	0	1	1	1
	IE_		1	2	0	1	0	0	0	1	2
	iei		0	1	0	0	0	1	0	0	0
	iiu		0	0	0	0	0	1	0	0	0
	iii		0	1	0	0	0	2	0	0	0
	eeu		0	0	0	0	1	1	0	0	0
	eei		0	1	0	0	1	2	0	0	0
	eiu		0	0	0	0	1	2	0	0	0
	eii		0	1	0	0	1	3	0	0	0
	iiy		0	1	0	0	0	1	1	0	0
	eey		0	1	0	0	1	1	1	0	0
	eiy		0	1	0	0	1	2	1	0	0
	iEi		0	2	0	0	0	1	0	0	1
	eEu		0	1	0	0	1	1	0	0	1
	eEi		0	2	0	0	1	2	0	0	1
	eEy		0	2	0	0	1	1	1	0	1
	Iei		1	2	0	0	0	1	0	1	1
	Iiu		1	1	0	0	0	1	0	1	1
	Iii		1	2	0	0	0	2	0	1	1
	Iiy		1	2	0	0	0	1	1	1	1
	IEi		1	3	0	0	0	1	0	1	2
	ii_		0	0	0	1	0	1	0	0	0
	ee_		0	0	0	1	1	1	0	0	0
	ei_		0	0	0	1	1	2	0	0	0
	i_i		0	1	0	1	0	1	0	0	0
	e_i		0	1	0	1	1	2	0	0	0
	e__		0	0	0	2	1	1	0	0	0
	_ei		0	1	1	1	0	1	0	0	0
	_iu		0	0	1	1	0	1	0	0	0
	_ii		0	1	1	1	0	2	0	0	0
	_i_		0	0	1	2	0	1	0	0	0
	__i		0	1	1	2	0	1	0	0	0
	e_y		0	1	0	1	1	1	1	0	0
	_iy		0	1	1	1	0	1	1	0	0
	eE_		0	1	0	1	1	1	0	0	1
	_Ei		0	2	1	1	0	1	0	0	1
	Ii_		1	1	0	1	0	1	0	1	1
	I_i		1	2	0	1	0	1	0	1	1
iie	iie	1	0	0	0	0	0	0	0	0	0
	iiE		0	1	0	0	0	0	0	0	1
	iIe		0	1	0	0	0	0	0	1	1
	iIE		0	2	0	0	0	0	0	1	2
	Iie		1	1	0	0	0	0	0	1	1
	IiE		1	2	0	0	0	0	0	1	2
	IIe		1	2	0	0	0	0	0	2	2
	IIE		1	3	0	0	0	0	0	2	3
	ii_		0	0	0	1	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0
	_ie		0	0	1	1	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	i_E		0	1	0	1	0	0	0	0	1
	_iE		0	1	1	1	0	0	0	0	1
	__E		0	1	1	2	0	0	0	0	1
	iI_		0	1	0	1	0	0	0	1	1
	_Ie		0	1	1	1	0	0	0	1	1
	_I_		0	1	1	2	0	0	0	1	1
	_IE		0	2	1	1	0	0	0	1	2
	Ii_		1	1	0	1	0	0	0	1	1
	I__		1	1	0	2	0	0	0	1	1
	I_E		1	2	0	1	0	0	0	1	2
	II_		1	2	0	1	0	0	0	2	2
	iii		0	0	0	0	0	1	0	0	0
	iei		0	0	0	0	0	2	0	0	0
	eie		0	0	0	0	1	1	0	0	0
	eii		0	0	0	0	1	2	0	0	0
	eei		0	0	0	0	1	3	0	0	0
	ieE		0	1	0	0	0	1	0	0	1
	eiE		0	1	0	0	1	1	0	0	1
	eeE		0	1	0	0	1	2	0	0	1
	iIi		0	1	0	0	0	1	0	1	1
	eIe		0	1	0	0	1	1	0	1	1
	eIi		0	1	0	0	1	2	0	1	1
	eIE		0	2	0	0	1	1	0	1	2
	Iii		1	1	0	0	0	1	0	1	1
	Iei		1	1	0	0	0	2	0	1	1
	IeE		1	2	0	0	0	1	0	1	2
	IIi		1	2	0	0	0	1	0	2	2
	ie_		0	0	0	1	0	1	0	0	0
	ei_		0	0	0	1	1	1	0	0	0
	ee_		0	0	0	1	1	2	0	0	0
	e__		0	0	0	2	1	1	0	0	0
	_ii		0	0	1	1	0	1	0	0	0
	_ei		0	0	1	1	0	2	0	0	0
	_e_		0	0	1	2	0	1	0	0	0
	e_E		0	1	0	1	1	1	0	0	1
	_eE		0	1	1	1	0	1	0	0	1
	eI_		0	1	0	1	1	1	0	1	1
	_Ii		0	1	1	1	0	1	0	1	1
	Ie_		1	1	0	1	0	1	0	1	1
iii	iii	1	0	0	0	0	0	0	0	0	0
	iiI		0	1	0	0	0	0	0	1	1
	iII		0	2	0	0	0	0	0	2	2
	Iii		1	1	0	0	0	0	0	1	1
	IiI		1	2	0	0	0	0	0	2	2
	III		1	3	0	0	0	0	0	3	3
	ii_		0	0	0	1	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0
	_ii		0	0	1	1	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0
	___		0	0	1	3	0	0	0	0	0
	i_I		0	1	0	1	0	0	0	1	1
	_iI		0	1	1	1	0	0	0	1	1
	__I		0	1	1	2	0	0	0	1	1
	_II		0	2	1	1	0	0	0	2	2
	Ii_		1	1	0	1	0	0	0	1	1
	I__		1	1	0	2	0	0	0	1	1
	I_I		1	2	0	1	0	0	0	2	2
	iie		0	0	0	0	0	1	0	0	0
