			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
	y_		0	0	0	1	0	0	1	0	0
	_a		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_A		0	1	1	1	0	0	1	0	0
	u_		1	1	0	1	0	0	0	0	0
	yi		0	1	0	0	0	1	1	0	0
	ia		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iA		0	1	0	0	1	1	1	0	0
	ui		1	2	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
yu	yu	1	0	0	0	0	0	0	1	0	0
	yy		0	1	0	0	0	0	2	0	0
	uu		1	1	0	0	0	0	0	0	0
	uy		1	2	0	0	0	0	1	0	0
	y_		0	0	0	1	0	0	1	0	0
	_u		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_y		0	1	1	1	0	0	1	0	0
	u_		1	1	0	1	0	0	0	0	0
	yi		0	1	0	0	0	1	1	0	0
	iu		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iy		0	1	0	0	1	1	1	0	0
	ui		1	2	0	0	0	1	0	0	0
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
ee	ee	1	0	0	0	0	0	0	0	0	0
	eE		0	1	0	0	0	0	0	0	1
	Ee		1	1	0	0	0	0	0	0	1
	EE		1	2	0	0	0	0	0	0	2
	e_		0	0	0	1	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	1
	E_		1	1	0	1	0	0	0	0	1
	ei		0	0	0	0	0	1	0	0	0
	ie		0	0	0	0	1	1	0	0	0
	ii		0	0	0	0	1	2	0	0	0
	iE		0	1	0	0	1	1	0	0	1
	Ei		1	1	0	0	0	1	0	0	1
	i_		0	0	0	1	1	1	0	0	0
	_i		0	0	1	1	0	1	0	0	0
ei	ei	1	0	0	0	0	0	0	0	0	0
	eI		0	1	0	0	0	0	0	1	1
	Ei		1	1	0	0	0	0	0	0	1
	EI		1	2	0	0	0	0	0	1	2
	e_		0	0	0	1	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	1
	E_		1	1	0	1	0	0	0	0	1
	ee		0	0	0	0	0	1	0	0	0
	ii		0	0	0	0	1	1	0	0	0
	ie		0	0	0	0	1	2	0	0	0
	iI		0	1	0	0	1	1	0	1	1
	Ee		1	1	0	0	0	1	0	0	1
	i_		0	0	0	1	1	1	0	0	0
	_e		0	0	1	1	0	1	0	0	0
eo	eo	1	0	0	0	0	0	0	0	0	0
	eO		0	1	0	0	0	0	1	0	0
	Eo		1	1	0	0	0	0	0	0	1
	EO		1	2	0	0	0	0	1	0	1
	e_		0	0	0	1	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_O		0	1	1	1	0	0	1	0	0
	E_		1	1	0	1	0	0	0	0	1
	ei		0	1	0	0	0	1	0	0	0
	io		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iO		0	1	0	0	1	1	1	0	0
	Ei		1	2	0	0	0	1	0	0	1
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
ea	ea	1	0	0	0	0	0	0	0	0	0
	eA		0	1	0	0	0	0	1	0	0
	Ea		1	1	0	0	0	0	0	0	1
	EA		1	2	0	0	0	0	1	0	1
	e_		0	0	0	1	0	0	0	0	0
	_a		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_A		0	1	1	1	0	0	1	0	0
	E_		1	1	0	1	0	0	0	0	1
	ei		0	1	0	0	0	1	0	0	0
	ia		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iA		0	1	0	0	1	1	1	0	0
	Ei		1	2	0	0	0	1	0	0	1
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
eu	eu	1	0	0	0	0	0	0	0	0	0
	ey		0	1	0	0	0	0	1	0	0
	Eu		1	1	0	0	0	0	0	0	1
	Ey		1	2	0	0	0	0	1	0	1
	e_		0	0	0	1	0	0	0	0	0
	_u		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_y		0	1	1	1	0	0	1	0	0
	E_		1	1	0	1	0	0	0	0	1
	ei		0	1	0	0	0	1	0	0	0
	iu		0	0	0	0	1	1	0	0	0
	ii		0	1	0	0	1	2	0	0	0
	iy		0	1	0	0	1	1	1	0	0
	Ei		1	2	0	0	0	1	0	0	1
	i_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
ie	ie	1	0	0	0	0	0	0	0	0	0
	iE		0	1	0	0	0	0	0	0	1
	Ie		1	1	0	0	0	0	0	1	1
	IE		1	2	0	0	0	0	0	1	2
	i_		0	0	0	1	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	1
	I_		1	1	0	1	0	0	0	1	1
	ii		0	0	0	0	0	1	0	0	0
	ee		0	0	0	0	1	1	0	0	0
	ei		0	0	0	0	1	2	0	0	0
	eE		0	1	0	0	1	1	0	0	1
	Ii		1	1	0	0	0	1	0	1	1
	e_		0	0	0	1	1	1	0	0	0
	_i		0	0	1	1	0	1	0	0	0
ii	ii	1	0	0	0	0	0	0	0	0	0
	iI		0	1	0	0	0	0	0	1	1
	Ii		1	1	0	0	0	0	0	1	1
	II		1	2	0	0	0	0	0	2	2
	i_		0	0	0	1	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	1
	I_		1	1	0	1	0	0	0	1	1
	ie		0	0	0	0	0	1	0	0	0
	ei		0	0	0	0	1	1	0	0	0
	ee		0	0	0	0	1	2	0	0	0
	eI		0	1	0	0	1	1	0	1	1
	Ie		1	1	0	0	0	1	0	1	1
	e_		0	0	0	1	1	1	0	0	0
	_e		0	0	1	1	0	1	0	0	0
io	io	1	0	0	0	0	0	0	0	0	0
	iO		0	1	0	0	0	0	1	0	0
	Io		1	1	0	0	0	0	0	1	1
	IO		1	2	0	0	0	0	1	1	1
	i_		0	0	0	1	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_O		0	1	1	1	0	0	1	0	0
	I_		1	1	0	1	0	0	0	1	1
	ii		0	1	0	0	0	1	0	0	0
	eo		0	0	0	0	1	1	0	0	0
	ei		0	1	0	0	1	2	0	0	0
	eO		0	1	0	0	1	1	1	0	0
	Ii		1	2	0	0	0	1	0	1	1
	e_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
ia	ia	1	0	0	0	0	0	0	0	0	0
	iA		0	1	0	0	0	0	1	0	0
	Ia		1	1	0	0	0	0	0	1	1
	IA		1	2	0	0	0	0	1	1	1
	i_		0	0	0	1	0	0	0	0	0
	_a		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_A		0	1	1	1	0	0	1	0	0
	I_		1	1	0	1	0	0	0	1	1
	ii		0	1	0	0	0	1	0	0	0
	ea		0	0	0	0	1	1	0	0	0
	ei		0	1	0	0	1	2	0	0	0
	eA		0	1	0	0	1	1	1	0	0
	Ii		1	2	0	0	0	1	0	1	1
	e_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
iu	iu	1	0	0	0	0	0	0	0	0	0
	iy		0	1	0	0	0	0	1	0	0
	Iu		1	1	0	0	0	0	0	1	1
	Iy		1	2	0	0	0	0	1	1	1
	i_		0	0	0	1	0	0	0	0	0
	_u		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_y		0	1	1	1	0	0	1	0	0
	I_		1	1	0	1	0	0	0	1	1
	ii		0	1	0	0	0	1	0	0	0
	eu		0	0	0	0	1	1	0	0	0
	ei		0	1	0	0	1	2	0	0	0
	ey		0	1	0	0	1	1	1	0	0
	Ii		1	2	0	0	0	1	0	1	1
	e_		0	0	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
Ee	Ee	1	0	0	0	0	0	0	0	0	1
	EE		0	1	0	0	0	0	0	0	2
	ee		1	1	0	0	0	0	0	0	0
	eE		1	2	0	0	0	0	0	0	1
	E_		0	0	0	1	0	0	0	0	1
	_e		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	1
	e_		1	1	0	1	0	0	0	0	0
	Ei		0	0	0	0	0	1	0	0	1
	ie		1	1	0	0	1	1	0	0	0
	ii		1	1	0	0	1	2	0	0	0
	ei		1	1	0	0	0	1	0	0	0
	iE		1	2	0	0	1	1	0	0	1
	i_		1	1	0	1	1	1	0	0	0
	_i		0	0	1	1	0	1	0	0	0
Ei	Ei	1	0	0	0	0	0	0	0	0	1
	EI		0	1	0	0	0	0	0	1	2
	ei		1	1	0	0	0	0	0	0	0
	eI		1	2	0	0	0	0	0	1	1
	E_		0	0	0	1	0	0	0	0	1
	_i		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	1
	e_		1	1	0	1	0	0	0	0	0
	Ee		0	0	0	0	0	1	0	0	1
	ii		1	1	0	0	1	1	0	0	0
	ie		1	1	0	0	1	2	0	0	0
	ee		1	1	0	0	0	1	0	0	0
	iI		1	2	0	0	1	1	0	1	1
	i_		1	1	0	1	1	1	0	0	0
	_e		0	0	1	1	0	1	0	0	0
Eo	Eo	1	0	0	0	0	0	0	0	0	1
	EO		0	1	0	0	0	0	1	0	1
	eo		1	1	0	0	0	0	0	0	0
	eO		1	2	0	0	0	0	1	0	0
	E_		0	0	0	1	0	0	0	0	1
	_o		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_O		0	1	1	1	0	0	1	0	0
	e_		1	1	0	1	0	0	0	0	0
	Ei		0	1	0	0	0	1	0	0	1
	io		1	1	0	0	1	1	0	0	0
	ii		1	2	0	0	1	2	0	0	0
	ei		1	2	0	0	0	1	0	0	0
	iO		1	2	0	0	1	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
Ea	Ea	1	0	0	0	0	0	0	0	0	1
	EA		0	1	0	0	0	0	1	0	1
	ea		1	1	0	0	0	0	0	0	0
	eA		1	2	0	0	0	0	1	0	0
	E_		0	0	0	1	0	0	0	0	1
	_a		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_A		0	1	1	1	0	0	1	0	0
	e_		1	1	0	1	0	0	0	0	0
	Ei		0	1	0	0	0	1	0	0	1
	ia		1	1	0	0	1	1	0	0	0
	ii		1	2	0	0	1	2	0	0	0
	ei		1	2	0	0	0	1	0	0	0
	iA		1	2	0	0	1	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
Eu	Eu	1	0	0	0	0	0	0	0	0	1
	Ey		0	1	0	0	0	0	1	0	1
	eu		1	1	0	0	0	0	0	0	0
	ey		1	2	0	0	0	0	1	0	0
	E_		0	0	0	1	0	0	0	0	1
	_u		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_y		0	1	1	1	0	0	1	0	0
	e_		1	1	0	1	0	0	0	0	0
	Ei		0	1	0	0	0	1	0	0	1
	iu		1	1	0	0	1	1	0	0	0
	ii		1	2	0	0	1	2	0	0	0
	ei		1	2	0	0	0	1	0	0	0
	iy		1	2	0	0	1	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
oe	oe	1	0	0	0	0	0	0	0	0	0
	oE		0	1	0	0	0	0	0	0	1
	Oe		1	1	0	0	0	0	1	0	0
	OE		1	2	0	0	0	0	1	0	1
	o_		0	0	0	1	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0
