Id(Bk)Syl1	 114.896 
Id(Bk)	 94.8959999999999 
*F1	 103.37 
*F3	 101.37 
*F4	 106.244 
*F5	 100.244 
*B1	 108 
*B2	 109.126 
*B3	 103.756 
*B5	 99.756 
*F1_B1	 100 
*F1..._B1	 100 
*F1_B2	 100 
*F1..._B2	 100 
*F1_B3	 97.98 
*F1..._B3	 97.778 
*F1_B5	 91.98 
*F1..._B5	 87.978 
*F3_B1	 100 
*F3..._B1	 100 
*F3_B2	 100.004 
*F3..._B2	 100.004 
*F3_B3	 95.564 
*F3..._B3	 87.16 
*F3_B5	 79.362 
*F3..._B5	 69.16 
*F4_B1	 100 
*F4..._B1	 100 
*F4_B2	 100.046 
*F4..._B2	 100.246 
*F4_B3	 94.964 
*F4..._B3	 82.962 
*F4_B5	 80.72 
*F4..._B5	 68.742 
*F5_B1	 100 
*F5..._B1	 100 
*F5_B2	 104.246 
*F5..._B2	 104.446 
*F5_B3	 95.144 
*F5..._B3	 89.142 
*F5_B5	 70.9 
*F5..._B5	 68.922 
*_B1F1	 100 
*_B1...F1	 100 
*_B1F3	 100 
*_B1...F3	 100 
*_B1F4	 100 
*_B1...F4	 100 
*_B1F5	 100 
*_B1...F5	 100 
*_B2F1	 100.04 
*_B2...F1	 100.242 
*_B2F3	 100.04 
*_B2...F3	 100.242 
*_B2F4	 92.02 
*_B2...F4	 86.022 
*_B2F5	 86.04 
*_B2...F5	 80.002 
*_B3F1	 100.04 
*_B3...F1	 100.264 
*_B3F3	 100.04 
*_B3...F3	 100.264 
*_B3F4	 89.56 
*_B3...F4	 81.384 
*_B3F5	 83.52 
*_B3...F5	 73.324 
*_B5F1	 102.086 
*_B5...F1	 102.486 
*_B5F3	 104.086 
*_B5...F3	 104.486 
*_B5F4	 84.786 
*_B5...F4	 78.786 
*_B5F5	 72.746 
*_B5...F5	 68.726 

Input#	Input	Cand#	Cand	Freq. from input file	Learning tokens	Output of grammar test	Target proportion	Predicted proportion
 20 	Au	 1 	Ay	 0 	 0 	 16 	 0 	 0.016 
 20 	Au	 2 	au	 0 	 0 	 2 	 0 	 0.002 
 20 	Au	 3 	ay	 0 	 0 	 0 	 0 	 0 
 21 	yO	 0 	yO	 0 	 0 	 171 	 0 	 0.171 
 21 	yO	 1 	yo	 0 	 0 	 827 	 0 	 0.827 
 21 	yO	 2 	uO	 0 	 0 	 0 	 0 	 0 
 21 	yO	 3 	uo	 0 	 0 	 2 	 0 	 0.002 
 22 	yA	 0 	yA	 0 	 0 	 16 	 0 	 0.016 
 22 	yA	 1 	ya	 0 	 0 	 982 	 0 	 0.982 
 22 	yA	 2 	uA	 0 	 0 	 0 	 0 	 0 
 22 	yA	 3 	ua	 0 	 0 	 2 	 0 	 0.002 
 23 	yy	 0 	yy	 0 	 0 	 16 	 0 	 0.016 
 23 	yy	 1 	yu	 0 	 0 	 982 	 0 	 0.982 
 23 	yy	 2 	uy	 0 	 0 	 0 	 0 	 0 
 23 	yy	 3 	uu	 0 	 0 	 2 	 0 	 0.002 
 24 	ye	 0 	ye	 1 	 1 	 868 	 1 	 0.868 
 24 	ye	 1 	yE	 0 	 0 	 130 	 0 	 0.13 
 24 	ye	 2 	ue	 0 	 0 	 0 	 0 	 0 
 24 	ye	 3 	uE	 0 	 0 	 2 	 0 	 0.002 
 25 	yi	 0 	yi	 1 	 2 	 998 	 1 	 0.998 
 25 	yi	 1 	yI	 0 	 0 	 0 	 0 	 0 
 25 	yi	 2 	ui	 0 	 0 	 2 	 0 	 0.002 
 25 	yi	 3 	uI	 0 	 0 	 0 	 0 	 0 
 26 	yI	 0 	yI	 0 	 0 	 0 	 0 	 0 
 26 	yI	 1 	yi	 0 	 0 	 998 	 0 	 0.998 
 26 	yI	 2 	uI	 0 	 0 	 0 	 0 	 0 
 26 	yI	 3 	ui	 0 	 0 	 2 	 0 	 0.002 
 27 	yE	 0 	yE	 0 	 0 	 130 	 0 	 0.13 
 27 	yE	 1 	ye	 0 	 0 	 868 	 0 	 0.868 
 27 	yE	 2 	uE	 0 	 0 	 2 	 0 	 0.002 
 27 	yE	 3 	ue	 0 	 0 	 0 	 0 	 0 
 28 	yo	 0 	yo	 1 	 2 	 827 	 1 	 0.827 
 28 	yo	 1 	yO	 0 	 0 	 171 	 0 	 0.171 
 28 	yo	 2 	uo	 0 	 0 	 2 	 0 	 0.002 
 28 	yo	 3 	uO	 0 	 0 	 0 	 0 	 0 
 29 	ya	 0 	ya	 1 	 2 	 982 	 1 	 0.982 
 29 	ya	 1 	yA	 0 	 0 	 16 	 0 	 0.016 
 29 	ya	 2 	ua	 0 	 0 	 2 	 0 	 0.002 
 29 	ya	 3 	uA	 0 	 0 	 0 	 0 	 0 
 30 	yu	 0 	yu	 1 	 1 	 982 	 1 	 0.982 
 30 	yu	 1 	yy	 0 	 0 	 16 	 0 	 0.016 
 30 	yu	 2 	uu	 0 	 0 	 2 	 0 	 0.002 
 30 	yu	 3 	uy	 0 	 0 	 0 	 0 	 0 
 31 	eO	 0 	eO	 0 	 0 	 171 	 0 	 0.171 
 31 	eO	 1 	eo	 0 	 0 	 827 	 0 	 0.827 
 31 	eO	 2 	EO	 0 	 0 	 0 	 0 	 0 
 31 	eO	 3 	Eo	 0 	 0 	 2 	 0 	 0.002 
 32 	eA	 0 	eA	 0 	 0 	 16 	 0 	 0.016 
 32 	eA	 1 	ea	 0 	 0 	 982 	 0 	 0.982 
 32 	eA	 2 	EA	 0 	 0 	 0 	 0 	 0 
 32 	eA	 3 	Ea	 0 	 0 	 2 	 0 	 0.002 
 33 	ey	 0 	ey	 0 	 0 	 16 	 0 	 0.016 
 33 	ey	 1 	eu	 0 	 0 	 982 	 0 	 0.982 
 33 	ey	 2 	Ey	 0 	 0 	 0 	 0 	 0 
 33 	ey	 3 	Eu	 0 	 0 	 2 	 0 	 0.002 
 34 	ee	 0 	ee	 1 	 1 	 868 	 1 	 0.868 
 34 	ee	 1 	eE	 0 	 0 	 130 	 0 	 0.13 
 34 	ee	 2 	Ee	 0 	 0 	 0 	 0 	 0 
 34 	ee	 3 	EE	 0 	 0 	 2 	 0 	 0.002 
 35 	ei	 0 	ei	 1 	 3 	 998 	 1 	 0.998 
 35 	ei	 1 	eI	 0 	 0 	 0 	 0 	 0 
 35 	ei	 2 	Ei	 0 	 0 	 2 	 0 	 0.002 
 35 	ei	 3 	EI	 0 	 0 	 0 	 0 	 0 
 36 	eI	 0 	eI	 0 	 0 	 0 	 0 	 0 
 36 	eI	 1 	ei	 0 	 0 	 998 	 0 	 0.998 
 36 	eI	 2 	EI	 0 	 0 	 0 	 0 	 0 
 36 	eI	 3 	Ei	 0 	 0 	 2 	 0 	 0.002 
 37 	eE	 0 	eE	 0 	 0 	 130 	 0 	 0.13 
 37 	eE	 1 	ee	 0 	 0 	 868 	 0 	 0.868 
 37 	eE	 2 	EE	 0 	 0 	 2 	 0 	 0.002 
 37 	eE	 3 	Ee	 0 	 0 	 0 	 0 	 0 
 38 	eo	 0 	eo	 1 	 0 	 827 	 1 	 0.827 
 38 	eo	 1 	eO	 0 	 0 	 171 	 0 	 0.171 
 38 	eo	 2 	Eo	 0 	 0 	 2 	 0 	 0.002 
 38 	eo	 3 	EO	 0 	 0 	 0 	 0 	 0 
 39 	ea	 0 	ea	 1 	 2 	 982 	 1 	 0.982 
 39 	ea	 1 	eA	 0 	 0 	 16 	 0 	 0.016 
 39 	ea	 2 	Ea	 0 	 0 	 2 	 0 	 0.002 
 39 	ea	 3 	EA	 0 	 0 	 0 	 0 	 0 
 40 	eu	 0 	eu	 1 	 4 	 982 	 1 	 0.982 
 40 	eu	 1 	ey	 0 	 0 	 16 	 0 	 0.016 
 40 	eu	 2 	Eu	 0 	 0 	 2 	 0 	 0.002 
