trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
51	Eo	eO	0.6666666666666666	44.7724358974359	0.6666666666666666	24.7724358974359	-1	101.52857142857142	-1	94.92857142857144	-1	97.90934065934067	-1	94.07600732600734			0.6666666666666666	98.64285714285717	0.6666666666666666	98.04285714285716	0.6666666666666666	98.69642857142858																																																																																																																																
53	eyA	Eua	0.5	45.2724358974359	0.5	25.2724358974359			0.5	95.42857142857144	0.5	98.40934065934067	0.5	94.57600732600734			-1	97.64285714285717	-1	97.04285714285716	-1	97.69642857142858																																																																																																																																
55	iAe	IaE	0.6666666666666666	45.93910256410256	0.6666666666666666	25.93910256410257			0.6666666666666666	96.09523809523812	0.6666666666666666	99.07600732600734	0.6666666666666666	95.24267399267401	-1	99.4761904761905	-1	96.64285714285717	-1	96.04285714285716	-1	96.69642857142858																																																																																																																																
57	eiy	Eiu	1.8333333333333333	47.7724358974359	1.8333333333333333	27.7724358974359			1.8333333333333333	97.92857142857144	1.8333333333333333	100.90934065934067	1.8333333333333333	97.07600732600734			-1	95.64285714285717	-1	95.04285714285716	-1	95.69642857142858																																																													-1	95.80100732600732	-1	95.80100732600732																													-1	96	-1	95													-1	94	-1	94													-1	93.30357142857143	-1	93.30357142857143
59	ua	yA	0.75	48.5224358974359	0.75	28.5224358974359			-1	96.92857142857144	-1	99.90934065934067	-1	96.07600732600734							0.75	96.44642857142858																																																																																																																																
60	aa	AA	0.75	49.2724358974359	0.75	29.2724358974359			-1	95.92857142857144	-1	98.90934065934067	-1	95.07600732600734							0.75	97.19642857142858																																																																																																																																
62	oaa	OAA	0.8	50.072435897435895	0.8	30.072435897435902	-1	100.52857142857142	-1	94.92857142857144	-1	97.90934065934067	-1	94.07600732600734					0.8	95.84285714285716	0.8	97.99642857142858																																																																																																																																
63	aaE	AAe	0.5	50.572435897435895	0.5	30.572435897435902			-1	93.92857142857144	-1	96.90934065934067	-1	93.07600732600734			0.5	96.14285714285717	0.5	96.34285714285716	0.5	98.49642857142858																																																																																																																																
68	yeO	uEo	0.42857142857142855	51.001007326007326	0.42857142857142855	31.00100732600733	0.42857142857142855	100.95714285714286	0.42857142857142855	94.35714285714288	0.42857142857142855	97.3379120879121	0.42857142857142855	93.50457875457877			-1	95.14285714285717	-1	95.34285714285716	-1	97.49642857142858																																																																																																																																
69	iyi	Iui	1.5	52.501007326007326	1.5	32.501007326007326			1.5	95.85714285714288	1.5	98.8379120879121	1.5	95.00457875457877	-1	98.4761904761905	-1	94.14285714285717	-1	94.34285714285716	-1	96.49642857142858																																																																															-1	98															-1	94															-1	93													-1	92.30357142857143	-1	92.30357142857143
72	oI	oi			0.8333333333333334	33.33434065934066							-1	94.00457875457877	0.8333333333333334	99.30952380952382	0.8333333333333334	94.9761904761905	0.8333333333333334	95.17619047619048	0.8333333333333334	97.32976190476191																																																																																																													-1	93	-1	92													-1	91.30357142857143	-1	91.30357142857143
	a priori	Id(Bk)Syl1>>Id(Bk)	0.8333333333333357	53.33434065934066																																																																																																																																																		
74	ooo	OOO	0.8	54.13434065934066	0.8	34.13434065934066	-1	99.95714285714286	-1	94.85714285714288	-1	97.8379120879121	-1	93.00457875457877					0.8	95.97619047619048	0.8	98.1297619047619																																																																																																																																
75	oou	OOy	0.8	54.934340659340656	0.8	34.934340659340656	-1	98.95714285714286	-1	93.85714285714288	-1	96.8379120879121	-1	92.00457875457877					0.8	96.77619047619048	0.8	98.9297619047619																																																																																																																																
77	OAO	oao	0.2857142857142857	55.22005494505494	0.2857142857142857	35.22005494505494	0.2857142857142857	99.24285714285715	0.2857142857142857	94.14285714285717	0.2857142857142857	97.1236263736264	0.2857142857142857	92.29029304029307					-1	95.77619047619048	-1	97.9297619047619																																																																																																																																
81	eee	EEE	0.6	55.82005494505494	0.6	35.82005494505494					0.6	97.72362637362639	0.6	92.89029304029306			-1	93.9761904761905	-1	94.77619047619048	-1	96.9297619047619																																																																																																																																
