trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
96	ou	Oy	2	62	2	70							-2	82	-2	74	-2	70	-2	66					2	72	2	64																																																																																																																																
97	AiA	aia	2	64	2	72									2	76	2	72	2	68							-2	62																																																													-2	90	-2	90																																																													-2	60	-2	60
98	ou	Oy	2	66	2	74							-2	80	-2	74	-2	70	-2	66					2	74	2	64																																																																																																																																
99	a_o	AeO	2	68	2	76			2	88			-2	78	-2	72	-2	68	-2	64					2	76	2	66																																																																																																																																
103	yiy	uiu	2	70	2	78									2	74	2	70	2	66							-2	64																																																													-2	88	-2	88																																																													-2	58	-2	58
108	OAy	oau	2	72	2	80							2	80	2	76	2	72	2	68					-2	74	-2	62																																																																																																																																
110	oaa	OAA	2	74	2	82							-2	78	-2	74	-2	70	-2	66					2	76	2	64																																																																																																																																
116	yiy	uiu	2	76	2	84									2	76	2	72	2	68							-2	62																																																													-2	86	-2	86																																																													-2	56	-2	56
120	Oei	oei	2	78	2	86							2	80	2	78	2	74	2	70					-2	74	-2	60																																																																																																									-2	88	-2	86	-2	84	-2	80									-2	78	-2	78	-2	54	-2	54
125	yeA	uea	2	80	2	88									2	80	2	76	2	72							-2	58																																													-2	94	-2	94													-2	84	-2	84																																																									-2	76	-2	76	-2	52	-2	52
156	u_o	ueo							2	90							-2	74	-2	70																																																	-2	96	-2	96	-2	92	-2	92									-2	94	-2	94	-2	82	-2	82																																																									-2	74	-2	74	-2	50	-2	50
158	OeO	oeo	2	82	2	90							2	82	2	82	2	76	2	72					-2	72	-2	56																																									-2	94	-2	94	-2	90	-2	90									-2	92	-2	92	-2	80	-2	80																																									-2	86	-2	84	-2	82	-2	78									-2	72	-2	72	-2	48	-2	48
191	a_o	aeo							2	92							-2	74	-2	70																																																	-2	92	-2	92	-2	88	-2	88									-2	90	-2	90	-2	78	-2	78																																																									-2	70	-2	70	-2	46	-2	46
199	yiO	uio	2	84	2	92							2	84	2	84	2	76	2	72					-2	70	-2	54																																																									-2	88	-2	88	-2	76	-2	76																																																													-2	44	-2	44
255	OeO	oeo	2	86	2	94							2	86	2	86	2	78	2	74					-2	68	-2	52																																									-2	90	-2	90	-2	86	-2	86									-2	86	-2	86	-2	74	-2	74																																									-2	84	-2	82	-2	80	-2	76									-2	68	-2	68	-2	42	-2	42
263	u_o	ueo							2	94							-2	76	-2	72																																																	-2	88	-2	88	-2	84	-2	84									-2	84	-2	84	-2	72	-2	72																																																									-2	66	-2	66	-2	40	-2	40
325	yeO	ueo	2	88	2	96							2	88	2	88	2	78	2	74					-2	66	-2	50																																									-2	86	-2	86	-2	82	-2	82									-2	82	-2	82	-2	70	-2	70																																																									-2	64	-2	64	-2	38	-2	38
356	_i	yi					2	56	2	96					-2	86	-2	76	-2	72																																																																																																																																								
508	uoe	yOe	2	90	2	98							-2	86	-2	84	-2	74	-2	70					2	68	2	52																																																																																																									2	86	2	84	2	82	2	78									2	66	2	66	2	40	2	40
TOTAL				90		98		56		96		102		86		84		74		70		100		100		68		52		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		86		86		82		82		100		100		100		100		82		82		70		70		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		86		84		82		78		100		100		100		100		66		66		40		40
