trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
99	Aua	AyA			0.6666666666666666	97.99322899322901			-2	87.46941946941948	-2	93.52497502497503	-2	91.7916416916417							0.6666666666666666	98.20158730158732																													0.6666666666666666	97.09090909090911	0.6666666666666666	97.09090909090911													0.6666666666666666	93.85555555555557	0.6666666666666666	92.85555555555557													0.6666666666666666	85.06507936507938	0.6666666666666666	81.06507936507938																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.6666666666666714	117.99322899322901																																																																																																																																																		
110	iAe	iaE			2.8	100.79322899322901			2.8	90.26941946941947	2.8	96.32497502497503	2.8	94.5916416916417			-2	98.02380952380953	-2	97.4015873015873	-2	96.20158730158732																																																							-2	91.74285714285713			-2	81.74285714285713	-2	83.06507936507938	-2	79.06507936507938																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	2.799999999999997	120.79322899322901																																																																																																																																																		
113	iAe	iaE			2.8	103.593228993229			2.8	93.06941946941947	2.8	99.12497502497503	2.8	97.3916416916417			-2	96.02380952380953	-2	95.4015873015873	-2	94.20158730158732																																																							-2	89.74285714285713			-2	79.74285714285713	-2	81.06507936507938	-2	77.06507936507938																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	2.799999999999997	123.593228993229																																																																																																																																																		
122	eaa	eAA			0.8571428571428571	104.45037185037187			-2	91.06941946941947	-2	97.12497502497503	-2	95.3916416916417							0.8571428571428571	95.05873015873019																																													0.8571428571428571	94.71269841269843	0.8571428571428571	93.71269841269843													0.8571428571428571	81.92222222222225	0.8571428571428571	77.92222222222225																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.8571428571428612	124.45037185037187																																																																																																																																																		
309	OOi	Ooi			7.333333333333333	111.7837051837052	7.333333333333333	112.66666666666666	7.333333333333333	98.4027528027528	7.333333333333333	104.45830835830836	7.333333333333333	102.72497502497502					-2	93.4015873015873	-2	93.05873015873019									-2	98	-2	96	-2	98	-2	96									-2	93.0909090909091	-2	93.0909090909091	-2	95.09090909090911	-2	95.09090909090911									-2	89.0909090909091	-2	88	-2	92.71269841269843	-2	91.71269841269843									-2	84.83376623376623	-2	77.74285714285713	-2	79.92222222222225	-2	75.92222222222225																																													-2	84.98803418803418	-2	78.98803418803418													-2	77.98803418803418	-2	77.98803418803418
	a priori	Id(Bk)Syl1>>Id(Bk)	7.333333333333329	131.7837051837052																																																																																																																																																		
1287	eaE	eAe			0.046153846153846156	111.82985902985904			-0.2	98.2027528027528	-0.2	104.25830835830835	-0.2	102.52497502497502			0.046153846153846156	96.06996336996338	0.046153846153846156	93.44774114774114	0.046153846153846156	93.10488400488403																																							0.046153846153846156	98.04615384615384			0.046153846153846156	88.04615384615384	0.046153846153846156	92.75885225885227	0.046153846153846156	91.75885225885227							0.046153846153846156	89.78901098901098			0.046153846153846156	77.78901098901098	0.046153846153846156	79.96837606837609	0.046153846153846156	75.96837606837609																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.04615384615385665	131.82985902985905																																																																																																																																																		
1521	AIo	Aio			0.007142857142857143	111.83700188700189							-0.2	102.32497502497502	0.007142857142857143	98.19761904761906	0.007142857142857143	96.07710622710623	0.007142857142857143	93.454884004884	0.007142857142857143	93.11202686202688																	0.007142857142857143	100.00714285714285	0.007142857142857143	100.00714285714285	0.007142857142857143	100.00714285714285	0.007142857142857143	100.00714285714285	0.007142857142857143	93.09805194805195	0.007142857142857143	93.09805194805195	0.007142857142857143	95.09805194805196	0.007142857142857143	95.09805194805196	0.007142857142857143	100.00714285714285	0.007142857142857143	100.00714285714285	0.007142857142857143	98.00714285714285	0.007142857142857143	98.0532967032967	0.007142857142857143	89.09805194805195	0.007142857142857143	88.0532967032967	0.007142857142857143	92.76599511599512	0.007142857142857143	91.76599511599512	0.007142857142857143	100.14999999999999	0.007142857142857143	100.14999999999999	0.007142857142857143	95.74999999999999	0.007142857142857143	89.79615384615383			0.007142857142857143	77.79615384615383			0.007142857142857143	75.97551892551894																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.007142857142838466	131.8370018870019																																																																																																																																																		
