			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*_B1F3	*_B1...F3	*_B2F3	*_B2...F3
			Id(Bk)Syl1	Id(Bk)	*F3	*B1	*B2	*F3_B1	*F3..._B1	*F3_B2	*F3..._B2	*_B1F3	*_B1...F3	*_B2F3	*_B2...F3
	AAA		0	2	3	0	0	0	0	0	0	0	0	0	0
	aaa		1	1	0	0	0	0	0	0	0	0	0	0	0
	aaA		1	2	1	0	0	0	0	0	0	0	0	0	0
	aAA		1	3	2	0	0	0	0	0	0	0	0	0	0
Aau	Aau	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Aay		0	1	2	0	0	0	0	0	0	0	0	0	0
	AAy		0	2	3	0	0	0	0	0	0	0	0	0	0
	aau		1	1	0	0	0	0	0	0	0	0	0	0	0
	aay		1	2	1	0	0	0	0	0	0	0	0	0	0
	aAy		1	3	2	0	0	0	0	0	0	0	0	0	0
Aue	Aue	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AuE		0	1	1	0	1	0	0	0	1	0	0	0	0
	Aye		0	1	2	0	0	0	0	0	0	0	0	0	0
	AyE		0	2	2	0	1	0	0	1	1	0	0	0	0
	aue		1	1	0	0	0	0	0	0	0	0	0	0	0
	auE		1	2	0	0	1	0	0	0	0	0	0	0	0
	aye		1	2	1	0	0	0	0	0	0	0	0	0	0
	ayE		1	3	1	0	1	0	0	1	1	0	0	0	0
Aui	Aui	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AuI		0	1	1	1	1	0	1	0	1	0	0	0	0
	Ayi		0	1	2	0	0	0	0	0	0	0	0	0	0
	AyI		0	2	2	1	1	1	1	1	1	0	0	0	0
	aui		1	1	0	0	0	0	0	0	0	0	0	0	0
	auI		1	2	0	1	1	0	0	0	0	0	0	0	0
	ayi		1	2	1	0	0	0	0	0	0	0	0	0	0
	ayI		1	3	1	1	1	1	1	1	1	0	0	0	0
Aua	Aua	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	AuA		0	1	2	0	0	0	0	0	0	0	0	0	0
	AyA		0	2	3	0	0	0	0	0	0	0	0	0	0
	aua		1	1	0	0	0	0	0	0	0	0	0	0	0
	auA		1	2	1	0	0	0	0	0	0	0	0	0	0
	ayA		1	3	2	0	0	0	0	0	0	0	0	0	0
Auu	Auu	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	Auy		0	1	2	0	0	0	0	0	0	0	0	0	0
	Ayy		0	2	3	0	0	0	0	0	0	0	0	0	0
	auu		1	1	0	0	0	0	0	0	0	0	0	0	0
	auy		1	2	1	0	0	0	0	0	0	0	0	0	0
	ayy		1	3	2	0	0	0	0	0	0	0	0	0	0
yee	yee	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	yeE		0	1	1	0	1	0	0	0	1	0	0	0	0
	yEe		0	1	1	0	1	0	0	1	1	0	0	0	0
	yEE		0	2	1	0	2	0	0	1	2	0	0	0	0
	uee		1	1	0	0	0	0	0	0	0	0	0	0	0
	ueE		1	2	0	0	1	0	0	0	0	0	0	0	0
	uEE		1	3	0	0	2	0	0	0	0	0	0	0	0
yei	yei	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	yeI		0	1	1	1	1	0	1	0	1	0	0	0	0
	yEi		0	1	1	0	1	0	0	1	1	0	0	0	0
	yEI		0	2	1	1	2	0	1	1	2	0	0	0	0
	uei		1	1	0	0	0	0	0	0	0	0	0	0	0
	ueI		1	2	0	1	1	0	0	0	0	0	0	0	0
	uEi		1	2	0	0	1	0	0	0	0	0	0	0	0
	uEI		1	3	0	1	2	0	0	0	0	0	0	0	0
yea	yea	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	yeA		0	1	2	0	0	0	0	0	0	0	0	0	0
	yEa		0	1	1	0	1	0	0	1	1	0	0	0	0
	yEA		0	2	2	0	1	0	0	1	1	0	0	1	1
	uea		1	1	0	0	0	0	0	0	0	0	0	0	0
	ueA		1	2	1	0	0	0	0	0	0	0	0	0	0
	uEa		1	2	0	0	1	0	0	0	0	0	0	0	0
	uEA		1	3	1	0	1	0	0	0	0	0	0	1	1
yeu	yeu	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	yey		0	1	2	0	0	0	0	0	0	0	0	0	0
	yEu		0	1	1	0	1	0	0	1	1	0	0	0	0
	yEy		0	2	2	0	1	0	0	1	1	0	0	1	1
	ueu		1	1	0	0	0	0	0	0	0	0	0	0	0
	uey		1	2	1	0	0	0	0	0	0	0	0	0	0
	uEu		1	2	0	0	1	0	0	0	0	0	0	0	0
	uEy		1	3	1	0	1	0	0	0	0	0	0	1	1
yie	yie	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	yiE		0	1	1	0	1	0	0	0	1	0	0	0	0
	yIe		0	1	1	1	1	1	1	1	1	0	0	0	0
	yIE		0	2	1	1	2	1	1	1	2	0	0	0	0
	uie		1	1	0	0	0	0	0	0	0	0	0	0	0
	uiE		1	2	0	0	1	0	0	0	0	0	0	0	0
	uIe		1	2	0	1	1	0	0	0	0	0	0	0	0
	uIE		1	3	0	1	2	0	0	0	0	0	0	0	0
yii	yii	1	0	0	1	0	0	0	0	0	0	0	0	0	0
	yiI		0	1	1	1	1	0	1	0	1	0	0	0	0
	yIi		0	1	1	1	1	1	1	1	1	0	0	0	0
	yII		0	2	1	2	2	1	2	1	2	0	0	0	0
	uii		1	1	0	0	0	0	0	0	0	0	0	0	0
	uiI		1	2	0	1	1	0	0	0	0	0	0	0	0
	uII		1	3	0	2	2	0	0	0	0	0	0	0	0
yia	yia	1	0	0	1	0	0	0	0	0	0	0	0	0	0
