			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	OOE		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Ooe		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OoE		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oOe		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oOE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	ooe		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	ooE		 1 	 3 	 1 	 0 	 0 	 0 	 0 
OOi	OOi	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OOI		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Ooi		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OoI		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oOi		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oOI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	ooi		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	ooI		 1 	 3 	 1 	 0 	 0 	 0 	 0 
OAO	OAO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OAo		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OaO		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Oao		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	oAO		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oAo		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	oaO		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	oao		 1 	 3 	 0 	 0 	 0 	 0 	 0 
OAA	OAA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OAa		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OaA		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Oaa		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	oAA		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oAa		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	oaA		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	oaa		 1 	 3 	 0 	 0 	 0 	 0 	 0 
OAy	OAy	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OAu		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	Oay		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Oau		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	oAy		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oAu		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	oay		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	oau		 1 	 3 	 0 	 0 	 0 	 0 	 0 
OAe	OAe	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OAE		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Oae		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OaE		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oAe		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oAE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	oae		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	oaE		 1 	 3 	 1 	 0 	 0 	 0 	 0 
OAi	OAi	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OAI		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Oai		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OaI		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oAi		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oAI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	oai		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	oaI		 1 	 3 	 1 	 0 	 0 	 0 	 0 
OyO	OyO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oyo		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OuO		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Ouo		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	oyO		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oyo		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	ouO		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	ouo		 1 	 3 	 0 	 0 	 0 	 0 	 0 
OyA	OyA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oya		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OuA		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Oua		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	oyA		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oya		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	ouA		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	oua		 1 	 3 	 0 	 0 	 0 	 0 	 0 
Oyy	Oyy	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oyu		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	Ouy		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Ouu		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	oyy		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oyu		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	ouy		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	ouu		 1 	 3 	 0 	 0 	 0 	 0 	 0 
Oye	Oye	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OyE		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Oue		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OuE		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oye		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oyE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	oue		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	ouE		 1 	 3 	 1 	 0 	 0 	 0 	 0 
Oyi	Oyi	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OyI		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Oui		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	OuI		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oyi		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	oyI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	oui		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	ouI		 1 	 3 	 1 	 0 	 0 	 0 	 0 
OeO	OeO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oeo		 0 	 1 	 0 	 0 	 1 	 0 	 0 
	OEO		 0 	 1 	 1 	 1 	 1 	 1 	 1 
	OEo		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oeO		 1 	 1 	 0 	 0 	 0 	 0 	 1 
	oeo		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	oEO		 1 	 2 	 1 	 0 	 0 	 1 	 2 
	oEo		 1 	 3 	 1 	 0 	 0 	 0 	 0 
OeA	OeA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oea		 0 	 1 	 0 	 0 	 1 	 0 	 0 
	OEA		 0 	 1 	 1 	 1 	 1 	 1 	 1 
	OEa		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oeA		 1 	 1 	 0 	 0 	 0 	 0 	 1 
	oea		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	oEA		 1 	 2 	 1 	 0 	 0 	 1 	 2 
	oEa		 1 	 3 	 1 	 0 	 0 	 0 	 0 
Oey	Oey	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oeu		 0 	 1 	 0 	 0 	 1 	 0 	 0 
	OEy		 0 	 1 	 1 	 1 	 1 	 1 	 1 
	OEu		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oey		 1 	 1 	 0 	 0 	 0 	 0 	 1 
	oeu		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	oEy		 1 	 2 	 1 	 0 	 0 	 1 	 2 
	oEu		 1 	 3 	 1 	 0 	 0 	 0 	 0 
Oee	Oee	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OeE		 0 	 1 	 1 	 0 	 1 	 0 	 0 
	OEe		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	OEE		 0 	 2 	 2 	 1 	 2 	 0 	 0 
	oee		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	oeE		 1 	 2 	 1 	 0 	 0 	 0 	 0 
	oEE		 1 	 3 	 2 	 0 	 0 	 0 	 0 
Oei	Oei	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OeI		 0 	 1 	 1 	 0 	 1 	 0 	 0 
	OEi		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	OEI		 0 	 2 	 2 	 1 	 2 	 0 	 0 
	oei		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	oeI		 1 	 2 	 1 	 0 	 0 	 0 	 0 
	oEI		 1 	 3 	 2 	 0 	 0 	 0 	 0 
OiO	OiO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oio		 0 	 1 	 0 	 0 	 1 	 0 	 0 
