trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
48	OOO	ooo	0.6666666666666666	30.2	0	2.6666666666666665							0.6666666666666666	83.86666666666667	0.6666666666666666	73.96666666666667	0.6666666666666666	58.266666666666666	0.6666666666666666	48.66666666666667					-2	81.19999999999999	-2	74.89999999999999																																																																																																																																
52	OOi	ooi	2.0	32.2	0	2.6666666666666665							2.0	85.86666666666667	2.0	75.96666666666667	2.0	60.266666666666666	2.0	50.66666666666667					-2	79.19999999999999	-2	72.89999999999999																																																																																																													-2	80	-2	74													-2	61.2	-2	61.2
53	aee	Aee	0.8571428571428571	33.05714285714286	0	2.6666666666666665									-2	73.96666666666667	-2	58.266666666666666	-2	48.66666666666667							0.8571428571428571	73.75714285714285																																																																																																																									0.8571428571428571	76.85714285714286	0.8571428571428571	76.85714285714286	0.8571428571428571	62.05714285714286	0.8571428571428571	62.05714285714286
54	AOe	aoe	3.3333333333333335	36.39047619047619	0	2.6666666666666665							3.3333333333333335	89.2	3.3333333333333335	77.3	3.3333333333333335	61.6	3.3333333333333335	52.00000000000001					-2	77.19999999999999	-2	71.75714285714285																																																																																																									-2	86	-2	82	-2	78	-2	72									-2	74.85714285714286	-2	74.85714285714286	-2	60.05714285714286	-2	60.05714285714286
57	oie	Oie	0.8	37.19047619047619	0	2.6666666666666665							-2	87.2	-2	75.3	-2	59.6	-2	50.00000000000001					0.8	77.99999999999999	0.8	72.55714285714285																																																																																																											0.8	82.8	0.8	78.8	0.8	72.8											0.8	75.65714285714286	0.8	60.857142857142854	0.8	60.857142857142854
60	Ae	ae	2.0	39.19047619047619	0	2.6666666666666665									2.0	77.3	2.0	61.6	2.0	52.00000000000001							-2	70.55714285714285																																																																																																																									-2	72.85714285714286	-2	73.65714285714286	-2	58.857142857142854	-2	58.857142857142854
61	uui	yyi	1.2	40.39047619047619	0	2.6666666666666665									-2	75.3	-2	59.6	-2	50.00000000000001							1.2	71.75714285714285																																																																																																																													1.2	60.05714285714286	1.2	60.05714285714286
62	yOe	uoe	3.3333333333333335	43.72380952380953	0	2.6666666666666665							3.3333333333333335	90.53333333333333	3.3333333333333335	78.63333333333333	3.3333333333333335	62.93333333333334	3.3333333333333335	53.33333333333334					-2	75.99999999999999	-2	69.75714285714285																																																																																																									-2	84	-2	80.8	-2	76.8	-2	70.8									-2	70.85714285714286	-2	71.65714285714286	-2	58.05714285714286	-2	58.05714285714286
63	aoe	AOe	0.6666666666666666	44.39047619047619	0	2.6666666666666665							-2	88.53333333333333	-2	76.63333333333333	-2	60.93333333333334	-2	51.33333333333334					0.6666666666666666	76.66666666666666	0.6666666666666666	70.42380952380952																																																																																																									0.6666666666666666	84.66666666666667	0.6666666666666666	81.46666666666667	0.6666666666666666	77.46666666666667	0.6666666666666666	71.46666666666667									0.6666666666666666	71.52380952380953	0.6666666666666666	72.32380952380953	0.6666666666666666	58.72380952380952	0.6666666666666666	58.72380952380952
64	aue	Aye	0.8571428571428571	45.24761904761905	0	2.6666666666666665									-2	74.63333333333333	-2	58.93333333333334	-2	49.33333333333334							0.8571428571428571	71.28095238095239																																																																																																																									0.8571428571428571	72.3809523809524	0.8571428571428571	73.18095238095239	0.8571428571428571	59.580952380952375	0.8571428571428571	59.580952380952375
65	ye_	yeO							4.0	93.33333333333333			-2	86.53333333333333	-2	72.63333333333333	-2	56.93333333333334	-2	47.33333333333334																																																																																																																																								
65	Apriori	MaxIOSyl1>>MaxIO					4.0	93.33333333333333																																																																																																																																																					
69	oou	OOy	2.0	47.24761904761905	0	2.6666666666666665							-2	84.53333333333333	-2	70.63333333333333	-2	54.93333333333334	-2	45.33333333333334					2.0	78.66666666666666	2.0	73.28095238095239																																																																																																																																
