trialnum	Generated	Heard	IdBkSyl1	now	IdBk	now	star_F1	now	star_F3	now	star_F4	now	star_F5	now	star_B1	now	star_B2	now	star_B3	now	star_B5	now	star_F1_B1	now	star_F1..._B1	now	star_F1_B2	now	star_F1..._B2	now	star_F1_B3	now	star_F1..._B3	now	star_F1_B5	now	star_F1..._B5	now	star_F3_B1	now	star_F3..._B1	now	star_F3_B2	now	star_F3..._B2	now	star_F3_B3	now	star_F3..._B3	now	star_F3_B5	now	star_F3..._B5	now	star_F4_B1	now	star_F4..._B1	now	star_F4_B2	now	star_F4..._B2	now	star_F4_B3	now	star_F4..._B3	now	star_F4_B5	now	star_F4..._B5	now	star_F5_B1	now	star_F5..._B1	now	star_F5_B2	now	star_F5..._B2	now	star_F5_B3	now	star_F5..._B3	now	star_F5_B5	now	star_F5..._B5	now	star__B1F1	now	star__B1...F1	now	star__B1F3	now	star__B1...F3	now	star__B1F4	now	star__B1...F4	now	star__B1F5	now	star__B1...F5	now	star__B2F1	now	star__B2...F1	now	star__B2F3	now	star__B2...F3	now	star__B2F4	now	star__B2...F4	now	star__B2F5	now	star__B2...F5	now	star__B3F1	now	star__B3...F1	now	star__B3F3	now	star__B3...F3	now	star__B3F4	now	star__B3...F4	now	star__B3F5	now	star__B3...F5	now	star__B5F1	now	star__B5...F1	now	star__B5F3	now	star__B5...F3	now	star__B5F4	now	star__B5...F4	now	star__B5F5	now	star__B5...F5	now
27	oee	Oee	0.6153846153846154	80.04871794871795	0.6153846153846154	60.04871794871794	-2	107.71428571428572	-2	113.84761904761906	-2	107.18095238095239	-2	107.18095238095239					0.6153846153846154	103.36776556776556	0.6153846153846154	110.86776556776556																																																																																																									0.6153846153846154	100.61538461538461	0.6153846153846154	94.61538461538461	0.6153846153846154	96.61538461538461	0.6153846153846154	96.32967032967032									0.6153846153846154	92.61538461538461	0.6153846153846154	90.61538461538461	0.6153846153846154	89.61538461538461	0.6153846153846154	99.32967032967032
29	eei	Eei	6.0	86.04871794871795	6.0	66.04871794871795					6.0	113.18095238095239	6.0	113.18095238095239			-2	100.23809523809524	-2	101.36776556776556	-2	108.86776556776556																																																																																									-2	98	-2	94	-2	94	-2	90									-2	98.61538461538461	-2	92.61538461538461	-2	94.61538461538461	-2	94.32967032967032									-2	90.61538461538461	-2	88.61538461538461	-2	87.61538461538461	-2	97.32967032967032
30	Iuu	iuu	0.8571428571428571	86.90586080586081	0.8571428571428571	66.90586080586081							-2	111.18095238095239	0.8571428571428571	105.0952380952381	0.8571428571428571	101.0952380952381	0.8571428571428571	102.22490842490842	0.8571428571428571	109.72490842490842																																																													-2	75.33333333333333	-2	75.33333333333333																																																																
31	oII	Oii	1.1428571428571428	88.04871794871795	1.1428571428571428	68.04871794871795	-2	105.71428571428572	-2	111.84761904761906	-2	111.18095238095239	-2	109.18095238095239	1.1428571428571428	106.23809523809524	1.1428571428571428	102.23809523809524	1.1428571428571428	103.36776556776556	1.1428571428571428	110.86776556776556																																																																																																																																
33	yAA	uaa	0.3333333333333333	88.38205128205128	0.3333333333333333	68.38205128205128			0.3333333333333333	112.18095238095239	0.3333333333333333	111.51428571428572	0.3333333333333333	109.51428571428572							-2	108.86776556776556																																																																																																																																
34	oEa	Oea	3.3333333333333335	91.71538461538461	3.3333333333333335	71.71538461538461	-2	103.71428571428572	-2	110.18095238095239	-2	109.51428571428572	-2	107.51428571428572			3.3333333333333335	105.57142857142857	3.3333333333333335	106.70109890109889	3.3333333333333335	112.20109890109889															-2	90															-2	84													-2	83.33333333333333	-2	79.33333333333333													-2	73.33333333333333	-2	73.33333333333333																																																																
36	AAe	aae	1.6666666666666667	93.38205128205128	1.6666666666666667	73.38205128205128			1.6666666666666667	111.84761904761906	1.6666666666666667	111.18095238095239	1.6666666666666667	109.18095238095239							-2	110.20109890109889																																																																																																																									-2	88.61538461538461	-2	86.61538461538461	-2	85.61538461538461	-2	95.32967032967032
37	IaE	iae	2.2857142857142856	95.66776556776557	2.2857142857142856	75.66776556776557					-2	109.18095238095239	-2	107.18095238095239	2.2857142857142856	108.52380952380953	2.2857142857142856	107.85714285714286	2.2857142857142856	108.98681318681318	2.2857142857142856	112.48681318681318																																																													-2	71.33333333333333	-2	71.33333333333333																																																									-2	86.61538461538461	-2	84.61538461538461	-2	83.61538461538461	-2	93.32967032967032
40	OOi	Ooi			7.333333333333333	83.0010989010989	7.333333333333333	111.04761904761905	7.333333333333333	119.18095238095239	7.333333333333333	116.51428571428572	7.333333333333333	114.51428571428572					-2	106.98681318681318	-2	110.48681318681318									-2	96	-2	94	-2	94	-2	88									-2	94	-2	92	-2	90	-2	82									-2	92	-2	90	-2	81.33333333333333	-2	77.33333333333333									-2	88	-2	88	-2	69.33333333333333	-2	69.33333333333333																																													-2	92.61538461538461	-2	92.32967032967032													-2	81.61538461538461	-2	91.32967032967032
40	Apriori	IdBkSyl1>>IdBk	7.333333333333329	103.0010989010989																																																																																																																																																		
41	Iu	iu	0.8571428571428571	103.85824175824176	0.8571428571428571	83.85824175824176							-2	112.51428571428572	0.8571428571428571	109.3809523809524	0.8571428571428571	108.71428571428572	0.8571428571428571	107.84395604395604	0.8571428571428571	111.34395604395604																																																													-2	67.33333333333333	-2	67.33333333333333																																																																
42	ooa	Ooa	8.0	111.85824175824176	8.0	91.85824175824176	-2	109.04761904761905	-2	117.18095238095239	-2	114.51428571428572	-2	110.51428571428572					8.0	115.84395604395604	8.0	119.34395604395604									-2	94	-2	92	-2	92	-2	86									-2	92	-2	90	-2	88	-2	80									-2	90	-2	88	-2	79.33333333333333	-2	75.33333333333333									-2	86	-2	86	-2	65.33333333333333	-2	65.33333333333333																																																																
44	AAe	aae	1.6666666666666667	113.52490842490843	1.6666666666666667	93.52490842490843			1.6666666666666667	118.84761904761906	1.6666666666666667	116.18095238095239	1.6666666666666667	112.18095238095239							-2	117.34395604395604																																																																																																																									-2	84.61538461538461	-2	82.61538461538461	-2	79.61538461538461	-2	89.32967032967032
45	iiA	iia			1.2	94.72490842490843			1.2	120.04761904761907	1.2	117.3809523809524	1.2	113.3809523809524							-2	115.34395604395604																																																													-2	63.33333333333333	-2	63.33333333333333																																																																
45	Apriori	IdBkSyl1>>IdBk	1.2000000000000028	114.72490842490843																																																																																																																																																		
47	aE	ae			2.4	97.12490842490844					-2	115.3809523809524	-2	111.3809523809524			2.4	111.11428571428573	2.4	118.24395604395605	2.4	117.74395604395605																																																																																																																									-2	82.61538461538461	-2	80.61538461538461	-2	77.61538461538461	-2	87.32967032967032
47	Apriori	IdBkSyl1>>IdBk	2.4000000000000057	117.12490842490844																																																																																																																																																		
48	oia	Oia	1.5555555555555556	118.680463980464	1.5555555555555556	98.680463980464	-2	107.04761904761905	-2	118.04761904761907	-2	113.3809523809524	-2	109.3809523809524					1.5555555555555556	119.7995115995116	1.5555555555555556	119.2995115995116															-2	84															-2	78															-2	73.33333333333333																																																													1.5555555555555556	94.17094017094017	1.5555555555555556	93.88522588522588													1.5555555555555556	79.17094017094017	1.5555555555555556	88.88522588522588
49	AA	aa	0.3333333333333333	119.01379731379733	0.3333333333333333	99.01379731379733			0.3333333333333333	118.3809523809524	0.3333333333333333	113.71428571428572	0.3333333333333333	109.71428571428572							-2	117.2995115995116																																																																																																																																
50	Ay	au	0.3333333333333333	119.34713064713065	0.3333333333333333	99.34713064713065			0.3333333333333333	118.71428571428572	0.3333333333333333	114.04761904761905	0.3333333333333333	110.04761904761905							-2	115.2995115995116																																																																																																																																
53	AiO	Aio			3.3333333333333335	102.68046398046398	3.3333333333333335	110.38095238095238	3.3333333333333335	122.04761904761905	3.3333333333333335	117.38095238095238	3.3333333333333335	113.38095238095238					-2	117.7995115995116	-2	113.2995115995116																											-2	88			-2	76											-2	86			-2	71.33333333333333									-2	84	-2	84	-2	61.33333333333333	-2	61.33333333333333																																																																
53	Apriori	IdBkSyl1>>IdBk	3.3333333333333286	122.68046398046398																																																																																																																																																		
55	ooi	Ooi	5.714285714285714	128.3947496947497	5.714285714285714	108.39474969474969	-2	108.38095238095238	-2	120.04761904761905	-2	115.38095238095238	-2	111.38095238095238					5.714285714285714	123.51379731379731	5.714285714285714	119.01379731379731									-2	92	-2	90	-2	90	-2	82									-2	90	-2	86	-2	86	-2	74									-2	88	-2	84	-2	77.33333333333333	-2	69.33333333333333									-2	82	-2	82	-2	59.33333333333333	-2	59.33333333333333																																															5.714285714285714	99.59951159951159															5.714285714285714	94.59951159951159
56	aAi	aai			0.4444444444444444	108.83919413919413			0.4444444444444444	120.4920634920635	0.4444444444444444	115.82539682539682	0.4444444444444444	111.82539682539682							-2	117.01379731379731																																																																																																																					0.4444444444444444	100.44444444444444	0.4444444444444444	100.44444444444444	0.4444444444444444	83.05982905982906	0.4444444444444444	81.05982905982906			-2	92.59951159951159
56	Apriori	IdBkSyl1>>IdBk	0.4444444444444571	128.83919413919415																																																																																																																																																		
62	AOu	Aou			2.75	111.58919413919413	2.75	111.13095238095238	2.75	123.2420634920635	2.75	118.57539682539682	2.75	114.57539682539682					-2	121.51379731379731	-2	115.01379731379731													2.75	92.75	2.75	84.75									-2	88	-2	84			-2	72									-2	86	-2	82			-2	67.33333333333333									-2	80	-2	80			-2	57.33333333333333																																																																
62	Apriori	IdBkSyl1>>IdBk	2.75	131.58919413919415																																																																																																																																																		
85	EOO	Eoo			0.13333333333333333	111.72252747252747	0.13333333333333333	111.26428571428572	0.13333333333333333	123.37539682539683	0.13333333333333333	118.70873015873016	0.13333333333333333	114.70873015873016					-2	119.51379731379731	-2	113.01379731379731																																																																																	0.13333333333333333	100.13333333333334	0.13333333333333333	100.13333333333334	0.13333333333333333	100.13333333333334	0.13333333333333333	100.13333333333334	0.13333333333333333	98.13333333333334	0.13333333333333333	94.13333333333334	0.13333333333333333	94.13333333333334	0.13333333333333333	90.13333333333334	0.13333333333333333	100.13333333333334	0.13333333333333333	100.13333333333334	0.13333333333333333	100.13333333333334	0.13333333333333333	100.13333333333334	0.13333333333333333	98.74871794871795	0.13333333333333333	92.74871794871795	0.13333333333333333	94.30427350427351	0.13333333333333333	99.73284493284493	0.13333333333333333	100.13333333333334	0.13333333333333333	100.13333333333334	0.13333333333333333	100.57777777777778	0.13333333333333333	100.57777777777778	0.13333333333333333	83.1931623931624	0.13333333333333333	81.1931623931624	0.13333333333333333	79.30427350427351	0.13333333333333333	92.73284493284493
85	Apriori	IdBkSyl1>>IdBk	0.13333333333332575	131.72252747252747																																																																																																																																																		
89	eEo	eeo			0.3076923076923077	112.03021978021978					-2	116.70873015873016	-2	112.70873015873016			0.3076923076923077	111.42197802197803	0.3076923076923077	119.82148962148962	0.3076923076923077	113.32148962148962																																					0.3076923076923077	100.3076923076923	0.3076923076923077	100.3076923076923			0.3076923076923077	82.3076923076923			0.3076923076923077	67.64102564102564					0.3076923076923077	100.3076923076923	0.3076923076923077	100.3076923076923			0.3076923076923077	80.3076923076923			0.3076923076923077	57.641025641025635																																																																
89	Apriori	IdBkSyl1>>IdBk	0.3076923076923208	132.0302197802198																																																																																																																																																		
104	eEu	eeu			0.26666666666666666	112.29688644688645					-2	114.70873015873016	-2	110.70873015873016			0.26666666666666666	111.6886446886447	0.26666666666666666	120.08815628815628	0.26666666666666666	113.58815628815628																																					0.26666666666666666	100.57435897435897	0.26666666666666666	100.57435897435897	0.26666666666666666	86.26666666666667	0.26666666666666666	82.57435897435897			0.26666666666666666	67.9076923076923					0.26666666666666666	100.57435897435897	0.26666666666666666	100.57435897435897	0.26666666666666666	80.26666666666667	0.26666666666666666	80.57435897435897			0.26666666666666666	57.9076923076923																																																																
104	Apriori	IdBkSyl1>>IdBk	0.2666666666666515	132.29688644688645																																																																																																																																																		
132	iOu	iou			0.8333333333333334	113.13021978021978	0.8333333333333334	112.09761904761905	0.8333333333333334	124.20873015873016	0.8333333333333334	115.54206349206349	0.8333333333333334	111.54206349206349					-2	118.08815628815628	-2	111.58815628815628													0.8333333333333334	93.58333333333333	0.8333333333333334	85.58333333333333													0.8333333333333334	86.83333333333333	0.8333333333333334	72.83333333333333													0.8333333333333334	78.16666666666666	0.8333333333333334	68.74102564102563									-2	78.26666666666667	-2	78.57435897435897			-2	55.9076923076923																																																																
132	Apriori	IdBkSyl1>>IdBk	0.8333333333333144	133.13021978021976																																																																																																																																																		
178	eEi	eei			0.17391304347826086	113.30413282369804					-2	113.54206349206349	-2	109.54206349206349			0.17391304347826086	111.86255773212297	0.17391304347826086	118.26206933163455	0.17391304347826086	111.76206933163455																																					0.17391304347826086	100.74827201783724	0.17391304347826086	100.74827201783724	0.17391304347826086	86.44057971014493	0.17391304347826086	82.74827201783724	0.17391304347826086	78.34057971014492	0.17391304347826086	68.9149386845039					0.17391304347826086	100.74827201783724	0.17391304347826086	100.74827201783724	0.17391304347826086	78.44057971014493	0.17391304347826086	78.74827201783724	0.17391304347826086	59.50724637681159	0.17391304347826086	56.08160535117056																													0.17391304347826086	94.3072463768116	0.17391304347826086	90.3072463768116													0.17391304347826086	94.47818654775178	0.17391304347826086	99.90675797632319													0.17391304347826086	79.47818654775178	0.17391304347826086	92.90675797632319
178	Apriori	IdBkSyl1>>IdBk	0.1739130434782794	133.30413282369804																																																																																																																																																		
256	oaE	oae			3.2	116.50413282369804					-2	111.54206349206349	-2	107.54206349206349			3.2	115.06255773212297	3.2	121.46206933163455	3.2	114.96206933163455																																																																																																											-2	90.74871794871795			-2	97.90675797632319									-2	81.1931623931624	-2	79.1931623931624	-2	77.47818654775178	-2	90.90675797632319
256	Apriori	IdBkSyl1>>IdBk	3.200000000000017	136.50413282369806																																																																																																																																																		
288	yOa	yoa			2.75	119.25413282369804	2.75	114.84761904761905	2.75	126.95873015873016	2.75	114.29206349206349	2.75	110.29206349206349					-2	119.46206933163455	-2	112.96206933163455													2.75	96.33333333333333	2.75	88.33333333333333									-2	86	-2	82			-2	70.83333333333333									-2	84.44057971014493	-2	80.74827201783724			-2	66.9149386845039									-2	76.44057971014493	-2	76.74827201783724			-2	54.08160535117056																																																																
288	Apriori	IdBkSyl1>>IdBk	2.75	139.25413282369806																																																																																																																																																		
408	AE	Ae			0.17391304347826086	119.42804586717631					-2	112.29206349206349	-2	108.29206349206349			0.17391304347826086	115.23647077560123	0.17391304347826086	119.63598237511282	0.17391304347826086	113.13598237511282																					0.17391304347826086	100.17391304347827	0.17391304347826086	100.17391304347827	0.17391304347826086	86.17391304347827	0.17391304347826086	82.17391304347827	0.17391304347826086	87.0072463768116	0.17391304347826086	71.0072463768116					0.17391304347826086	100.9221850613155	0.17391304347826086	100.9221850613155	0.17391304347826086	84.6144927536232	0.17391304347826086	80.9221850613155	0.17391304347826086	78.51449275362319	0.17391304347826086	67.08885172798216					0.17391304347826086	100.9221850613155	0.17391304347826086	100.9221850613155	0.17391304347826086	76.6144927536232	0.17391304347826086	76.9221850613155	0.17391304347826086	59.681159420289845	0.17391304347826086	54.25551839464882																																																																
