			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	oiu		1	2	0	0	0	0	0	0	0	0	0	0
	oIy		1	2	0	0	0	0	0	1	0	0	1	2
	oIu		1	3	0	0	0	0	0	1	0	0	0	0
	Oi_		0	0	0	1	0	0	0	0	0	0	0	0
	O__		0	0	0	2	0	0	0	0	0	0	0	0
	_iy		0	0	1	1	0	0	0	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	O_u		0	1	0	1	0	0	0	0	1	1	0	0
	_iu		0	1	1	1	0	0	0	0	0	0	0	0
	__u		0	1	1	2	0	0	0	0	0	0	0	0
	OI_		0	1	0	1	0	0	0	1	1	1	0	0
	_Iy		0	1	1	1	0	0	0	1	0	0	1	1
	_I_		0	1	1	2	0	0	0	1	0	0	0	0
	_Iu		0	2	1	1	0	0	0	1	0	0	0	0
	oi_		1	1	0	1	0	0	0	0	0	0	0	0
	o_y		1	1	0	1	0	0	0	0	0	0	1	1
	o__		1	1	0	2	0	0	0	0	0	0	0	0
	o_u		1	2	0	1	0	0	0	0	0	0	0	0
	oI_		1	2	0	1	0	0	0	1	0	0	0	0
	Oii		0	0	0	0	0	0	1	0	0	0	0	0
	Oie		0	0	0	0	0	0	2	0	0	0	0	0
	Oee		0	0	0	0	0	0	3	0	0	0	0	0
	iiy		0	0	0	0	0	2	2	0	0	0	0	0
	iii		0	0	0	0	0	2	3	0	0	0	0	0
	iie		0	0	0	0	0	2	4	0	0	0	0	0
	iee		0	0	0	0	0	2	5	0	0	0	0	0
	eiy		0	0	0	0	0	1	1	0	0	0	0	0
	eii		0	0	0	0	0	1	2	0	0	0	0	0
	eie		0	0	0	0	0	1	3	0	0	0	0	0
	eee		0	0	0	0	0	1	4	0	0	0	0	0
	Oeu		0	1	0	0	0	0	1	0	0	1	0	0
	iiu		0	1	0	0	0	2	2	0	0	0	0	0
	ieu		0	1	0	0	0	2	3	0	0	0	0	0
	eiu		0	1	0	0	0	1	1	0	0	0	0	0
	eeu		0	1	0	0	0	1	2	0	0	0	0	0
	OIi		0	1	0	0	0	0	1	1	1	1	0	0
	OIe		0	1	0	0	0	0	2	1	1	1	0	0
	iIy		0	1	0	0	0	2	2	1	0	0	1	1
	iIi		0	1	0	0	0	2	3	1	0	0	0	0
	iIe		0	1	0	0	0	2	4	1	0	0	0	0
	eIy		0	1	0	0	0	1	1	1	0	0	1	1
	eIi		0	1	0	0	0	1	2	1	0	0	0	0
	eIe		0	1	0	0	0	1	3	1	0	0	0	0
	iIu		0	2	0	0	0	2	2	1	0	0	0	0
	eIu		0	2	0	0	0	1	1	1	0	0	0	0
	oii		1	1	0	0	0	0	1	0	0	0	0	0
	oie		1	1	0	0	0	0	2	0	0	0	0	0
	oey		1	1	0	0	0	0	1	0	0	0	0	1
	oee		1	1	0	0	0	0	3	0	0	0	0	0
	oeu		1	2	0	0	0	0	1	0	0	0	0	0
	oIi		1	2	0	0	0	0	1	1	0	0	0	0
	oIe		1	2	0	0	0	0	2	1	0	0	0	0
	Oe_		0	0	0	1	0	0	1	0	0	0	0	0
	ii_		0	0	0	1	0	2	2	0	0	0	0	0
	ie_		0	0	0	1	0	2	3	0	0	0	0	0
	ei_		0	0	0	1	0	1	1	0	0	0	0	0
	ee_		0	0	0	1	0	1	2	0	0	0	0	0
	O_e		0	0	0	1	0	0	2	0	0	0	0	0
	i_e		0	0	0	1	0	2	4	0	0	0	0	0
	e_e		0	0	0	1	0	1	3	0	0	0	0	0
	i__		0	0	0	2	0	2	2	0	0	0	0	0
	e__		0	0	0	2	0	1	1	0	0	0	0	0
	_ii		0	0	1	1	0	0	1	0	0	0	0	0
	_ie		0	0	1	1	0	0	2	0	0	0	0	0
	_ee		0	0	1	1	0	0	3	0	0	0	0	0
	_e_		0	0	1	2	0	0	1	0	0	0	0	0
	__e		0	0	1	2	0	0	2	0	0	0	0	0
	i_u		0	1	0	1	0	2	2	0	0	0	0	0
	e_u		0	1	0	1	0	1	1	0	0	0	0	0
	_eu		0	1	1	1	0	0	1	0	0	0	0	0
	iI_		0	1	0	1	0	2	2	1	0	0	0	0
	eI_		0	1	0	1	0	1	1	1	0	0	0	0
	_Ii		0	1	1	1	0	0	1	1	0	0	0	0
	_Ie		0	1	1	1	0	0	2	1	0	0	0	0
	oe_		1	1	0	1	0	0	1	0	0	0	0	0
	o_e		1	1	0	1	0	0	2	0	0	0	0	0
Oie	Oie	1	0	0	0	0	0	0	0	0	0	0	0	0
	OiE		0	1	0	0	0	0	0	1	0	1	0	0
	OIe		0	1	0	0	0	0	0	1	1	1	0	0
	OIE		0	2	0	0	0	0	0	2	1	2	0	0
	oie		1	1	0	0	0	0	0	0	0	0	0	0
	oiE		1	2	0	0	0	0	0	1	0	0	0	0
	oIE		1	3	0	0	0	0	0	2	0	0	0	0
	Oi_		0	0	0	1	0	0	0	0	0	0	0	0
	O__		0	0	0	2	0	0	0	0	0	0	0	0
	_ie		0	0	1	1	0	0	0	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	O_E		0	1	0	1	0	0	0	1	1	1	0	0
	_iE		0	1	1	1	0	0	0	1	0	0	0	0
	__E		0	1	1	2	0	0	0	1	0	0	0	0
	_IE		0	2	1	1	0	0	0	2	0	0	0	0
	oi_		1	1	0	1	0	0	0	0	0	0	0	0
	o__		1	1	0	2	0	0	0	0	0	0	0	0
	o_E		1	2	0	1	0	0	0	1	0	0	0	0
	Oii		0	0	0	0	0	0	1	0	0	0	0	0
	Oei		0	0	0	0	0	0	2	0	0	0	0	0
	iie		0	0	0	0	0	2	2	0	0	0	0	0
	iii		0	0	0	0	0	2	3	0	0	0	0	0
	iei		0	0	0	0	0	2	4	0	0	0	0	0
	eie		0	0	0	0	0	1	1	0	0	0	0	0
	eii		0	0	0	0	0	1	2	0	0	0	0	0
	eei		0	0	0	0	0	1	3	0	0	0	0	0
	OeE		0	1	0	0	0	0	1	1	0	1	0	0
	iiE		0	1	0	0	0	2	2	1	0	0	0	0
	ieE		0	1	0	0	0	2	3	1	0	0	0	0
	eiE		0	1	0	0	0	1	1	1	0	0	0	0
	eeE		0	1	0	0	0	1	2	1	0	0	0	0
	OIi		0	1	0	0	0	0	1	1	1	1	0	0
	iIE		0	2	0	0	0	2	2	2	0	0	0	0
	eIE		0	2	0	0	0	1	1	2	0	0	0	0
	oii		1	1	0	0	0	0	1	0	0	0	0	0
	oei		1	1	0	0	0	0	2	0	0	0	0	0
	oeE		1	2	0	0	0	0	1	1	0	0	0	0
	Oe_		0	0	0	1	0	0	1	0	0	0	0	0
	ii_		0	0	0	1	0	2	2	0	0	0	0	0
	ie_		0	0	0	1	0	2	3	0	0	0	0	0
	ei_		0	0	0	1	0	1	1	0	0	0	0	0
	ee_		0	0	0	1	0	1	2	0	0	0	0	0
	i__		0	0	0	2	0	2	2	0	0	0	0	0
	e__		0	0	0	2	0	1	1	0	0	0	0	0
	_ii		0	0	1	1	0	0	1	0	0	0	0	0
	_ei		0	0	1	1	0	0	2	0	0	0	0	0
	_e_		0	0	1	2	0	0	1	0	0	0	0	0
	i_E		0	1	0	1	0	2	2	1	0	0	0	0
	e_E		0	1	0	1	0	1	1	1	0	0	0	0
	_eE		0	1	1	1	0	0	1	1	0	0	0	0
	oe_		1	1	0	1	0	0	1	0	0	0	0	0
Oii	Oii	1	0	0	0	0	0	0	0	0	0	0	0	0
	OiI		0	1	0	0	0	0	0	1	0	1	0	0
	OIi		0	1	0	0	0	0	0	1	1	1	0	0
	OII		0	2	0	0	0	0	0	2	1	2	0	0
	oii		1	1	0	0	0	0	0	0	0	0	0	0
	oiI		1	2	0	0	0	0	0	1	0	0	0	0
	oII		1	3	0	0	0	0	0	2	0	0	0	0
	Oi_		0	0	0	1	0	0	0	0	0	0	0	0
	O__		0	0	0	2	0	0	0	0	0	0	0	0
	_ii		0	0	1	1	0	0	0	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	O_I		0	1	0	1	0	0	0	1	1	1	0	0
	_iI		0	1	1	1	0	0	0	1	0	0	0	0
	__I		0	1	1	2	0	0	0	1	0	0	0	0
	_II		0	2	1	1	0	0	0	2	0	0	0	0
	oi_		1	1	0	1	0	0	0	0	0	0	0	0
	o__		1	1	0	2	0	0	0	0	0	0	0	0
	o_I		1	2	0	1	0	0	0	1	0	0	0	0
	Oie		0	0	0	0	0	0	1	0	0	0	0	0
	Oee		0	0	0	0	0	0	2	0	0	0	0	0
	iii		0	0	0	0	0	2	2	0	0	0	0	0
	iie		0	0	0	0	0	2	3	0	0	0	0	0
	iee		0	0	0	0	0	2	4	0	0	0	0	0
	eii		0	0	0	0	0	1	1	0	0	0	0	0
	eie		0	0	0	0	0	1	2	0	0	0	0	0
	eee		0	0	0	0	0	1	3	0	0	0	0	0
	OeI		0	1	0	0	0	0	1	1	0	1	0	0
	iiI		0	1	0	0	0	2	2	1	0	0	0	0
	ieI		0	1	0	0	0	2	3	1	0	0	0	0
	eiI		0	1	0	0	0	1	1	1	0	0	0	0
	eeI		0	1	0	0	0	1	2	1	0	0	0	0
	OIe		0	1	0	0	0	0	1	1	1	1	0	0
	iII		0	2	0	0	0	2	2	2	0	0	0	0
	eII		0	2	0	0	0	1	1	2	0	0	0	0
	oie		1	1	0	0	0	0	1	0	0	0	0	0
	oee		1	1	0	0	0	0	2	0	0	0	0	0
	oeI		1	2	0	0	0	0	1	1	0	0	0	0
	Oe_		0	0	0	1	0	0	1	0	0	0	0	0
	ii_		0	0	0	1	0	2	2	0	0	0	0	0
	ie_		0	0	0	1	0	2	3	0	0	0	0	0
	ei_		0	0	0	1	0	1	1	0	0	0	0	0
	ee_		0	0	0	1	0	1	2	0	0	0	0	0
	i__		0	0	0	2	0	2	2	0	0	0	0	0
	e__		0	0	0	2	0	1	1	0	0	0	0	0
	_ie		0	0	1	1	0	0	1	0	0	0	0	0
	_ee		0	0	1	1	0	0	2	0	0	0	0	0
	_e_		0	0	1	2	0	0	1	0	0	0	0	0
	i_I		0	1	0	1	0	2	2	1	0	0	0	0
	e_I		0	1	0	1	0	1	1	1	0	0	0	0
	_eI		0	1	1	1	0	0	1	1	0	0	0	0
	oe_		1	1	0	1	0	0	1	0	0	0	0	0
AOO	AOO	1	0	0	0	0	0	0	0	0	0	0	0	0
	AOo		0	1	0	0	0	0	0	0	1	1	0	0
	AoO		0	1	0	0	0	0	0	0	1	1	1	1
	Aoo		0	2	0	0	0	0	0	0	1	2	0	0
	aOO		1	1	0	0	0	0	0	0	0	0	1	1
	aOo		1	2	0	0	0	0	0	0	1	1	1	1
	aoO		1	2	0	0	0	0	0	0	0	0	1	2
	aoo		1	3	0	0	0	0	0	0	0	0	0	0
	AO_		0	0	0	1	0	0	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0	0	0
	_OO		0	0	1	1	0	0	0	0	0	0	0	0
	_O_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	A_o		0	1	0	1	0	0	0	0	1	1	0	0
	_Oo		0	1	1	1	0	0	0	0	1	1	0	0
	__o		0	1	1	2	0	0	0	0	0	0	0	0
	_oO		0	1	1	1	0	0	0	0	0	0	1	1
	_oo		0	2	1	1	0	0	0	0	0	0	0	0
	aO_		1	1	0	1	0	0	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0	0	0
	a_o		1	2	0	1	0	0	0	0	0	0	0	0
	AOi		0	0	0	0	0	0	2	0	0	0	0	0
	AOe		0	0	0	0	0	0	1	0	0	0	0	0
	Aii		0	0	0	0	0	0	4	0	0	0	0	0
	Aie		0	0	0	0	0	0	3	0	0	0	0	0
	iOO		0	0	0	0	0	2	2	0	0	0	0	0
	iOi		0	0	0	0	0	2	4	0	0	0	0	0
	iOe		0	0	0	0	0	2	3	0	0	0	0	0
	iii		0	0	0	0	0	2	6	0	0	0	0	0
	iie		0	0	0	0	0	2	5	0	0	0	0	0
	eOO		0	0	0	0	0	1	1	0	0	0	0	0
	eOi		0	0	0	0	0	1	3	0	0	0	0	0
	eOe		0	0	0	0	0	1	2	0	0	0	0	0
	eii		0	0	0	0	0	1	5	0	0	0	0	0
	eie		0	0	0	0	0	1	4	0	0	0	0	0
	Aio		0	1	0	0	0	0	2	0	0	1	0	0
	Aeo		0	1	0	0	0	0	1	0	0	1	0	0
	iOo		0	1	0	0	0	2	2	0	1	1	0	0
	iio		0	1	0	0	0	2	4	0	0	0	0	0
	ieo		0	1	0	0	0	2	3	0	0	0	0	0
	eOo		0	1	0	0	0	1	1	0	1	1	0	0
	eio		0	1	0	0	0	1	3	0	0	0	0	0
	eeo		0	1	0	0	0	1	2	0	0	0	0	0
	Aoi		0	1	0	0	0	0	2	0	1	1	0	0
	Aoe		0	1	0	0	0	0	1	0	1	1	0	0
	ioO		0	1	0	0	0	2	2	0	0	0	1	1
	eoO		0	1	0	0	0	1	1	0	0	0	1	1
	ioo		0	2	0	0	0	2	2	0	0	0	0	0
	eoo		0	2	0	0	0	1	1	0	0	0	0	0
	aOi		1	1	0	0	0	0	2	0	0	0	1	1
	aOe		1	1	0	0	0	0	1	0	0	0	1	1
	aiO		1	1	0	0	0	0	2	0	0	0	0	1
	aii		1	1	0	0	0	0	4	0	0	0	0	0
	aie		1	1	0	0	0	0	3	0	0	0	0	0
	aeO		1	1	0	0	0	0	1	0	0	0	0	1
	aee		1	1	0	0	0	0	2	0	0	0	0	0
	aio		1	2	0	0	0	0	2	0	0	0	0	0
	aeo		1	2	0	0	0	0	1	0	0	0	0	0
	Ai_		0	0	0	1	0	0	2	0	0	0	0	0
	Ae_		0	0	0	1	0	0	1	0	0	0	0	0
	iO_		0	0	0	1	0	2	2	0	0	0	0	0
	ii_		0	0	0	1	0	2	4	0	0	0	0	0
	ie_		0	0	0	1	0	2	3	0	0	0	0	0
	eO_		0	0	0	1	0	1	1	0	0	0	0	0
	ei_		0	0	0	1	0	1	3	0	0	0	0	0
	ee_		0	0	0	1	0	1	2	0	0	0	0	0
	i__		0	0	0	2	0	2	2	0	0	0	0	0
	e__		0	0	0	2	0	1	1	0	0	0	0	0
	_Oi		0	0	1	1	0	0	2	0	0	0	0	0
	_Oe		0	0	1	1	0	0	1	0	0	0	0	0
	_ii		0	0	1	1	0	0	4	0	0	0	0	0
	_ie		0	0	1	1	0	0	3	0	0	0	0	0
	_i_		0	0	1	2	0	0	2	0	0	0	0	0
	_e_		0	0	1	2	0	0	1	0	0	0	0	0
	i_o		0	1	0	1	0	2	2	0	0	0	0	0
	e_o		0	1	0	1	0	1	1	0	0	0	0	0
	_io		0	1	1	1	0	0	2	0	0	0	0	0
	_eo		0	1	1	1	0	0	1	0	0	0	0	0
	ai_		1	1	0	1	0	0	2	0	0	0	0	0
	ae_		1	1	0	1	0	0	1	0	0	0	0	0
AOA	AOA	1	0	0	0	0	0	0	0	0	0	0	0	0
	AOa		0	1	0	0	0	0	0	0	1	1	0	0
	AoA		0	1	0	0	0	0	0	0	1	1	1	1
	Aoa		0	2	0	0	0	0	0	0	1	2	0	0
	aOA		1	1	0	0	0	0	0	0	0	0	1	1
	aOa		1	2	0	0	0	0	0	0	1	1	1	1
	aoA		1	2	0	0	0	0	0	0	0	0	1	2
	aoa		1	3	0	0	0	0	0	0	0	0	0	0
	AO_		0	0	0	1	0	0	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0	0	0
	_OA		0	0	1	1	0	0	0	0	0	0	0	0
	_O_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	A_a		0	1	0	1	0	0	0	0	1	1	0	0
	_Oa		0	1	1	1	0	0	0	0	1	1	0	0
	__a		0	1	1	2	0	0	0	0	0	0	0	0
	_oA		0	1	1	1	0	0	0	0	0	0	1	1
	_oa		0	2	1	1	0	0	0	0	0	0	0	0
	aO_		1	1	0	1	0	0	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0	0	0
	a_a		1	2	0	1	0	0	0	0	0	0	0	0
	AOi		0	0	0	0	0	0	2	0	0	0	0	0
	AOe		0	0	0	0	0	0	1	0	0	0	0	0
	Aii		0	0	0	0	0	0	4	0	0	0	0	0
	Aie		0	0	0	0	0	0	3	0	0	0	0	0
	iOA		0	0	0	0	0	2	2	0	0	0	0	0
	iOi		0	0	0	0	0	2	4	0	0	0	0	0
	iOe		0	0	0	0	0	2	3	0	0	0	0	0
	iii		0	0	0	0	0	2	6	0	0	0	0	0
	iie		0	0	0	0	0	2	5	0	0	0	0	0
	eOA		0	0	0	0	0	1	1	0	0	0	0	0
	eOi		0	0	0	0	0	1	3	0	0	0	0	0
	eOe		0	0	0	0	0	1	2	0	0	0	0	0
	eii		0	0	0	0	0	1	5	0	0	0	0	0
	eie		0	0	0	0	0	1	4	0	0	0	0	0
	Aia		0	1	0	0	0	0	2	0	0	1	0	0
	Aea		0	1	0	0	0	0	1	0	0	1	0	0
	iOa		0	1	0	0	0	2	2	0	1	1	0	0
	iia		0	1	0	0	0	2	4	0	0	0	0	0
	iea		0	1	0	0	0	2	3	0	0	0	0	0
	eOa		0	1	0	0	0	1	1	0	1	1	0	0
	eia		0	1	0	0	0	1	3	0	0	0	0	0
	eea		0	1	0	0	0	1	2	0	0	0	0	0
	Aoi		0	1	0	0	0	0	2	0	1	1	0	0
	Aoe		0	1	0	0	0	0	1	0	1	1	0	0
	ioA		0	1	0	0	0	2	2	0	0	0	1	1
	eoA		0	1	0	0	0	1	1	0	0	0	1	1
	ioa		0	2	0	0	0	2	2	0	0	0	0	0
	eoa		0	2	0	0	0	1	1	0	0	0	0	0
	aOi		1	1	0	0	0	0	2	0	0	0	1	1
	aOe		1	1	0	0	0	0	1	0	0	0	1	1
	aiA		1	1	0	0	0	0	2	0	0	0	0	1
	aii		1	1	0	0	0	0	4	0	0	0	0	0
	aie		1	1	0	0	0	0	3	0	0	0	0	0
	aeA		1	1	0	0	0	0	1	0	0	0	0	1
	aee		1	1	0	0	0	0	2	0	0	0	0	0
	aia		1	2	0	0	0	0	2	0	0	0	0	0
	aea		1	2	0	0	0	0	1	0	0	0	0	0
	Ai_		0	0	0	1	0	0	2	0	0	0	0	0
	Ae_		0	0	0	1	0	0	1	0	0	0	0	0
	iO_		0	0	0	1	0	2	2	0	0	0	0	0
	ii_		0	0	0	1	0	2	4	0	0	0	0	0
	ie_		0	0	0	1	0	2	3	0	0	0	0	0
	eO_		0	0	0	1	0	1	1	0	0	0	0	0
	ei_		0	0	0	1	0	1	3	0	0	0	0	0
	ee_		0	0	0	1	0	1	2	0	0	0	0	0
	i__		0	0	0	2	0	2	2	0	0	0	0	0
	e__		0	0	0	2	0	1	1	0	0	0	0	0
	_Oi		0	0	1	1	0	0	2	0	0	0	0	0
	_Oe		0	0	1	1	0	0	1	0	0	0	0	0
	_ii		0	0	1	1	0	0	4	0	0	0	0	0
	_ie		0	0	1	1	0	0	3	0	0	0	0	0
	_i_		0	0	1	2	0	0	2	0	0	0	0	0
	_e_		0	0	1	2	0	0	1	0	0	0	0	0
	i_a		0	1	0	1	0	2	2	0	0	0	0	0
	e_a		0	1	0	1	0	1	1	0	0	0	0	0
	_ia		0	1	1	1	0	0	2	0	0	0	0	0
	_ea		0	1	1	1	0	0	1	0	0	0	0	0
	ai_		1	1	0	1	0	0	2	0	0	0	0	0
	ae_		1	1	0	1	0	0	1	0	0	0	0	0
AOy	AOy	1	0	0	0	0	0	0	0	0	0	0	0	0
	AOu		0	1	0	0	0	0	0	0	1	1	0	0
	Aoy		0	1	0	0	0	0	0	0	1	1	1	1
	Aou		0	2	0	0	0	0	0	0	1	2	0	0
	aOy		1	1	0	0	0	0	0	0	0	0	1	1
	aOu		1	2	0	0	0	0	0	0	1	1	1	1
	aoy		1	2	0	0	0	0	0	0	0	0	1	2
	aou		1	3	0	0	0	0	0	0	0	0	0	0
	AO_		0	0	0	1	0	0	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0	0	0
	_Oy		0	0	1	1	0	0	0	0	0	0	0	0
	_O_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	A_u		0	1	0	1	0	0	0	0	1	1	0	0
	_Ou		0	1	1	1	0	0	0	0	1	1	0	0
	__u		0	1	1	2	0	0	0	0	0	0	0	0
	_oy		0	1	1	1	0	0	0	0	0	0	1	1
	_ou		0	2	1	1	0	0	0	0	0	0	0	0
	aO_		1	1	0	1	0	0	0	0	0	0	1	1
	a__		1	1	0	2	0	0	0	0	0	0	0	0
	a_u		1	2	0	1	0	0	0	0	0	0	0	0
	AOi		0	0	0	0	0	0	1	0	0	0	0	0
	AOe		0	0	0	0	0	0	2	0	0	0	0	0
	Aii		0	0	0	0	0	0	3	0	0	0	0	0
	Aie		0	0	0	0	0	0	4	0	0	0	0	0
	iOy		0	0	0	0	0	2	2	0	0	0	0	0
	iOi		0	0	0	0	0	2	3	0	0	0	0	0
	iOe		0	0	0	0	0	2	4	0	0	0	0	0
	iii		0	0	0	0	0	2	5	0	0	0	0	0
	iie		0	0	0	0	0	2	6	0	0	0	0	0
	eOy		0	0	0	0	0	1	1	0	0	0	0	0
	eOi		0	0	0	0	0	1	2	0	0	0	0	0
	eOe		0	0	0	0	0	1	3	0	0	0	0	0
	eii		0	0	0	0	0	1	4	0	0	0	0	0
	eie		0	0	0	0	0	1	5	0	0	0	0	0
	Aiu		0	1	0	0	0	0	2	0	0	1	0	0
	Aeu		0	1	0	0	0	0	1	0	0	1	0	0
	iOu		0	1	0	0	0	2	2	0	1	1	0	0
	iiu		0	1	0	0	0	2	4	0	0	0	0	0
	ieu		0	1	0	0	0	2	3	0	0	0	0	0
	eOu		0	1	0	0	0	1	1	0	1	1	0	0
	eiu		0	1	0	0	0	1	3	0	0	0	0	0
	eeu		0	1	0	0	0	1	2	0	0	0	0	0
	Aoi		0	1	0	0	0	0	1	0	1	1	0	0
	Aoe		0	1	0	0	0	0	2	0	1	1	0	0
	ioy		0	1	0	0	0	2	2	0	0	0	1	1
	eoy		0	1	0	0	0	1	1	0	0	0	1	1
	iou		0	2	0	0	0	2	2	0	0	0	0	0
	eou		0	2	0	0	0	1	1	0	0	0	0	0
	aOi		1	1	0	0	0	0	1	0	0	0	1	1
	aOe		1	1	0	0	0	0	2	0	0	0	1	1
	aiy		1	1	0	0	0	0	2	0	0	0	0	1
	aii		1	1	0	0	0	0	3	0	0	0	0	0
	aie		1	1	0	0	0	0	4	0	0	0	0	0
	aey		1	1	0	0	0	0	1	0	0	0	0	1
	aei		1	1	0	0	0	0	2	0	0	0	0	0
	aiu		1	2	0	0	0	0	2	0	0	0	0	0
	aeu		1	2	0	0	0	0	1	0	0	0	0	0
	Ai_		0	0	0	1	0	0	2	0	0	0	0	0
	Ae_		0	0	0	1	0	0	1	0	0	0	0	0
	iO_		0	0	0	1	0	2	2	0	0	0	0	0
	ii_		0	0	0	1	0	2	4	0	0	0	0	0
	ie_		0	0	0	1	0	2	3	0	0	0	0	0
	eO_		0	0	0	1	0	1	1	0	0	0	0	0
	ei_		0	0	0	1	0	1	3	0	0	0	0	0
	ee_		0	0	0	1	0	1	2	0	0	0	0	0
	i__		0	0	0	2	0	2	2	0	0	0	0	0
	e__		0	0	0	2	0	1	1	0	0	0	0	0
	_Oi		0	0	1	1	0	0	1	0	0	0	0	0
	_Oe		0	0	1	1	0	0	2	0	0	0	0	0
	_ii		0	0	1	1	0	0	3	0	0	0	0	0
	_ie		0	0	1	1	0	0	4	0	0	0	0	0
	_i_		0	0	1	2	0	0	2	0	0	0	0	0
	_e_		0	0	1	2	0	0	1	0	0	0	0	0
	i_u		0	1	0	1	0	2	2	0	0	0	0	0
	e_u		0	1	0	1	0	1	1	0	0	0	0	0
	_iu		0	1	1	1	0	0	2	0	0	0	0	0
	_eu		0	1	1	1	0	0	1	0	0	0	0	0
	ai_		1	1	0	1	0	0	2	0	0	0	0	0
	ae_		1	1	0	1	0	0	1	0	0	0	0	0
AOe	AOe	1	0	0	0	0	0	0	0	0	0	0	0	0
	AOE		0	1	0	0	0	0	0	1	1	1	0	0
	Aoe		0	1	0	0	0	0	0	0	1	1	0	0
	AoE		0	2	0	0	0	0	0	1	1	2	0	0
	aOe		1	1	0	0	0	0	0	0	0	0	1	1
	aOE		1	2	0	0	0	0	0	1	1	1	1	1
	aoe		1	2	0	0	0	0	0	0	0	0	0	0
	aoE		1	3	0	0	0	0	0	1	0	0	0	0
	AO_		0	0	0	1	0	0	0	0	0	0	0	0
	A__		0	0	0	2	0	0	0	0	0	0	0	0
	_Oe		0	0	1	1	0	0	0	0	0	0	0	0
	_O_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	A_E		0	1	0	1	0	0	0	1	1	1	0	0
	_OE		0	1	1	1	0	0	0	1	1	1	0	0
	__E		0	1	1	2	0	0	0	1	0	0	0	0
	Ao_		0	1	0	1	0	0	0	0	1	1	0	0
	_oe		0	1	1	1	0	0	0	0	0	0	0	0
	_o_		0	1	1	2	0	0	0	0	0	0	0	0
	_oE		0	2	1	1	0	0	0	1	0	0	0	0
	aO_		1	1	0	1	0	0	0	0	0	0	1	1
	a_e		1	1	0	1	0	0	0	0	0	0	0	0
	a__		1	1	0	2	0	0	0	0	0	0	0	0
	a_E		1	2	0	1	0	0	0	1	0	0	0	0
	ao_		1	2	0	1	0	0	0	0	0	0	0	0
	AOi		0	0	0	0	0	0	1	0	0	0	0	0
	Aie		0	0	0	0	0	0	2	0	0	0	0	0
	Aii		0	0	0	0	0	0	3	0	0	0	0	0
	iOe		0	0	0	0	0	2	2	0	0	0	0	0
	iOi		0	0	0	0	0	2	3	0	0	0	0	0
	iie		0	0	0	0	0	2	4	0	0	0	0	0
	iii		0	0	0	0	0	2	5	0	0	0	0	0
	eOe		0	0	0	0	0	1	1	0	0	0	0	0
	eOi		0	0	0	0	0	1	2	0	0	0	0	0
	eie		0	0	0	0	0	1	3	0	0	0	0	0
	eii		0	0	0	0	0	1	4	0	0	0	0	0
	AiE		0	1	0	0	0	0	2	1	0	1	0	0
	AeE		0	1	0	0	0	0	1	1	0	1	0	0
	iOE		0	1	0	0	0	2	2	1	1	1	0	0
	iiE		0	1	0	0	0	2	4	1	0	0	0	0
	ieE		0	1	0	0	0	2	3	1	0	0	0	0
	eOE		0	1	0	0	0	1	1	1	1	1	0	0
	eiE		0	1	0	0	0	1	3	1	0	0	0	0
	eeE		0	1	0	0	0	1	2	1	0	0	0	0
	Aoi		0	1	0	0	0	0	1	0	1	1	0	0
	ioe		0	1	0	0	0	2	2	0	0	0	0	0
	ioi		0	1	0	0	0	2	3	0	0	0	0	0
	eoe		0	1	0	0	0	1	1	0	0	0	0	0
	eoi		0	1	0	0	0	1	2	0	0	0	0	0
	ioE		0	2	0	0	0	2	2	1	0	0	0	0
	eoE		0	2	0	0	0	1	1	1	0	0	0	0
	aOi		1	1	0	0	0	0	1	0	0	0	1	1
	aie		1	1	0	0	0	0	2	0	0	0	0	0
	aii		1	1	0	0	0	0	3	0	0	0	0	0
	aee		1	1	0	0	0	0	1	0	0	0	0	0
	aiE		1	2	0	0	0	0	2	1	0	0	0	0
	aeE		1	2	0	0	0	0	1	1	0	0	0	0
	aoi		1	2	0	0	0	0	1	0	0	0	0	0
	Ai_		0	0	0	1	0	0	2	0	0	0	0	0
