trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
45	ai	Ai	0.4	32.1	0.4	12.100000000000001			-2	82.50000000000001	-2	79.15000000000002	-2	77.15000000000002							0.4	80.95000000000003																																																																																																																													0.4	82.65	0.4	83.65
46	oEI	oei			0.4	12.500000000000002					-2	77.15000000000002	-2	75.15000000000002	0.4	101.06666666666666	0.4	93.86666666666667	0.4	88.61666666666667	0.4	81.35000000000004																																																																																																									-2	96	-2	96	-2	90.25	-2	90.25									-2	88	-2	88	-2	80.65	-2	81.65
	a priori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	32.5																																																																																																																																																		
48	eiy	eiu			0.5	13.000000000000002			0.5	83.00000000000001	0.5	77.65000000000002	0.5	75.65000000000002							-2	79.35000000000004																																															-2	72.65													-2	64.25	-2	64.25																																																																
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5	33.0																																																																																																																																																		
49	oEa	Oea	0.4	33.4	0.4	13.400000000000002	-2	94.99999999999999	-2	81.00000000000001	-2	75.65000000000002	-2	73.65000000000002			0.4	94.26666666666668	0.4	89.01666666666668	0.4	79.75000000000004															-2	94															-2	80													-2	74.25	-2	70.65													-2	62.25	-2	62.25																																																																
50	yii	uii	0.4	33.8	0.4	13.800000000000002			0.4	81.40000000000002	0.4	76.05000000000003	0.4	74.05000000000003							-2	77.75000000000004																																																																																																																													-2	78.65	-2	79.65
54	Aee	aee	0.4	34.199999999999996	0.4	14.200000000000003			0.4	81.80000000000003	0.4	76.45000000000003	0.4	74.45000000000003							-2	75.75000000000004																																																																																																																									-2	86	-2	86	-2	76.65	-2	77.65
55	uua	yua	0.6666666666666666	34.86666666666666	0.6666666666666666	14.866666666666669			-2	79.80000000000003	-2	74.45000000000003	-2	72.45000000000003							0.6666666666666666	76.41666666666671																													-2	82	-2	78													-2	72.25	-2	68.65													-2	60.25	-2	60.25																																																																
56	oaa	Oaa	0.5	35.36666666666666	0.5	15.366666666666669	-2	92.99999999999999	-2	77.80000000000003	-2	72.45000000000003	-2	70.45000000000003					0.5	89.51666666666668	0.5	76.91666666666671													-2	96	-2	92													-2	80	-2	76													-2	70.25	-2	66.65													-2	58.25	-2	58.25																																																																
57	AAe	aae	0.4	35.76666666666666	0.4	15.76666666666667			0.4	78.20000000000003	0.4	72.85000000000004	0.4	70.85000000000004							-2	74.91666666666671																																																																																																																									-2	84	-2	84	-2	74.65	-2	75.65
58	yyy	uuu	0.4	36.16666666666666	0.4	16.166666666666668			0.4	78.60000000000004	0.4	73.25000000000004	0.4	71.25000000000004							-2	72.91666666666671																																																																																																																																
60	Aii	aii	0.4	36.566666666666656	0.4	16.566666666666666			0.4	79.00000000000004	0.4	73.65000000000005	0.4	71.65000000000005							-2	70.91666666666671																																																																																																																													-2	72.65	-2	73.65
64	Ae	ae	0.4	36.966666666666654	0.4	16.966666666666665			0.4	79.40000000000005	0.4	74.05000000000005	0.4	72.05000000000005							-2	68.91666666666671																																																																																																																									-2	82	-2	82	-2	70.65	-2	71.65
65	oii	Oii	0.25	37.216666666666654	0.25	17.216666666666665	-2	90.99999999999999	-2	77.40000000000005	-2	72.05000000000005	-2	70.05000000000005					0.25	89.76666666666668	0.25	69.16666666666671																																																																																																													0.25	90.5	0.25	90.5													0.25	70.9	0.25	71.9
66	Aeu	aeu	0.3333333333333333	37.54999999999999	0.3333333333333333	17.549999999999997			0.3333333333333333	77.73333333333338	0.3333333333333333	72.38333333333338	0.3333333333333333	70.38333333333338							-2	67.16666666666671																															0.3333333333333333	76.33333333333333																																																																																									-2	80	-2	80	-2	68.9	-2	69.9
69	OAe	Oae			0.5	18.049999999999997			0.5	78.23333333333338	0.5	72.88333333333338	0.5	70.88333333333338							-2	65.16666666666671													-2	94	-2	90													-2	78	-2	74.33333333333333													-2	68.25	-2	64.65													-2	56.25	-2	56.25																																																									-2	78	-2	78	-2	66.9	-2	67.9
	a priori	Id(Bk)Syl1>>Id(Bk)	0.5000000000000071	38.05																																																																																																																																																		
71	eeu	Eeu	0.5	38.55	0.5	18.549999999999997					0.5	73.38333333333338	0.5	71.38333333333338			-2	92.26666666666668	-2	87.76666666666668	-2	63.166666666666714																																																																																									-2	98	-2	98	-2	96	-2	96									-2	94	-2	94	-2	88.5	-2	88.5									-2	76	-2	76	-2	64.9	-2	65.9
72	aa	Aa	0.6666666666666666	39.21666666666666	0.6666666666666666	19.216666666666665			-2	76.23333333333338	-2	71.38333333333338	-2	69.38333333333338							0.6666666666666666	63.83333333333338																													-2	76	-2	72.33333333333333													-2	66.25	-2	62.650000000000006													-2	54.25	-2	54.25																																																																
