trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	MaxIOSyl1	now	MaxIO	now	NonEmpty	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
135	OiO	oio	1.25	49.326118326118326	1.25	50.72611832611833							1.25	59.24675324675324	1.25	38.761832611832624	1.25	32.761832611832624	1.25	32.761832611832624					-2	54.0	-2	3.9642857142857224																																																									-2	92	-2	92	-2	72	-2	72																																													-2	78	-2	68													-2	22.25	-2	22.25
138	AiO	aio	1.1428571428571428	50.46897546897547	1.1428571428571428	51.86897546897548							1.1428571428571428	60.38961038961038	1.1428571428571428	39.90468975468977	1.1428571428571428	33.90468975468977	1.1428571428571428	33.90468975468977					-2	52.0	-2	1.9642857142857224																																																									-2	90	-2	90	-2	70	-2	70																																																													-2	20.25	-2	20.25
139	Oyi	oui	0.9090909090909091	51.37806637806638	0.9090909090909091	52.778066378066384							0.9090909090909091	61.29870129870129	0.9090909090909091	40.813780663780676	0.9090909090909091	34.813780663780676	0.9090909090909091	34.813780663780676					-2	50.0	-2	-0.035714285714277594																																																																																																															-2	66													-2	18.25	-2	18.25
140	ao	AO	1.0	52.37806637806638	1.0	53.778066378066384							-2	59.29870129870129	-2	38.813780663780676	-2	32.813780663780676	-2	32.813780663780676					1.0	51.0	1.0	0.9642857142857224																																																																																																																																
141	OiA	oia	1.1428571428571428	53.520923520923525	1.1428571428571428	54.92092352092353							1.1428571428571428	60.441558441558435	1.1428571428571428	39.95663780663782	1.1428571428571428	33.95663780663782	1.1428571428571428	33.95663780663782					-2	49.0	-2	-1.0357142857142776																																																													-2	68	-2	68																																													-2	76	-2	64													-2	16.25	-2	16.25
142	uoo	yOO	1.0	54.520923520923525	1.0	55.92092352092353							-2	58.441558441558435	-2	37.95663780663782	-2	31.956637806637822	-2	31.956637806637822					1.0	50.0	1.0	-0.035714285714277594																																																																																																																																
145	uoo	yOO	1.0	55.520923520923525	1.0	56.92092352092353							-2	56.441558441558435	-2	35.95663780663782	-2	29.956637806637822	-2	29.956637806637822					1.0	51.0	1.0	0.9642857142857224																																																																																																																																
146	Oey	oeu	1.4	56.92092352092352	1.4	58.32092352092353							1.4	57.84155844155843	1.4	37.35663780663782	1.4	31.35663780663782	1.4	31.35663780663782					-2	49.0	-2	-1.0357142857142776																																													-2	86	-2	86													-2	66	-2	66																																									-2	88	-2	82	-2	74	-2	62									-2	62	-2	56	-2	14.25	-2	14.25
155	Oye	oue	1.1428571428571428	58.06378066378067	1.1428571428571428	59.463780663780675							1.1428571428571428	58.98441558441558	1.1428571428571428	38.49949494949497	1.1428571428571428	32.49949494949497	1.1428571428571428	32.49949494949497					-2	47.0	-2	-3.0357142857142776																																																																																																											-2	80			-2	60									-2	60	-2	54	-2	12.25	-2	12.25
159	yey	ueu	1.2857142857142858	59.349494949494954	1.2857142857142858	60.74949494949496									1.2857142857142858	39.78520923520925	1.2857142857142858	33.78520923520925	1.2857142857142858	33.78520923520925							-2	-5.035714285714278																																													-2	84	-2	84													-2	64	-2	64																																																									-2	58	-2	52	-2	10.25	-2	10.25
