Id(Bk)Syl1	 124 
Id(Bk)	 104 
*F1	 108 
*F3	 110 
*F4	 100 
*F5	 100 
*B1	 106 
*B2	 110 
*B3	 102 
*B5	 100 
*F1_B1	 100 
*F1..._B1	 100 
*F1_B2	 100 
*F1..._B2	 100 
*F1_B3	 94 
*F1..._B3	 92 
*F1_B5	 92 
*F1..._B5	 92 
*F3_B1	 100 
*F3..._B1	 100 
*F3_B2	 100 
*F3..._B2	 100 
*F3_B3	 90 
*F3..._B3	 86 
*F3_B5	 74 
*F3..._B5	 72 
*F4_B1	 100 
*F4..._B1	 100 
*F4_B2	 102 
*F4..._B2	 102 
*F4_B3	 88 
*F4..._B3	 82 
*F4_B5	 62 
*F4..._B5	 60 
*F5_B1	 100 
*F5..._B1	 100 
*F5_B2	 102 
*F5..._B2	 106 
*F5_B3	 84 
*F5..._B3	 82 
*F5_B5	 48 
*F5..._B5	 54 
*_B1F1	 100 
*_B1...F1	 100 
*_B1F3	 100 
*_B1...F3	 100 
*_B1F4	 100 
*_B1...F4	 100 
*_B1F5	 100 
*_B1...F5	 100 
*_B2F1	 102 
*_B2...F1	 102 
*_B2F3	 102 
*_B2...F3	 104 
*_B2F4	 100 
*_B2...F4	 98 
*_B2F5	 100 
*_B2...F5	 96 
*_B3F1	 102 
*_B3...F1	 102 
*_B3F3	 102 
*_B3...F3	 104 
*_B3F4	 98 
*_B3...F4	 94 
*_B3F5	 94 
*_B3...F5	 92 
*_B5F1	 104 
*_B5...F1	 104 
*_B5F3	 104 
*_B5...F3	 106 
*_B5F4	 84 
*_B5...F4	 78 
*_B5F5	 80 
*_B5...F5	 80 

Input#	Input	Cand#	Cand	Freq. from input file	Learning tokens	Output of grammar test	Target proportion	Predicted proportion
 27 	yE	 2 	uE	 0 	 0 	 0 	 0 	 0 
 27 	yE	 3 	ue	 0 	 0 	 0 	 0 	 0 
 28 	yo	 0 	yo	 1 	 20 	 1000 	 1 	 1 
 28 	yo	 1 	yO	 0 	 0 	 0 	 0 	 0 
 28 	yo	 2 	uo	 0 	 0 	 0 	 0 	 0 
 28 	yo	 3 	uO	 0 	 0 	 0 	 0 	 0 
 29 	ya	 0 	ya	 1 	 12 	 1000 	 1 	 1 
 29 	ya	 1 	yA	 0 	 0 	 0 	 0 	 0 
 29 	ya	 2 	ua	 0 	 0 	 0 	 0 	 0 
 29 	ya	 3 	uA	 0 	 0 	 0 	 0 	 0 
 30 	yu	 0 	yu	 1 	 14 	 1000 	 1 	 1 
 30 	yu	 1 	yy	 0 	 0 	 0 	 0 	 0 
 30 	yu	 2 	uu	 0 	 0 	 0 	 0 	 0 
 30 	yu	 3 	uy	 0 	 0 	 0 	 0 	 0 
 31 	eO	 0 	eO	 0 	 0 	 9 	 0 	 0.009 
 31 	eO	 1 	eo	 0 	 0 	 991 	 0 	 0.991 
 31 	eO	 2 	EO	 0 	 0 	 0 	 0 	 0 
 31 	eO	 3 	Eo	 0 	 0 	 0 	 0 	 0 
 32 	eA	 0 	eA	 0 	 0 	 21 	 0 	 0.021 
 32 	eA	 1 	ea	 0 	 0 	 979 	 0 	 0.979 
 32 	eA	 2 	EA	 0 	 0 	 0 	 0 	 0 
 32 	eA	 3 	Ea	 0 	 0 	 0 	 0 	 0 
 33 	ey	 0 	ey	 0 	 0 	 21 	 0 	 0.021 
 33 	ey	 1 	eu	 0 	 0 	 979 	 0 	 0.979 
 33 	ey	 2 	Ey	 0 	 0 	 0 	 0 	 0 
 33 	ey	 3 	Eu	 0 	 0 	 0 	 0 	 0 
 34 	ee	 0 	ee	 1 	 18 	 1000 	 1 	 1 
 34 	ee	 1 	eE	 0 	 0 	 0 	 0 	 0 
 34 	ee	 2 	Ee	 0 	 0 	 0 	 0 	 0 
 34 	ee	 3 	EE	 0 	 0 	 0 	 0 	 0 
 35 	ei	 0 	ei	 1 	 15 	 1000 	 1 	 1 
 35 	ei	 1 	eI	 0 	 0 	 0 	 0 	 0 
 35 	ei	 2 	Ei	 0 	 0 	 0 	 0 	 0 
 35 	ei	 3 	EI	 0 	 0 	 0 	 0 	 0 
 36 	eI	 0 	eI	 0 	 0 	 10 	 0 	 0.01 
 36 	eI	 1 	ei	 0 	 0 	 990 	 0 	 0.99 
 36 	eI	 2 	EI	 0 	 0 	 0 	 0 	 0 
 36 	eI	 3 	Ei	 0 	 0 	 0 	 0 	 0 
 37 	eE	 0 	eE	 0 	 0 	 11 	 0 	 0.011 
 37 	eE	 1 	ee	 0 	 0 	 989 	 0 	 0.989 
 37 	eE	 2 	EE	 0 	 0 	 0 	 0 	 0 
 37 	eE	 3 	Ee	 0 	 0 	 0 	 0 	 0 
 38 	eo	 0 	eo	 1 	 23 	 1000 	 1 	 1 
 38 	eo	 1 	eO	 0 	 0 	 0 	 0 	 0 
 38 	eo	 2 	Eo	 0 	 0 	 0 	 0 	 0 
 38 	eo	 3 	EO	 0 	 0 	 0 	 0 	 0 
 39 	ea	 0 	ea	 1 	 23 	 1000 	 1 	 1 
 39 	ea	 1 	eA	 0 	 0 	 0 	 0 	 0 
 39 	ea	 2 	Ea	 0 	 0 	 0 	 0 	 0 
 39 	ea	 3 	EA	 0 	 0 	 0 	 0 	 0 
 40 	eu	 0 	eu	 1 	 18 	 1000 	 1 	 1 
 40 	eu	 1 	ey	 0 	 0 	 0 	 0 	 0 
 40 	eu	 2 	Eu	 0 	 0 	 0 	 0 	 0 
 40 	eu	 3 	Ey	 0 	 0 	 0 	 0 	 0 
 41 	iO	 0 	iO	 0 	 0 	 9 	 0 	 0.009 
 41 	iO	 1 	io	 0 	 0 	 991 	 0 	 0.991 
 41 	iO	 2 	IO	 0 	 0 	 0 	 0 	 0 
 41 	iO	 3 	Io	 0 	 0 	 0 	 0 	 0 
 42 	iA	 0 	iA	 0 	 0 	 21 	 0 	 0.021 
 42 	iA	 1 	ia	 0 	 0 	 979 	 0 	 0.979 
 42 	iA	 2 	IA	 0 	 0 	 0 	 0 	 0 
 42 	iA	 3 	Ia	 0 	 0 	 0 	 0 	 0 
 43 	iy	 0 	iy	 0 	 0 	 21 	 0 	 0.021 
 43 	iy	 1 	iu	 0 	 0 	 979 	 0 	 0.979 
 43 	iy	 2 	Iy	 0 	 0 	 0 	 0 	 0 
 43 	iy	 3 	Iu	 0 	 0 	 0 	 0 	 0 
 44 	ie	 0 	ie	 1 	 17 	 1000 	 1 	 1 
 44 	ie	 1 	iE	 0 	 0 	 0 	 0 	 0 
 44 	ie	 2 	Ie	 0 	 0 	 0 	 0 	 0 
 44 	ie	 3 	IE	 0 	 0 	 0 	 0 	 0 
 45 	ii	 0 	ii	 1 	 15 	 1000 	 1 	 1 
 45 	ii	 1 	iI	 0 	 0 	 0 	 0 	 0 
 45 	ii	 2 	Ii	 0 	 0 	 0 	 0 	 0 
 45 	ii	 3 	II	 0 	 0 	 0 	 0 	 0 
 46 	iI	 0 	iI	 0 	 0 	 10 	 0 	 0.01 
 46 	iI	 1 	ii	 0 	 0 	 990 	 0 	 0.99 
 46 	iI	 2 	II	 0 	 0 	 0 	 0 	 0 
 46 	iI	 3 	Ii	 0 	 0 	 0 	 0 	 0 
 47 	iE	 0 	iE	 0 	 0 	 11 	 0 	 0.011 
 47 	iE	 1 	ie	 0 	 0 	 989 	 0 	 0.989 
 47 	iE	 2 	IE	 0 	 0 	 0 	 0 	 0 
 47 	iE	 3 	Ie	 0 	 0 	 0 	 0 	 0 
 48 	io	 0 	io	 1 	 8 	 1000 	 1 	 1 
 48 	io	 1 	iO	 0 	 0 	 0 	 0 	 0 
 48 	io	 2 	Io	 0 	 0 	 0 	 0 	 0 
 48 	io	 3 	IO	 0 	 0 	 0 	 0 	 0 
 49 	ia	 0 	ia	 1 	 14 	 1000 	 1 	 1 
 49 	ia	 1 	iA	 0 	 0 	 0 	 0 	 0 
 49 	ia	 2 	Ia	 0 	 0 	 0 	 0 	 0 
 49 	ia	 3 	IA	 0 	 0 	 0 	 0 	 0 
 50 	iu	 0 	iu	 1 	 22 	 1000 	 1 	 1 
 50 	iu	 1 	iy	 0 	 0 	 0 	 0 	 0 
 50 	iu	 2 	Iu	 0 	 0 	 0 	 0 	 0 
 50 	iu	 3 	Iy	 0 	 0 	 0 	 0 	 0 
 51 	IO	 0 	IO	 0 	 0 	 6 	 0 	 0.006 
 51 	IO	 1 	Io	 0 	 0 	 994 	 0 	 0.994 
 51 	IO	 2 	iO	 0 	 0 	 0 	 0 	 0 
 51 	IO	 3 	io	 0 	 0 	 0 	 0 	 0 
 52 	IA	 0 	IA	 0 	 0 	 16 	 0 	 0.016 
 52 	IA	 1 	Ia	 0 	 0 	 984 	 0 	 0.984 
 52 	IA	 2 	iA	 0 	 0 	 0 	 0 	 0 
 52 	IA	 3 	ia	 0 	 0 	 0 	 0 	 0 
 53 	Iy	 0 	Iy	 0 	 0 	 16 	 0 	 0.016 
 53 	Iy	 1 	Iu	 0 	 0 	 984 	 0 	 0.984 
 53 	Iy	 2 	iy	 0 	 0 	 0 	 0 	 0 
 53 	Iy	 3 	iu	 0 	 0 	 0 	 0 	 0 
 54 	Ie	 0 	Ie	 0 	 0 	 998 	 0 	 0.998 
 54 	Ie	 1 	IE	 0 	 0 	 2 	 0 	 0.002 
 54 	Ie	 2 	ie	 0 	 0 	 0 	 0 	 0 
 54 	Ie	 3 	iE	 0 	 0 	 0 	 0 	 0 
 55 	Ii	 0 	Ii	 0 	 0 	 1000 	 0 	 1 
 55 	Ii	 1 	II	 0 	 0 	 0 	 0 	 0 
 55 	Ii	 2 	ii	 0 	 0 	 0 	 0 	 0 
 55 	Ii	 3 	iI	 0 	 0 	 0 	 0 	 0 
 56 	II	 0 	II	 0 	 0 	 16 	 0 	 0.016 
 56 	II	 1 	Ii	 0 	 0 	 984 	 0 	 0.984 
 56 	II	 2 	iI	 0 	 0 	 0 	 0 	 0 
 56 	II	 3 	ii	 0 	 0 	 0 	 0 	 0 
 57 	IE	 0 	IE	 0 	 0 	 20 	 0 	 0.02 
 57 	IE	 1 	Ie	 0 	 0 	 980 	 0 	 0.98 
 57 	IE	 2 	iE	 0 	 0 	 0 	 0 	 0 
 57 	IE	 3 	ie	 0 	 0 	 0 	 0 	 0 
 58 	Io	 0 	Io	 0 	 0 	 1000 	 0 	 1 
 58 	Io	 1 	IO	 0 	 0 	 0 	 0 	 0 
 58 	Io	 2 	io	 0 	 0 	 0 	 0 	 0 
 58 	Io	 3 	iO	 0 	 0 	 0 	 0 	 0 
 59 	Ia	 0 	Ia	 0 	 0 	 1000 	 0 	 1 
 59 	Ia	 1 	IA	 0 	 0 	 0 	 0 	 0 
 59 	Ia	 2 	ia	 0 	 0 	 0 	 0 	 0 
 59 	Ia	 3 	iA	 0 	 0 	 0 	 0 	 0 
 60 	Iu	 0 	Iu	 0 	 0 	 1000 	 0 	 1 
 60 	Iu	 1 	Iy	 0 	 0 	 0 	 0 	 0 
 60 	Iu	 2 	iu	 0 	 0 	 0 	 0 	 0 
 60 	Iu	 3 	iy	 0 	 0 	 0 	 0 	 0 
 61 	EO	 0 	EO	 0 	 0 	 6 	 0 	 0.006 
 61 	EO	 1 	Eo	 0 	 0 	 994 	 0 	 0.994 
 61 	EO	 2 	eO	 0 	 0 	 0 	 0 	 0 
 61 	EO	 3 	eo	 0 	 0 	 0 	 0 	 0 
 62 	EA	 0 	EA	 0 	 0 	 16 	 0 	 0.016 
 62 	EA	 1 	Ea	 0 	 0 	 984 	 0 	 0.984 
