			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	eiI		0	1	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0
	iEe		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	eEi		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	eEe		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	eEI		0	2	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0
	Iee		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	Iii		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	Iie		1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1
	IiI		1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
	IEe		1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2
	ii_		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	ee_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	ei_		0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0
	e__		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0
	_ee		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_ie		0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
	e_I		0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0
	_iI		0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
	eE_		0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0
	_Ee		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
	Ii_		1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
	I_e		1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1
ieo	ieo	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	ieO		0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
	iEo		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iEO		0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
	Ieo		1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1
	IeO		1	2	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
	IEo		1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	IEO		1	3	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2
	ie_		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	i_o		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	i__		0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	_eo		0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
	_e_		0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	__o		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0
	i_O		0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	_eO		0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	__O		0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
	iE_		0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	_Eo		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_E_		0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	_EO		0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1
	Ie_		1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
	I_o		1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	I__		1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
	I_O		1	2	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1
	IE_		1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
	iei		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iio		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iii		0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	eeo		0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	eei		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eio		0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0
	eii		0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	iiO		0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
	eeO		0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	eiO		0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0
	iEi		0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iEe		0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	eEo		0	1	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0
	eEi		0	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eEe		0	2	0	0	0	0	0	1	2	0	0	1	1	0	0	1	1
	eEO		0	2	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1
	Iei		1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	Iio		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	Iii		1	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
	Iie		1	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1
	IiO		1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1
	IEi		1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	IEe		1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2
	ii_		0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
	ee_		0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	ei_		0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
	i_i		0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	e_o		0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0
	e_i		0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0
	e__		0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0
	_ei		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_io		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_ii		0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_i_		0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0
	__i		0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
	e_O		0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0
	_iO		0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
	eE_		0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0
	_Ei		0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_Ee		0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1
	Ii_		1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
	I_i		1	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
	I_e		1	2	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1
iiA	iiA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iia		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iIA		0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
	iIa		0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	IiA		1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
	Iia		1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	IIA		1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2
	IIa		1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	ii_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	_iA		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0
	i_a		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_ia		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__a		0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	iI_		0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	_IA		0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1
	_I_		0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0
	_Ia		0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	Ii_		1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	I_A		1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1
	I__		1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
	I_a		1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	II_		1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
	iii		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iei		0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	eiA		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eei		0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	iea		0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
	eia		0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
	eea		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	iIi		0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	iIe		0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	eIA		0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1
	eIi		0	1	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0
	eIe		0	1	0	0	0	0	0	1	2	0	1	1	1	0	0	1	1
	eIa		0	2	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0
	Iii		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	Iie		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
	IeA		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	Iei		1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1
	Iea		1	2	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1
	IIi		1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
	IIe		1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	2
	ie_		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	ei_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	ee_		0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0
	e__		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0
	_ii		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_ei		0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
	e_a		0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0
	_ea		0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0
	eI_		0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0
	_Ii		0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
	_Ie		0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1
	Ie_		1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1
	I_i		1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
iiy	iiy	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iiu		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iIy		0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
	iIu		0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	Iiy		1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
	Iiu		1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	IIy		1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2
	IIu		1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	ii_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	_iy		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0
	i_u		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_iu		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__u		0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	iI_		0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	_Iy		0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1
	_I_		0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0
	_Iu		0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	Ii_		1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	I_y		1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1
	I__		1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
	I_u		1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	II_		1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
	iii		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iei		0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	eiy		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eei		0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	ieu		0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
	eiu		0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
	eeu		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	iIi		0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	iIe		0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	eIy		0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1
	eIi		0	1	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0
	eIe		0	1	0	0	0	0	0	1	2	0	1	1	1	0	0	1	1
	eIu		0	2	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0
	Iii		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	Iie		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
	Iey		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	Iei		1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1
	Ieu		1	2	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1
	IIi		1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
	IIe		1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	2
	ie_		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	ei_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	ee_		0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0
	e__		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0
	_ii		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_ei		0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
	e_u		0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0
	_eu		0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0
	eI_		0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0
	_Ii		0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
	_Ie		0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1
	Ie_		1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1
	I_i		1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
iie	iie	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iiE		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iIe		0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
	iIE		0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	Iie		1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
	IiE		1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	IIe		1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2
	IIE		1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	ii_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	_ie		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0
	i_E		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_iE		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__E		0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	iI_		0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	_Ie		0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1
	_I_		0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0
	_IE		0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	Ii_		1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	I_e		1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1
	I__		1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
	I_E		1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	II_		1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
	iii		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iei		0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	eie		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eei		0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	ieE		0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
	eiE		0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
	eeE		0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	iIi		0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	eIe		0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1
	eIi		0	1	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0
	eIE		0	2	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0
	Iii		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	Iee		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	Iei		1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1
	IeE		1	2	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1
	IIi		1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
	ie_		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	ei_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	ee_		0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0
	e__		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0
	_ii		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_ei		0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
	e_E		0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0
	_eE		0	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0
	eI_		0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0
	_Ii		0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0
	Ie_		1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1
	I_i		1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0
iii	iii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iiI		0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	iII		0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	Iii		1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	IiI		1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	III		1	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
	ii_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	i__		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	_ii		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_i_		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0
	i_I		0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	_iI		0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	__I		0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0
	_II		0	2	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0
	Ii_		1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	I__		1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
	I_I		1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
	iie		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iee		0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	eii		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eie		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eee		0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	ieI		0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0
	eiI		0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0
	eeI		0	1	0	0	0	0	0	1	2	0	1	1	1	0	0	0	0
	iIe		0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	eIi		0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0
	eIe		0	1	0	0	0	0	0	1	2	0	1	1	1	0	0	1	1
	eII		0	2	0	0	0	0	0	1	1	0	2	1	2	0	0	0	0
	Iie		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
	Iei		1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1
	Iee		1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1
	IeI		1	2	0	0	0	0	0	0	1	0	2	1	1	0	0	1	1
	IIe		1	2	0	0	0	0	0	0	1	0	2	0	0	0	0	1	2
	ie_		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	ei_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	ee_		0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0
	e__		0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0
	_ie		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
	_ee		0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
	e_I		0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0
	_eI		0	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0
	_Ie		0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	1
	Ie_		1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1
iiE	iiE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iie		0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	iIE		0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	iIe		0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
	IiE		1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
	Iie		1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
	IIE		1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
	IIe		1	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2
	ii_		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	i_E		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	i__		0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	_iE		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_i_		0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
	__E		0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	___		0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0
	i_e		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_ie		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__e		0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
	iI_		0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
	_IE		0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	_I_		0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0
	_Ie		0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1
	Ii_		1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
	I_E		1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
	I__		1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
	I_e		1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1
	II_		1	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
	iii		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ieE		0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
	iei		0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
	eiE		0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
	eii		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eie		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eeE		0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0
	eei		0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
	iIi		0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
	eIE		0	1	0	0	0	0	0	1	1	0	1	1	2	0	0	0	0
