			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
	ii		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ie		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iI		0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
	eI		0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0
	oe		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Oo	Oo	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
	OO		0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
	oo		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	oO		1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
	O_		0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
	_O		0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
	o_		1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
	Oi		0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
	io		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	eo		0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	iO		0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
	oi		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	oe		1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
	_i		0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
